 int. wave (nm)     cross-section       phi
    1     121.5        1.9545E-17    0.5000
    2     116.7        2.1528E-17    0.5006
    3     117.3        2.0832E-17    0.5005
    4     117.9        2.0136E-17    0.5004
    5     118.7        1.9208E-17    0.5002
    6     119.4        1.8396E-17    0.5001
    7     120.2        1.7946E-17    0.5000
    8     120.8        1.8684E-17    0.5000
    9     121.6        1.9668E-17    0.5000
   10     122.3        2.0529E-17    0.5000
   11     123.1        2.1513E-17    0.5000
   12     123.8        2.2374E-17    0.5000
   13     124.6        2.3358E-17    0.5000
   14     125.4        2.4342E-17    0.5000
   15     126.2        2.5326E-17    0.5000
   16     127.0        2.6310E-17    0.5000
   17     127.8        2.7294E-17    0.5000
   18     128.6        2.8278E-17    0.5000
   19     129.4        2.9262E-17    0.5000
   20     130.3        2.9982E-17    0.5000
   21     131.1        2.9934E-17    0.5000
   22     132.0        2.9880E-17    0.5000
   23     132.9        2.9826E-17    0.5000
   24     133.8        2.9772E-17    0.5000
   25     134.6        2.9724E-17    0.5000
   26     135.6        2.9664E-17    0.5000
   27     136.5        2.9610E-17    0.5000
   28     137.4        2.9556E-17    0.5000
   29     138.4        2.9496E-17    0.5000
   30     139.9        2.9406E-17    0.5000
   31     141.8        3.9768E-17    0.5000
   32     143.9        5.1864E-17    0.5000
   33     145.9        6.3384E-17    0.5000
   34     148.1        7.6056E-17    0.5000
   35     150.4        8.1216E-17    0.5000
   36     152.6        4.9404E-17    0.5000
   37     155.0        1.4700E-17    0.5000
   38     157.4        1.4092E-17    0.5000
   39     160.0        1.3433E-17    0.5000
   40     162.6        1.2775E-17    0.5000
   41     165.3        1.2091E-17    0.5000
   42     168.1        1.1381E-17    0.5000
   43     170.9        1.1566E-17    0.5000
   44     173.1        1.3194E-17    0.5000
   45     174.6        1.4304E-17    0.5000
   46     176.2        1.5488E-17    0.5000
   47     177.8        1.6672E-17    0.5000
   48     179.4        1.7856E-17    0.5000
   49     181.0        1.7560E-17    0.5000
   50     182.7        1.6302E-17    0.5000
   51     184.3        1.5118E-17    0.5000
   52     186.1        1.3868E-17    0.5000
   53     187.8        1.2736E-17    0.5000
   54     189.6        1.1538E-17    0.5000
   55     191.4        1.0339E-17    0.5000
   56     193.2        9.1411E-18    0.5000
   57     195.1        7.8763E-18    0.5000
   58     197.0        6.6114E-18    0.5000
   59     199.0        5.2800E-18    0.5000
   60     201.0        4.7200E-18    0.5000
   61     203.1        4.1320E-18    0.5000
   62     205.1        3.5760E-18    0.5000
   63     207.3        3.0480E-18    0.5000
   64     209.4        2.5440E-18    0.5000
   65     211.6        2.1120E-18    0.5000
   66     213.9        1.6980E-18    0.5000
   67     216.2        1.3920E-18    0.5000
   68     218.6        1.1760E-18    0.5000
   69     221.0        1.0000E-18    0.5000
   70     223.5        8.7500E-19    0.5000
   71     226.0        7.7600E-19    0.5000
   72     228.6        7.1360E-19    0.5000
   73     231.2        6.6080E-19    0.5000
   74     233.9        6.1760E-19    0.5000
   75     236.7        5.7620E-19    0.5000
   76     239.5        5.3700E-19    0.5000
   77     242.4        4.9640E-19    0.5000
   78     245.4        4.5440E-19    0.5000
   79     248.5        4.1100E-19    0.5000
   80     251.6        3.6760E-19    0.5000
   81     254.8        3.2280E-19    0.5000
   82     258.1        2.8280E-19    0.5000
   83     261.4        2.4320E-19    0.5000
   84     264.9        2.0120E-19    0.5000
   85     268.5        1.7200E-19    0.5000
   86     272.1        1.4740E-19    0.5000
   87     275.9        1.2550E-19    0.5000
   88     279.7        1.0650E-19    0.5000
   89     283.7        7.3180E-20    0.5000
   90     287.8        4.9120E-20    0.5000
   91     292.0        3.3000E-20    0.5000
   92     296.3        2.1400E-20    0.5000
   93     300.8        1.3120E-20    0.5000
   94     305.3        8.3080E-21    0.5000
   95     310.0        5.3000E-21    0.5000
