 int. wave (nm)     cross-section       phi
    1     121.5        9.4900E-18    0.0050
    2     116.7        7.5730E-18    0.0395
    3     117.3        7.6870E-18    0.0305
    4     117.9        7.8010E-18    0.0215
    5     118.7        7.5540E-18    0.0165
    6     119.4        7.2880E-18    0.0130
    7     120.2        7.3840E-18    0.0093
    8     120.8        8.3560E-18    0.0073
    9     121.6        9.6520E-18    0.0046
   10     122.3        1.1410E-17    0.0031
   11     123.1        1.4370E-17    0.0026
   12     123.8        1.6960E-17    0.0021
   13     124.6        2.1330E-17    0.0015
   14     125.4        2.6170E-17    0.0008
   15     126.2        2.9720E-17    0.0003
   16     127.0        2.9400E-17    0.0001
   17     127.8        2.9080E-17    0.0000
   18     128.6        2.4320E-17    0.0000
   19     129.4        1.8080E-17    0.0000
   20     130.3        1.2338E-17    0.0000
   21     131.1        9.5060E-18    0.0000
   22     132.0        6.3200E-18    0.0000
   23     132.9        8.6510E-18    0.0000
   24     133.8        1.0982E-17    0.0000
   25     134.6        1.0618E-17    0.0000
   26     135.6        9.1480E-18    0.0000
   27     136.5        8.9950E-18    0.0000
   28     137.4        9.7780E-18    0.0000
   29     138.4        1.0480E-17    0.0000
   30     139.9        1.1155E-17    0.0000
   31     141.8        1.2820E-17    0.0000
   32     143.9        1.8700E-17    0.0000
   33     145.9        1.2635E-17    0.0000
   34     148.1        1.0420E-17    0.0000
   35     150.4        1.2660E-17    0.0000
   36     152.6        1.8690E-17    0.0000
   37     155.0        1.5200E-17    0.0000
   38     157.4        1.4370E-17    0.0000
   39     160.0        1.4800E-17    0.0000
   40     162.6        1.5268E-17    0.0000
   41     165.3        1.5742E-17    0.0000
   42     168.1        1.6134E-17    0.0000
   43     170.9        1.5320E-17    0.0000
   44     173.1        1.2680E-17    0.0000
   45     174.6        1.0880E-17    0.0000
   46     176.2        9.4208E-18    0.0000
   47     177.8        8.1152E-18    0.0000
   48     179.4        6.8096E-18    0.0000
   49     181.0        5.1080E-18    0.0000
   50     182.7        3.0476E-18    0.0000
   51     184.3        1.1084E-18    0.0000
   52     186.1        2.6700E-19    0.0000
   53     187.8        2.7800E-19    0.0000
   54     189.6        2.9000E-19    0.0000
   55     191.4        2.7900E-19    0.0000
   56     193.2        2.6000E-19    0.0000
   57     195.1        2.4200E-19    0.0000
   58     197.0        2.4500E-19    0.0000
   59     199.0        2.4800E-19    0.0000
   60     201.0        2.7500E-19    0.0000
   61     203.1        4.1450E-19    0.0000
   62     205.1        4.4780E-19    0.0000
   63     207.3        4.4540E-19    0.0000
   64     209.4        4.6410E-19    0.0000
   65     211.6        4.8660E-19    0.0000
   66     213.9        4.8180E-19    0.0000
   67     216.2        5.0220E-19    0.0000
   68     218.6        4.4410E-19    0.0000
   69     221.0        4.7130E-19    0.0000
   70     223.5        3.7720E-19    0.0000
   71     226.0        3.9290E-19    0.0000
   72     228.6        2.7400E-19    0.0000
   73     231.2        2.7780E-19    0.0000
   74     233.9        1.6890E-19    0.0000
   75     236.7        1.6180E-19    0.0000
   76     239.5        8.8120E-20    0.0000
   77     242.4        7.4720E-20    0.0000
   78     245.4        3.9090E-20    0.0000
   79     248.5        2.7530E-20    0.0000
   80     251.6        2.0070E-20    0.0000
   81     254.8        1.9730E-20    0.0000
   82     258.1        2.1110E-20    0.0000
   83     261.4        2.3570E-20    0.0000
   84     264.9        2.6980E-20    0.0000
   85     268.5        3.2470E-20    0.0000
   86     272.1        3.7850E-20    0.0000
   87     275.9        5.0300E-20    0.0000
   88     279.7        5.8800E-20    0.0000
   89     283.7        7.0000E-20    0.0000
   90     287.8        8.1500E-20    0.0000
   91     292.0        9.7200E-20    0.0000
   92     296.3        1.1540E-19    0.0000
   93     300.8        1.3440E-19    0.0000
   94     305.3        1.5890E-19    0.0000
   95     310.0        1.8670E-19    0.0000
   96     315.0        2.1530E-19    0.0000
   97     320.0        2.4770E-19    0.0000
   98     325.0        2.8070E-19    0.0000
