 int. wave (nm)     cross-section       phi
    1     121.5        0.0000E+00    0.0000
    2     116.7        0.0000E+00    0.0000
    3     117.3        0.0000E+00    0.0000
    4     117.9        0.0000E+00    0.0000
    5     118.7        0.0000E+00    0.0000
    6     119.4        0.0000E+00    0.0000
    7     120.2        0.0000E+00    0.0000
    8     120.8        0.0000E+00    0.0000
    9     121.6        0.0000E+00    0.0000
   10     122.3        0.0000E+00    0.0000
   11     123.1        0.0000E+00    0.0000
   12     123.8        0.0000E+00    0.0000
   13     124.6        0.0000E+00    0.0000
   14     125.4        0.0000E+00    0.0000
   15     126.2        0.0000E+00    0.0000
   16     127.0        0.0000E+00    0.0000
   17     127.8        0.0000E+00    0.0000
   18     128.6        0.0000E+00    0.0000
   19     129.4        0.0000E+00    0.0000
   20     130.3        0.0000E+00    0.0000
   21     131.1        0.0000E+00    0.0000
   22     132.0        0.0000E+00    0.0000
   23     132.9        0.0000E+00    0.0000
   24     133.8        0.0000E+00    0.0000
   25     134.6        0.0000E+00    0.0000
   26     135.6        0.0000E+00    0.0000
   27     136.5        0.0000E+00    0.0000
   28     137.4        0.0000E+00    0.0000
   29     138.4        0.0000E+00    0.0000
   30     139.9        0.0000E+00    0.0000
   31     141.8        0.0000E+00    0.0000
   32     143.9        0.0000E+00    0.0000
   33     145.9        0.0000E+00    0.0000
   34     148.1        0.0000E+00    0.0000
   35     150.4        0.0000E+00    0.0000
   36     152.6        0.0000E+00    0.0000
   37     155.0        0.0000E+00    0.0000
   38     157.4        0.0000E+00    0.0000
   39     160.0        0.0000E+00    0.0000
   40     162.6        0.0000E+00    0.0000
   41     165.3        0.0000E+00    0.0000
   42     168.1        0.0000E+00    0.0000
   43     170.9        0.0000E+00    0.0000
   44     173.1        0.0000E+00    0.0000
   45     174.6        0.0000E+00    0.0000
   46     176.2        0.0000E+00    0.0000
   47     177.8        0.0000E+00    0.0000
   48     179.4        0.0000E+00    0.0000
   49     181.0        0.0000E+00    0.0000
   50     182.7        0.0000E+00    0.0000
   51     184.3        1.1246E-17    0.0000
   52     186.1        9.8737E-18    0.0000
   53     187.8        8.5775E-18    0.0000
   54     189.6        5.7076E-18    0.0000
   55     191.4        4.9984E-18    0.0000
   56     193.2        4.2892E-18    0.0000
   57     195.1        3.5670E-18    0.0000
   58     197.0        3.3200E-18    0.0000
   59     199.0        3.0600E-18    0.0000
   60     201.0        2.9300E-18    0.0000
   61     203.1        2.9300E-18    0.0000
   62     205.1        2.9374E-18    0.0000
   63     207.3        3.1002E-18    0.0000
   64     209.4        3.2556E-18    0.0000
   65     211.6        3.4024E-18    0.0000
   66     213.9        3.5496E-18    0.0000
   67     216.2        3.5864E-18    0.0000
   68     218.6        3.5192E-18    0.0000
   69     221.0        3.3480E-18    0.0000
   70     223.5        3.0180E-18    0.0000
   71     226.0        2.6680E-18    0.0000
   72     228.6        2.2728E-18    0.0000
   73     231.2        1.9040E-18    0.0000
   74     233.9        1.5530E-18    0.0000
   75     236.7        1.2655E-18    0.0000
   76     239.5        1.0275E-18    0.0000
   77     242.4        8.5108E-19    0.0000
   78     245.4        6.9160E-19    0.0000
   79     248.5        5.8000E-19    0.0000
   80     251.6        4.8504E-19    0.0000
   81     254.8        4.0312E-19    0.0133
   82     258.1        3.4158E-19    0.0683
   83     261.4        2.8628E-19    0.1000
   84     264.9        2.3448E-19    0.1000
   85     268.5        1.9800E-19    0.1000
   86     272.1        1.6452E-19    0.1000
   87     275.9        1.3270E-19    0.1000
   88     279.7        1.0610E-19    0.1000
   89     283.7        8.2540E-20    0.1000
   90     287.8        6.3520E-20    0.1000
   91     292.0        4.7660E-20    0.1000
   92     296.3        3.4202E-20    0.1000
   93     300.8        2.3964E-20    0.1000
   94     305.3        1.7688E-20    0.1000
   95     310.0        1.2800E-20    0.1000
   96     315.0        8.9200E-21    0.1000
   97     320.0        6.3000E-21    0.1000
   98     325.0        4.6300E-21    0.1000
   99     330.0        3.5300E-21    0.1000
  100     335.0        2.8300E-21    0.1000
  101     340.0        2.4600E-21    0.1000
  102     345.0        2.1400E-21    0.1000
  103     350.0        1.9800E-21    0.1000
  104     355.0        1.8200E-21    0.1000
  105     360.0        1.7000E-21    0.1000
  106     365.0        1.5500E-21    0.1000
  107     370.0        1.4200E-21    0.1000
  108     375.0        1.2800E-21    0.1000
  109     380.0        1.1300E-21    0.1000
  110     385.0        9.8000E-22    0.1000
  111     390.0        9.0000E-22    0.1000
  112     395.0        6.9000E-22    0.1000
  113     400.0        5.6000E-22    0.1000
  114     405.0        5.5000E-22    0.1000
  115     410.0        4.4000E-22    0.1000
  116     415.0        3.5000E-22    0.1000
  117     420.0        2.7000E-22    0.1000
  118     425.0        2.0000E-22    0.1000
  119     430.0        1.6000E-22    0.1000
  120     435.0        1.3000E-22    0.1000
  121     440.0        9.0000E-23    0.1000
  122     445.0        7.0000E-23    0.1000
  123     450.0        0.0000E+00    0.1000
  124     455.0        0.0000E+00    0.1000
  125     460.0        0.0000E+00    0.1000
  126     465.0        0.0000E+00    0.1000
  127     470.0        0.0000E+00    0.1000
  128     475.0        0.0000E+00    0.1000
  129     480.0        0.0000E+00    0.1000
  130     485.0        0.0000E+00    0.1000
  131     490.0        0.0000E+00    0.1000
  132     495.0        0.0000E+00    0.1000
  133     500.0        0.0000E+00    0.1000
  134     505.0        0.0000E+00    0.1000
  135     510.0        0.0000E+00    0.1000
  136     515.0        0.0000E+00    0.1000
  137     520.0        0.0000E+00    0.1000
  138     525.0        0.0000E+00    0.1000
  139     530.0        0.0000E+00    0.1000
  140     535.0        0.0000E+00    0.1000
  141     540.0        0.0000E+00    0.1000
  142     545.0        0.0000E+00    0.1000
  143     550.0        0.0000E+00    0.1000
  144     555.0        0.0000E+00    0.1000
  145     560.0        0.0000E+00    0.1000
  146     565.0        0.0000E+00    0.1000
  147     570.0        0.0000E+00    0.1000
  148     575.0        0.0000E+00    0.1000
  149     580.0        0.0000E+00    0.1000
  150     585.0        0.0000E+00    0.1000
  151     590.0        0.0000E+00    0.1000
  152     595.0        0.0000E+00    0.1000
  153     600.0        0.0000E+00    0.1000
  154     605.0        0.0000E+00    0.1000
  155     610.0        0.0000E+00    0.1000
  156     615.0        0.0000E+00    0.1000
  157     620.0        0.0000E+00    0.1000
  158     625.0        0.0000E+00    0.1000
  159     630.0        0.0000E+00    0.1000
  160     635.0        0.0000E+00    0.1000
  161     640.0        0.0000E+00    0.1000
  162     645.0        0.0000E+00    0.1000
  163     650.0        0.0000E+00    0.1000
  164     655.0        0.0000E+00    0.1000
  165     660.0        0.0000E+00    0.1000
  166     665.0        0.0000E+00    0.1000
  167     670.0        0.0000E+00    0.1000
  168     675.0        0.0000E+00    0.1000
  169     680.0        0.0000E+00    0.1000
  170     685.0        0.0000E+00    0.1000
  171     690.0        0.0000E+00    0.1000
  172     695.0        0.0000E+00    0.1000
  173     700.0        0.0000E+00    0.1000
  174     705.0        0.0000E+00    0.1000
  175     710.0        0.0000E+00    0.1000
  176     715.0        0.0000E+00    0.1000
  177     720.0        0.0000E+00    0.1000
  178     725.0        0.0000E+00    0.1000
  179     730.0        0.0000E+00    0.1000
  180     735.0        0.0000E+00    0.1000
  181     740.0        0.0000E+00    0.1000
  182     745.0        0.0000E+00    0.1000
  183     750.0        0.0000E+00    0.1000
  184     755.0        0.0000E+00    0.1000
  185     760.0        0.0000E+00    0.1000
  186     765.0        0.0000E+00    0.1000
  187     770.0        0.0000E+00    0.1000
  188     775.0        0.0000E+00    0.1000
  189     780.0        0.0000E+00    0.1000
  190     785.0        0.0000E+00    0.1000
  191     790.0        0.0000E+00    0.1000
  192     795.0        0.0000E+00    0.1000
  193     800.0        0.0000E+00    0.1000
  194     805.0        0.0000E+00    0.1000
  195     810.0        0.0000E+00    0.1000
  196     815.0        0.0000E+00    0.1000
  197     820.0        0.0000E+00    0.1000
  198     825.0        0.0000E+00    0.1000
  199     830.0        0.0000E+00    0.1000
  200     835.0        0.0000E+00    0.1000
  201     840.0        0.0000E+00    0.1000
  202     845.0        0.0000E+00    0.1000
  203     850.0        0.0000E+00    0.1000
