 int. wave (nm)     cross-section       phi
    1     121.5        0.0000E+00    0.0000
    2     116.7        0.0000E+00    0.0000
    3     117.3        0.0000E+00    0.0000
    4     117.9        0.0000E+00    0.0000
    5     118.7        0.0000E+00    0.0000
    6     119.4        0.0000E+00    0.0000
    7     120.2        0.0000E+00    0.0000
    8     120.8        0.0000E+00    0.0000
    9     121.6        0.0000E+00    0.0000
   10     122.3        0.0000E+00    0.0000
   11     123.1        0.0000E+00    0.0000
   12     123.8        0.0000E+00    0.0000
   13     124.6        0.0000E+00    0.0000
   14     125.4        0.0000E+00    0.0000
   15     126.2        0.0000E+00    0.0000
   16     127.0        0.0000E+00    0.0000
   17     127.8        0.0000E+00    0.0000
   18     128.6        0.0000E+00    0.0000
   19     129.4        0.0000E+00    0.0000
   20     130.3        0.0000E+00    0.0000
   21     131.1        0.0000E+00    0.0000
   22     132.0        0.0000E+00    0.0000
   23     132.9        0.0000E+00    0.0000
   24     133.8        0.0000E+00    0.0000
   25     134.6        0.0000E+00    0.0000
   26     135.6        0.0000E+00    0.0000
   27     136.5        0.0000E+00    0.0000
   28     137.4        0.0000E+00    0.0000
   29     138.4        0.0000E+00    0.0000
   30     139.9        0.0000E+00    0.0000
   31     141.8        0.0000E+00    0.0000
   32     143.9        0.0000E+00    0.0000
   33     145.9        0.0000E+00    0.0000
   34     148.1        0.0000E+00    0.0000
   35     150.4        0.0000E+00    0.0000
   36     152.6        0.0000E+00    0.0000
   37     155.0        0.0000E+00    0.0000
   38     157.4        0.0000E+00    0.0000
   39     160.0        0.0000E+00    0.0000
   40     162.6        0.0000E+00    0.0000
   41     165.3        0.0000E+00    0.0000
   42     168.1        0.0000E+00    0.0000
   43     170.9        0.0000E+00    0.0000
   44     173.1        0.0000E+00    0.0000
   45     174.6        0.0000E+00    0.0000
   46     176.2        0.0000E+00    0.0000
   47     177.8        0.0000E+00    0.0000
   48     179.4        0.0000E+00    0.0000
   49     181.0        0.0000E+00    0.0000
   50     182.7        0.0000E+00    0.0000
   51     184.3        0.0000E+00    0.0000
   52     186.1        0.0000E+00    0.0000
   53     187.8        0.0000E+00    0.0000
   54     189.6        0.0000E+00    0.0000
   55     191.4        0.0000E+00    0.0000
   56     193.2        0.0000E+00    0.0000
   57     195.1        0.0000E+00    0.0000
   58     197.0        0.0000E+00    0.0000
   59     199.0        9.4000E-18    0.0000
   60     201.0        9.0000E-18    0.0058
   61     203.1        8.5800E-18    0.0181
   62     205.1        8.1480E-18    0.0297
   63     207.3        7.0040E-18    0.0426
   64     209.4        5.9120E-18    0.0548
   65     211.6        4.9920E-18    0.0677
   66     213.9        4.1180E-18    0.0811
   67     216.2        3.3400E-18    0.0945
   68     218.6        2.6200E-18    0.1085
   69     221.0        2.0480E-18    0.1225
   70     223.5        1.6680E-18    0.1371
   71     226.0        1.3500E-18    0.1517
   72     228.6        1.1160E-18    0.1668
   73     231.2        9.3720E-19    0.1820
   74     233.9        8.1840E-19    0.1977
   75     236.7        7.1900E-19    0.2141
   76     239.5        6.3500E-19    0.2304
   77     242.4        5.7200E-19    0.2473
   78     245.4        5.1040E-19    0.2648
   79     248.5        4.3600E-19    0.2894
   80     251.6        3.7440E-19    0.3480
   81     254.8        3.2320E-19    0.4084
   82     258.1        2.8280E-19    0.4708
   83     261.4        2.4320E-19    0.5331
   84     264.9        2.0120E-19    0.5992
   85     268.5        1.7270E-19    0.6402
   86     272.1        1.4798E-19    0.6694
   87     275.9        1.2766E-19    0.7001
   88     279.7        1.1778E-19    0.7309
   89     283.7        9.0500E-20    0.7633
   90     287.8        7.1700E-20    0.8140
   91     292.0        5.7000E-20    0.9600
   92     296.3        4.3100E-20    0.9815
   93     300.8        3.0000E-20    1.0000
   94     305.3        2.2050E-20    1.0000
   95     310.0        1.5000E-20    1.0000
   96     315.0        1.1250E-20    1.0000
   97     320.0        7.5000E-21    1.0000
   98     325.0        5.7500E-21    1.0000
   99     330.0        4.0000E-21    1.0000
  100     335.0        3.3500E-21    1.0000
  101     340.0        2.7000E-21    1.0000
  102     345.0        2.2500E-21    1.0000
  103     350.0        1.8000E-21    1.0000
  104     355.0        1.4000E-21    1.0000
  105     360.0        1.0000E-21    1.0000
  106     365.0        7.3500E-22    1.0000
  107     370.0        4.7000E-22    1.0000
  108     375.0        3.0000E-22    1.0000
  109     380.0        1.3000E-22    1.0000
  110     385.0        0.0000E+00    1.0000
  111     390.0        0.0000E+00    1.0000
  112     395.0        0.0000E+00    1.0000
  113     400.0        0.0000E+00    1.0000
  114     405.0        0.0000E+00    1.0000
  115     410.0        0.0000E+00    1.0000
  116     415.0        0.0000E+00    1.0000
  117     420.0        0.0000E+00    1.0000
  118     425.0        0.0000E+00    1.0000
  119     430.0        0.0000E+00    1.0000
  120     435.0        0.0000E+00    1.0000
  121     440.0        0.0000E+00    1.0000
  122     445.0        0.0000E+00    1.0000
  123     450.0        0.0000E+00    1.0000
  124     455.0        0.0000E+00    1.0000
  125     460.0        0.0000E+00    1.0000
  126     465.0        0.0000E+00    1.0000
  127     470.0        0.0000E+00    1.0000
  128     475.0        0.0000E+00    1.0000
  129     480.0        0.0000E+00    1.0000
  130     485.0        0.0000E+00    1.0000
  131     490.0        0.0000E+00    1.0000
  132     495.0        0.0000E+00    1.0000
  133     500.0        0.0000E+00    1.0000
  134     505.0        0.0000E+00    1.0000
  135     510.0        0.0000E+00    1.0000
  136     515.0        0.0000E+00    1.0000
  137     520.0        0.0000E+00    1.0000
  138     525.0        0.0000E+00    1.0000
  139     530.0        0.0000E+00    1.0000
  140     535.0        0.0000E+00    1.0000
  141     540.0        0.0000E+00    1.0000
  142     545.0        0.0000E+00    1.0000
  143     550.0        0.0000E+00    1.0000
  144     555.0        0.0000E+00    1.0000
  145     560.0        0.0000E+00    1.0000
  146     565.0        0.0000E+00    1.0000
  147     570.0        0.0000E+00    1.0000
  148     575.0        0.0000E+00    1.0000
  149     580.0        0.0000E+00    1.0000
  150     585.0        0.0000E+00    1.0000
  151     590.0        0.0000E+00    1.0000
  152     595.0        0.0000E+00    1.0000
  153     600.0        0.0000E+00    1.0000
  154     605.0        0.0000E+00    1.0000
  155     610.0        0.0000E+00    1.0000
  156     615.0        0.0000E+00    1.0000
  157     620.0        0.0000E+00    1.0000
  158     625.0        0.0000E+00    1.0000
  159     630.0        0.0000E+00    1.0000
  160     635.0        0.0000E+00    1.0000
  161     640.0        0.0000E+00    1.0000
  162     645.0        0.0000E+00    1.0000
  163     650.0        0.0000E+00    1.0000
  164     655.0        0.0000E+00    1.0000
  165     660.0        0.0000E+00    1.0000
  166     665.0        0.0000E+00    1.0000
  167     670.0        0.0000E+00    1.0000
  168     675.0        0.0000E+00    1.0000
  169     680.0        0.0000E+00    1.0000
  170     685.0        0.0000E+00    1.0000
  171     690.0        0.0000E+00    1.0000
  172     695.0        0.0000E+00    1.0000
  173     700.0        0.0000E+00    1.0000
  174     705.0        0.0000E+00    1.0000
  175     710.0        0.0000E+00    1.0000
  176     715.0        0.0000E+00    1.0000
  177     720.0        0.0000E+00    1.0000
  178     725.0        0.0000E+00    1.0000
  179     730.0        0.0000E+00    1.0000
  180     735.0        0.0000E+00    1.0000
  181     740.0        0.0000E+00    1.0000
  182     745.0        0.0000E+00    1.0000
  183     750.0        0.0000E+00    1.0000
  184     755.0        0.0000E+00    1.0000
  185     760.0        0.0000E+00    1.0000
  186     765.0        0.0000E+00    1.0000
  187     770.0        0.0000E+00    1.0000
  188     775.0        0.0000E+00    1.0000
  189     780.0        0.0000E+00    1.0000
  190     785.0        0.0000E+00    1.0000
  191     790.0        0.0000E+00    1.0000
  192     795.0        0.0000E+00    1.0000
  193     800.0        0.0000E+00    1.0000
  194     805.0        0.0000E+00    1.0000
  195     810.0        0.0000E+00    1.0000
  196     815.0        0.0000E+00    1.0000
  197     820.0        0.0000E+00    1.0000
  198     825.0        0.0000E+00    1.0000
  199     830.0        0.0000E+00    1.0000
  200     835.0        0.0000E+00    1.0000
  201     840.0        0.0000E+00    1.0000
  202     845.0        0.0000E+00    1.0000
  203     850.0        0.0000E+00    1.0000

Wavelengths shorter than 280 nm from JPL 97
Wavelengths longer than 280 nm from NASA Ref.Pub.1010 (1977)
