 int. wave (nm)     cross-section       phi
    1     121.5        5.1942E-17    0.7100
    2     116.7        5.4701E-17    0.7100
    3     117.3        5.4356E-17    0.7100
    4     117.9        5.4011E-17    0.7100
    5     118.7        5.3552E-17    0.7100
    6     119.4        5.3149E-17    0.7100
    7     120.2        5.2690E-17    0.7100
    8     120.8        5.2345E-17    0.7100
    9     121.6        5.1885E-17    0.7100
   10     122.3        5.1483E-17    0.7100
   11     123.1        5.1023E-17    0.7100
   12     123.8        5.0621E-17    0.7100
   13     124.6        5.0161E-17    0.7100
   14     125.4        4.9701E-17    0.7100
   15     126.2        4.9241E-17    0.7100
   16     127.0        4.8781E-17    0.7100
   17     127.8        4.8322E-17    0.7100
   18     128.6        4.7862E-17    0.7100
   19     129.4        4.7402E-17    0.7100
   20     130.3        4.6885E-17    0.7100
   21     131.1        4.6425E-17    0.7100
   22     132.0        4.5908E-17    0.7100
   23     132.9        4.5391E-17    0.7100
   24     133.8        4.4873E-17    0.7100
   25     134.6        4.4414E-17    0.7100
   26     135.6        4.3839E-17    0.7100
   27     136.5        4.3322E-17    0.7100
   28     137.4        4.2804E-17    0.7100
   29     138.4        4.2230E-17    0.7100
   30     139.9        4.1368E-17    0.7100
   31     141.8        4.0276E-17    0.7100
   32     143.9        3.9069E-17    0.7100
   33     145.9        3.7919E-17    0.7100
   34     148.1        3.6655E-17    0.7100
   35     150.4        3.5333E-17    0.7100
   36     152.6        3.4069E-17    0.7100
   37     155.0        3.2689E-17    0.7100
   38     157.4        3.1310E-17    0.7100
   39     160.0        2.9816E-17    0.7100
   40     162.6        2.8321E-17    0.7100
   41     165.3        2.6770E-17    0.7100
   42     168.1        2.5160E-17    0.7100
   43     170.9        2.3551E-17    0.7100
   44     173.1        2.2287E-17    0.7100
   45     174.6        2.1425E-17    0.7100
   46     176.2        2.0505E-17    0.7100
   47     177.8        1.9586E-17    0.7100
   48     179.4        1.8666E-17    0.7100
   49     181.0        1.7747E-17    0.7100
   50     182.7        1.6770E-17    0.7100
   51     184.3        1.5850E-17    0.7100
   52     186.1        1.4950E-17    0.7100
   53     187.8        1.4100E-17    0.7100
   54     189.6        1.3200E-17    0.7100
   55     191.4        1.2160E-17    0.7100
   56     193.2        1.1080E-17    0.7100
   57     195.1        9.9440E-18    0.7100
   58     197.0        8.8800E-18    0.7100
   59     199.0        5.5360E-18    0.7100
   60     201.0        5.1440E-18    0.7100
   61     203.1        4.7324E-18    0.7100
   62     205.1        4.3402E-18    0.7100
   63     207.3        3.9046E-18    0.7100
   64     209.4        3.4888E-18    0.7100
   65     211.6        3.2228E-18    0.7100
   66     213.9        3.0112E-18    0.7100
   67     216.2        2.8428E-18    0.7100
   68     218.6        2.7084E-18    0.7100
   69     221.0        2.5800E-18    0.7100
   70     223.5        2.4550E-18    0.7100
   71     226.0        2.3260E-18    0.7100
   72     228.6        2.1856E-18    0.7100
   73     231.2        2.0308E-18    0.7100
   74     233.9        1.8526E-18    0.7100
   75     236.7        1.6508E-18    0.7100
