λ,σ,Δσ
200.0,1.15e-17,3.06e-18
210.0,8.41e-18,1.15e-18
220.0,1.07e-17,1.15e-18
230.0,1.38e-17,1.15e-18
240.0,1.61e-17,1.15e-18
250.0,1.68e-17,7.65e-19
260.0,1.61e-17,7.65e-19
270.0,1.49e-17,7.65e-19
280.0,1.34e-17,1.15e-18
290.0,1.15e-17,7.65e-19
300.0,1.07e-17,3.82e-19
310.0,1.03e-17,3.82e-19
320.0,9.94e-18,3.82e-19
330.0,9.94e-18,7.65e-19
340.0,1.03e-17,3.82e-19
350.0,9.94e-18,7.65e-19
360.0,9.56e-18,7.65e-19
370.0,8.79e-18,7.65e-19
380.0,8.41e-18,7.65e-19
400.0,6.12e-18,3.82e-19
420.0,4.59e-18,3.82e-19
440.0,2.68e-18,3.82e-19
480.0,1.53e-18,7.65e-19
