λ,σ,Δσ
406.0,2.6e-28,NaN
407.0,2.23e-28,NaN
408.0,3.72e-29,NaN
409.0,0.0,NaN
410.0,3.72e-29,NaN
411.0,0.0,NaN
412.0,0.0,NaN
413.0,0.0,NaN
414.0,0.0,NaN
415.0,0.0,NaN
416.0,0.0,NaN
417.0,0.0,NaN
418.0,0.0,NaN
419.0,1.49e-28,NaN
420.0,3.35e-28,NaN
421.0,1.86e-28,NaN
422.0,0.0,NaN
423.0,0.0,NaN
424.0,0.0,NaN
425.0,0.0,NaN
426.0,0.0,NaN
427.0,0.0,NaN
428.0,0.0,NaN
429.0,0.0,NaN
430.0,3.72e-29,NaN
431.0,0.0,NaN
432.0,7.44e-29,NaN
433.0,1.86e-28,NaN
434.0,1.86e-28,NaN
435.0,7.44e-29,NaN
436.0,3.72e-28,NaN
437.0,5.21e-28,NaN
438.0,3.35e-28,NaN
439.0,2.6e-28,NaN
440.0,1.34e-27,NaN
441.0,2.64e-27,NaN
442.0,1.97e-27,NaN
443.0,7.44e-28,NaN
444.0,2.23e-28,NaN
445.0,0.0,NaN
446.0,0.0,NaN
447.0,0.0,NaN
448.0,0.0,NaN
449.0,3.72e-29,NaN
450.0,3.72e-29,NaN
451.0,7.44e-29,NaN
452.0,1.12e-28,NaN
453.0,1.49e-28,NaN
454.0,2.6e-28,NaN
455.0,3.35e-28,NaN
456.0,4.09e-28,NaN
457.0,5.58e-28,NaN
458.0,8.18e-28,NaN
459.0,1.45e-27,NaN
460.0,1.6e-27,NaN
461.0,6.32e-28,NaN
462.0,1.86e-28,NaN
463.0,7.44e-29,NaN
464.0,1.12e-28,NaN
465.0,1.86e-28,NaN
466.0,2.98e-28,NaN
467.0,2.23e-28,NaN
468.0,1.49e-28,NaN
469.0,7.44e-29,NaN
470.0,1.12e-28,NaN
471.0,7.44e-29,NaN
472.0,1.49e-28,NaN
473.0,1.86e-28,NaN
474.0,1.49e-28,NaN
475.0,2.98e-28,NaN
476.0,3.72e-28,NaN
477.0,5.95e-28,NaN
478.0,8.93e-28,NaN
479.0,1.3e-27,NaN
480.0,1.97e-27,NaN
481.0,2.68e-27,NaN
482.0,3.53e-27,NaN
483.0,3.91e-27,NaN
484.0,5.43e-27,NaN
485.0,1.23e-26,NaN
486.0,1.44e-26,NaN
487.0,6.18e-27,NaN
488.0,2.34e-27,NaN
489.0,6.7e-28,NaN
490.0,2.6e-28,NaN
491.0,2.23e-28,NaN
492.0,1.49e-28,NaN
493.0,1.49e-28,NaN
494.0,1.12e-28,NaN
495.0,1.12e-28,NaN
496.0,1.49e-28,NaN
497.0,2.23e-28,NaN
498.0,2.6e-28,NaN
499.0,4.46e-28,NaN
500.0,5.21e-28,NaN
501.0,6.7e-28,NaN
502.0,9.3e-28,NaN
503.0,1.26e-27,NaN
504.0,1.64e-27,NaN
505.0,1.97e-27,NaN
506.0,2.53e-27,NaN
507.0,3.24e-27,NaN
508.0,4.35e-27,NaN
509.0,5.36e-27,NaN
510.0,5.84e-27,NaN
511.0,5.21e-27,NaN
512.0,3.16e-27,NaN
513.0,1.6e-27,NaN
514.0,7.07e-28,NaN
515.0,4.09e-28,NaN
516.0,3.72e-27,NaN
517.0,3.72e-27,NaN
518.0,7.07e-28,NaN
519.0,1.08e-27,NaN
520.0,1.67e-27,NaN
521.0,2.12e-27,NaN
522.0,2.46e-27,NaN
523.0,2.38e-27,NaN
524.0,2.05e-27,NaN
525.0,1.56e-27,NaN
526.0,1.23e-27,NaN
527.0,9.3e-28,NaN
528.0,9.67e-28,NaN
529.0,1.12e-27,NaN
530.0,1.26e-27,NaN
531.0,1.71e-27,NaN
532.0,2.6e-27,NaN
533.0,3.53e-27,NaN
534.0,4.46e-27,NaN
535.0,5.8e-27,NaN
536.0,8.18e-27,NaN
537.0,1.16e-26,NaN
538.0,1.65e-26,NaN
539.0,1.99e-26,NaN
540.0,2.67e-26,NaN
541.0,3.8e-26,NaN
542.0,5.28e-26,NaN
543.0,5.83e-26,NaN
544.0,4.85e-26,NaN
545.0,2.89e-26,NaN
546.0,1.39e-26,NaN
547.0,5.88e-27,NaN
548.0,2.38e-27,NaN
549.0,1.0e-27,NaN
550.0,4.09e-28,NaN
551.0,2.23e-28,NaN
552.0,1.86e-28,NaN
553.0,3.72e-28,NaN
554.0,7.07e-28,NaN
555.0,1.12e-27,NaN
556.0,1.38e-27,NaN
557.0,1.49e-27,NaN
558.0,1.34e-27,NaN
559.0,1.3e-27,NaN
560.0,1.08e-27,NaN
561.0,9.67e-28,NaN
562.0,1.15e-27,NaN
563.0,1.23e-27,NaN
564.0,1.56e-27,NaN
565.0,1.86e-27,NaN
566.0,2.98e-27,NaN
567.0,3.72e-27,NaN
568.0,4.84e-27,NaN
569.0,5.58e-27,NaN
570.0,6.32e-27,NaN
571.0,7.81e-27,NaN
572.0,8.93e-27,NaN
573.0,1.08e-26,NaN
574.0,1.41e-26,NaN
575.0,1.71e-26,NaN
576.0,1.86e-26,NaN
577.0,1.64e-26,NaN
578.0,1.49e-26,NaN
579.0,1.12e-26,NaN
580.0,7.44e-27,NaN
581.0,4.46e-27,NaN
582.0,2.98e-27,NaN
583.0,1.86e-27,NaN
584.0,1.12e-27,NaN
585.0,7.44e-28,NaN
586.0,3.72e-28,NaN
