λ,σ,Δσ
1219.3,6.43e-18,NaN
1252.6,5.93e-18,NaN
1313.5,5.11e-18,NaN
1315.2,5.08e-18,NaN
1340.2,4.66e-18,NaN
1414.4,4.13e-18,NaN
1442.8,3.84e-18,NaN
1502.8,3.46e-18,NaN
1561.2,3.22e-18,NaN
1579.5,3.08e-18,NaN
1655.4,2.81e-18,NaN
1687.1,2.74e-18,NaN
1734.7,2.76e-18,NaN
1787.2,2.53e-18,NaN
1803.0,2.37e-18,NaN
1811.4,2.34e-18,NaN
1922.3,2.11e-18,NaN
1929.0,2.1e-18,NaN
1939.8,2.17e-18,NaN
2069.1,1.77e-18,NaN
2072.4,1.89e-18,NaN
2083.2,1.86e-18,NaN
2145.8,1.57e-18,NaN
2256.7,1.48e-18,NaN
2301.7,1.46e-18,NaN
2333.4,1.4e-18,NaN
2459.4,1.25e-18,NaN
2500.0,1.23e-18,NaN
