λ,σ,Δσ
168.08,1.48e-17,NaN
168.82,1.49e-17,NaN
169.85,1.5e-17,NaN
170.43,1.47e-17,NaN
171.13,1.43e-17,NaN
172.11,1.38e-17,NaN
173.06,1.38e-17,NaN
174.09,1.38e-17,NaN
175.08,1.39e-17,NaN
176.03,1.35e-17,NaN
176.97,1.36e-17,NaN
177.76,1.5e-17,NaN
178.55,1.69e-17,NaN
179.37,1.84e-17,NaN
180.16,1.94e-17,NaN
181.15,1.96e-17,NaN
182.01,2.13e-17,NaN
182.72,2.43e-17,NaN
183.59,2.68e-17,NaN
184.54,2.81e-17,NaN
185.56,2.75e-17,NaN
186.47,2.74e-17,NaN
187.46,2.87e-17,NaN
188.29,3.18e-17,NaN
189.24,3.25e-17,NaN
190.02,3.08e-17,NaN
190.96,2.78e-17,NaN
191.86,2.64e-17,NaN
192.81,2.56e-17,NaN
193.76,2.44e-17,NaN
194.62,2.22e-17,NaN
195.36,1.97e-17,NaN
196.05,1.72e-17,NaN
196.7,1.49e-17,NaN
197.36,1.3e-17,NaN
198.05,1.13e-17,NaN
198.79,1.0e-17,NaN
199.57,8.88e-18,NaN
200.1,8.09e-18,NaN
201.01,8.03e-18,NaN
201.87,7.26e-18,NaN
202.48,6.32e-18,NaN
202.97,5.63e-18,NaN
203.38,4.86e-18,NaN
203.87,4.17e-18,NaN
204.39,3.39e-18,NaN
205.13,2.57e-18,NaN
