λ,σ,Δσ
1841.0,2.2e-19,NaN
1843.0,2.19e-19,NaN
1917.0,2.27e-19,NaN
1930.0,2.42e-19,NaN
1961.0,2.43e-19,NaN
2044.0,2.5e-19,NaN
2056.0,2.54e-19,NaN
2061.0,2.55e-19,NaN
2065.0,2.68e-19,NaN
2082.0,2.59e-19,NaN
2105.0,2.62e-19,NaN
2113.0,2.78e-19,NaN
2126.0,2.86e-19,NaN
2145.0,2.84e-19,NaN
2178.0,2.54e-19,NaN
2182.0,2.64e-19,NaN
2188.0,2.72e-19,NaN
2197.0,2.6e-19,NaN
2198.0,2.6e-19,NaN
2227.0,2.77e-19,NaN
2287.0,2.91e-19,NaN
2332.0,2.96e-19,NaN
2385.0,3.15e-19,NaN
2416.0,2.93e-19,NaN
2421.0,3.05e-19,NaN
2456.0,3.05e-19,NaN
2498.0,2.85e-19,NaN
2512.0,2.95e-19,NaN
