λ,σ,Δσ
106.0,2.72e-17,NaN
106.03,2.73e-17,NaN
106.05,2.75e-17,NaN
106.07,2.79e-17,NaN
106.08,2.74e-17,NaN
106.1,2.79e-17,NaN
106.11,2.75e-17,NaN
106.13,2.82e-17,NaN
106.16,2.78e-17,NaN
106.18,2.83e-17,NaN
106.21,2.88e-17,NaN
106.22,2.91e-17,NaN
106.24,2.87e-17,NaN
106.26,2.81e-17,NaN
106.27,2.76e-17,NaN
106.29,2.7e-17,NaN
106.32,2.63e-17,NaN
106.34,2.6e-17,NaN
106.36,2.63e-17,NaN
106.37,2.67e-17,NaN
106.39,2.63e-17,NaN
106.4,2.68e-17,NaN
106.42,2.72e-17,NaN
106.43,2.75e-17,NaN
106.43,2.8e-17,NaN
106.44,2.82e-17,NaN
106.45,2.85e-17,NaN
106.47,2.84e-17,NaN
106.48,2.87e-17,NaN
106.48,2.92e-17,NaN
106.5,2.95e-17,NaN
106.5,2.98e-17,NaN
106.53,3.01e-17,NaN
106.53,2.97e-17,NaN
106.55,3.01e-17,NaN
106.56,2.97e-17,NaN
106.57,2.94e-17,NaN
106.58,2.91e-17,NaN
106.6,2.88e-17,NaN
106.62,2.85e-17,NaN
106.64,2.81e-17,NaN
106.65,2.85e-17,NaN
106.67,2.81e-17,NaN
106.69,2.82e-17,NaN
106.7,2.85e-17,NaN
106.71,2.89e-17,NaN
106.72,2.91e-17,NaN
106.72,2.88e-17,NaN
106.73,2.86e-17,NaN
106.74,2.83e-17,NaN
106.76,2.85e-17,NaN
106.76,2.8e-17,NaN
106.77,2.78e-17,NaN
106.78,2.76e-17,NaN
106.8,2.7e-17,NaN
106.82,2.63e-17,NaN
106.84,2.59e-17,NaN
106.85,2.56e-17,NaN
106.87,2.52e-17,NaN
106.88,2.57e-17,NaN
106.89,2.53e-17,NaN
106.91,2.56e-17,NaN
106.92,2.53e-17,NaN
106.93,2.58e-17,NaN
106.94,2.6e-17,NaN
106.96,2.58e-17,NaN
106.97,2.62e-17,NaN
106.98,2.67e-17,NaN
106.99,2.7e-17,NaN
107.0,2.73e-17,NaN
107.01,2.76e-17,NaN
107.03,2.79e-17,NaN
107.04,2.82e-17,NaN
107.05,2.85e-17,NaN
107.06,2.88e-17,NaN
107.07,2.84e-17,NaN
107.08,2.78e-17,NaN
107.09,2.82e-17,NaN
107.1,2.78e-17,NaN
107.11,2.75e-17,NaN
107.13,2.72e-17,NaN
107.14,2.76e-17,NaN
107.15,2.73e-17,NaN
107.17,2.69e-17,NaN
107.18,2.67e-17,NaN
107.2,2.68e-17,NaN
107.21,2.66e-17,NaN
107.22,2.7e-17,NaN
107.23,2.73e-17,NaN
107.25,2.71e-17,NaN
107.26,2.73e-17,NaN
107.28,2.7e-17,NaN
107.3,2.75e-17,NaN
107.32,2.81e-17,NaN
107.33,2.85e-17,NaN
107.35,2.9e-17,NaN
107.37,2.94e-17,NaN
107.39,2.96e-17,NaN
107.42,2.98e-17,NaN
107.44,3.01e-17,NaN
107.45,3.05e-17,NaN
107.46,3.08e-17,NaN
107.47,3.13e-17,NaN
107.49,3.09e-17,NaN
107.5,3.04e-17,NaN
107.51,2.97e-17,NaN
107.51,2.88e-17,NaN
107.52,2.85e-17,NaN
107.53,2.79e-17,NaN
107.54,2.71e-17,NaN
107.55,2.65e-17,NaN
107.56,2.58e-17,NaN
107.57,2.56e-17,NaN
107.58,2.59e-17,NaN
107.6,2.63e-17,NaN
107.61,2.66e-17,NaN
107.63,2.7e-17,NaN
107.65,2.75e-17,NaN
107.66,2.72e-17,NaN
107.69,2.66e-17,NaN
107.71,2.59e-17,NaN
107.72,2.51e-17,NaN
107.73,2.41e-17,NaN
107.75,2.34e-17,NaN
107.76,2.31e-17,NaN
107.78,2.36e-17,NaN
107.79,2.43e-17,NaN
107.81,2.49e-17,NaN
107.81,2.55e-17,NaN
107.83,2.62e-17,NaN
107.84,2.69e-17,NaN
107.87,2.73e-17,NaN
107.9,2.78e-17,NaN
107.91,2.84e-17,NaN
107.93,2.87e-17,NaN
107.94,2.94e-17,NaN
107.95,2.99e-17,NaN
107.96,3.05e-17,NaN
107.97,3.07e-17,NaN
107.98,3.04e-17,NaN
107.99,2.96e-17,NaN
108.0,2.85e-17,NaN
108.01,2.74e-17,NaN
108.02,2.7e-17,NaN
108.03,2.64e-17,NaN
108.04,2.58e-17,NaN
108.05,2.55e-17,NaN
108.06,2.53e-17,NaN
108.07,2.51e-17,NaN
108.09,2.53e-17,NaN
108.09,2.58e-17,NaN
108.11,2.61e-17,NaN
108.12,2.66e-17,NaN
108.14,2.7e-17,NaN
108.15,2.75e-17,NaN
108.16,2.77e-17,NaN
108.18,2.83e-17,NaN
