λ,σ,Δσ
105.74,5.3e-17,NaN
106.45,5.55e-17,NaN
107.07,5.7e-17,NaN
107.56,5.57e-17,NaN
108.14,5.43e-17,NaN
108.77,5.83e-17,NaN
109.33,5.64e-17,NaN
110.1,5.79e-17,NaN
110.52,6.14e-17,NaN
110.89,6.33e-17,NaN
111.15,6.58e-17,NaN
111.7,6.32e-17,NaN
112.37,6.63e-17,NaN
112.81,6.38e-17,NaN
113.32,6.18e-17,NaN
113.91,6.3e-17,NaN
114.33,6.49e-17,NaN
114.85,6.6e-17,NaN
115.64,6.37e-17,NaN
116.19,6.48e-17,NaN
116.63,6.41e-17,NaN
117.27,6.28e-17,NaN
117.48,6.51e-17,NaN
117.83,6.25e-17,NaN
118.19,5.99e-17,NaN
118.49,6.37e-17,NaN
118.87,6.8e-17,NaN
119.08,6.59e-17,NaN
119.4,6.5e-17,NaN
119.61,6.1e-17,NaN
119.65,5.79e-17,NaN
119.73,5.45e-17,NaN
119.86,5.07e-17,NaN
120.13,6.08e-17,NaN
120.32,5.85e-17,NaN
120.51,6.62e-17,NaN
120.61,6.29e-17,NaN
120.67,5.25e-17,NaN
120.85,4.85e-17,NaN
121.05,5.28e-17,NaN
121.23,5.84e-17,NaN
121.45,5.7e-17,NaN
121.55,6.77e-17,NaN
121.64,7.84e-17,NaN
121.96,7.24e-17,NaN
122.1,6.71e-17,NaN
122.49,6.28e-17,NaN
122.52,6.14e-17,NaN
122.56,4.42e-17,NaN
122.78,4.06e-17,NaN
123.01,4.58e-17,NaN
123.03,4.76e-17,NaN
123.06,6.25e-17,NaN
123.14,7.16e-17,NaN
123.47,7.11e-17,NaN
123.57,6.62e-17,NaN
123.63,6.05e-17,NaN
123.73,5.54e-17,NaN
123.81,5.21e-17,NaN
124.06,5.57e-17,NaN
124.21,5.08e-17,NaN
124.4,5.76e-17,NaN
124.51,8.75e-17,NaN
124.58,9.46e-17,NaN
125.05,9.37e-17,NaN
125.22,7.66e-17,NaN
125.36,5.87e-17,NaN
125.37,4.99e-17,NaN
125.55,4.3e-17,NaN
125.66,4.03e-17,NaN
125.85,3.72e-17,NaN
126.09,4.27e-17,NaN
126.17,3.92e-17,NaN
126.25,3.49e-17,NaN
126.39,3.31e-17,NaN
126.49,3.95e-17,NaN
126.6,4.88e-17,NaN
126.66,5.7e-17,NaN
126.72,6.65e-17,NaN
126.82,7.43e-17,NaN
127.24,7.43e-17,NaN
127.33,6.59e-17,NaN
127.6,5.81e-17,NaN
127.78,6.86e-17,NaN
128.02,7.19e-17,NaN
128.04,7.28e-17,NaN
128.06,1.03e-16,NaN
128.25,9.3e-17,NaN
128.3,8.76e-17,NaN
128.44,7.98e-17,NaN
128.51,7.15e-17,NaN
128.58,6.54e-17,NaN
128.67,5.75e-17,NaN
128.78,5.03e-17,NaN
128.99,4.41e-17,NaN
129.15,3.93e-17,NaN
129.35,3.43e-17,NaN
129.58,3.46e-17,NaN
129.87,3.3e-17,NaN
130.19,3.87e-17,NaN
130.57,3.62e-17,NaN
130.77,5.34e-17,NaN
130.84,6.9e-17,NaN
131.06,9.5e-17,NaN
131.32,6.9e-17,NaN
131.53,5.04e-17,NaN
131.77,5.52e-17,NaN
131.93,7.04e-17,NaN
131.95,7.16e-17,NaN
132.23,7.67e-17,NaN
132.43,9.17e-17,NaN
132.59,7.31e-17,NaN
132.67,6.21e-17,NaN
132.79,5.15e-17,NaN
133.07,4.83e-17,NaN
133.31,3.98e-17,NaN
133.43,3.33e-17,NaN
133.53,2.9e-17,NaN
133.92,2.48e-17,NaN
134.21,2.69e-17,NaN
134.31,3.14e-17,NaN
134.32,4.07e-17,NaN
134.39,5.33e-17,NaN
134.47,1.1e-16,NaN
134.52,1.19e-16,NaN
134.88,7.82e-17,NaN
135.0,5.37e-17,NaN
135.14,3.86e-17,NaN
135.27,2.78e-17,NaN
135.52,2.36e-17,NaN
135.65,2.08e-17,NaN
135.88,1.92e-17,NaN
136.2,2.04e-17,NaN
136.52,2.2e-17,NaN
136.7,2.66e-17,NaN
136.86,1.92e-17,NaN
136.99,1.45e-17,NaN
137.28,1.67e-17,NaN
137.43,2.02e-17,NaN
137.66,1.79e-17,NaN
137.69,1.58e-17,NaN
138.06,1.55e-17,NaN
138.25,1.37e-17,NaN
138.45,1.47e-17,NaN
138.53,1.61e-17,NaN
138.6,1.77e-17,NaN
138.73,2.07e-17,NaN
139.03,1.77e-17,NaN
139.08,1.56e-17,NaN
139.22,1.47e-17,NaN
139.58,1.59e-17,NaN
139.85,1.74e-17,NaN
140.01,1.94e-17,NaN
140.05,2.22e-17,NaN
140.11,2.56e-17,NaN
140.23,3.62e-17,NaN
140.46,6.6e-17,NaN
140.76,3.65e-17,NaN
140.96,2.52e-17,NaN
141.41,2.81e-17,NaN
141.63,2.47e-17,NaN
141.7,2.18e-17,NaN
141.91,1.9e-17,NaN
142.34,1.58e-17,NaN
142.64,1.85e-17,NaN
142.86,2.2e-17,NaN
143.02,1.78e-17,NaN
143.03,1.73e-17,NaN
143.11,1.29e-17,NaN
143.38,1.21e-17,NaN
143.69,1.14e-17,NaN
143.92,1.17e-17,NaN
144.31,1.1e-17,NaN
144.57,1.18e-17,NaN
144.71,1.32e-17,NaN
144.9,1.48e-17,NaN
145.08,1.98e-17,NaN
145.24,2.64e-17,NaN
145.6,2.0e-17,NaN
145.88,1.52e-17,NaN
146.26,1.68e-17,NaN
146.49,2.0e-17,NaN
146.58,2.58e-17,NaN
146.58,2.67e-17,NaN
146.72,3.56e-17,NaN
146.93,4.78e-17,NaN
147.13,3.53e-17,NaN
147.16,2.67e-17,NaN
147.21,2.34e-17,NaN
147.24,1.97e-17,NaN
147.48,1.72e-17,NaN
147.61,1.55e-17,NaN
147.88,1.39e-17,NaN
