λ,σ,Δσ
103.38,5.05e-18,NaN
103.49,2.96e-18,NaN
103.62,4.75e-18,NaN
103.69,5.87e-18,NaN
103.82,4.04e-18,NaN
103.95,6.8e-18,NaN
104.0,9.12e-18,NaN
104.15,5.87e-18,NaN
104.2,9.38e-18,NaN
104.23,1.23e-17,NaN
104.35,1.13e-17,NaN
104.38,1.31e-17,NaN
104.41,1.6e-17,NaN
104.42,1.89e-17,NaN
104.55,1.72e-17,NaN
104.72,1.77e-17,NaN
104.73,1.82e-17,NaN
104.79,2.95e-17,NaN
104.8,2.98e-17,NaN
104.98,3.19e-17,NaN
105.05,3.39e-17,NaN
105.26,3.56e-17,NaN
105.34,3.62e-17,NaN
105.39,3.79e-17,NaN
105.52,3.7e-17,NaN
105.61,3.75e-17,NaN
105.69,3.87e-17,NaN
105.76,3.75e-17,NaN
105.88,4.0e-17,NaN
105.96,3.66e-17,NaN
106.05,3.88e-17,NaN
106.13,4.12e-17,NaN
106.22,4.22e-17,NaN
106.33,4.18e-17,NaN
106.44,4.61e-17,NaN
106.54,4.27e-17,NaN
106.6,4.47e-17,NaN
106.8,4.18e-17,NaN
106.97,4.32e-17,NaN
107.09,4.3e-17,NaN
107.19,4.36e-17,NaN
107.29,4.26e-17,NaN
107.36,4.39e-17,NaN
107.39,4.54e-17,NaN
107.46,4.5e-17,NaN
107.54,4.59e-17,NaN
107.61,4.74e-17,NaN
107.69,4.58e-17,NaN
107.8,4.46e-17,NaN
107.94,4.55e-17,NaN
108.08,4.69e-17,NaN
108.16,4.47e-17,NaN
108.24,4.84e-17,NaN
108.24,4.66e-17,NaN
108.39,4.86e-17,NaN
108.55,4.97e-17,NaN
108.71,4.92e-17,NaN
108.79,4.85e-17,NaN
108.84,4.72e-17,NaN
108.92,4.9e-17,NaN
108.99,4.7e-17,NaN
109.11,4.98e-17,NaN
109.21,4.73e-17,NaN
109.27,4.93e-17,NaN
109.33,5.13e-17,NaN
109.51,4.99e-17,NaN
109.63,5.11e-17,NaN
109.76,5.2e-17,NaN
109.93,5.26e-17,NaN
110.1,5.35e-17,NaN
110.33,5.45e-17,NaN
110.46,5.37e-17,NaN
110.52,5.49e-17,NaN
110.67,5.6e-17,NaN
110.83,5.73e-17,NaN
110.99,5.65e-17,NaN
111.06,5.76e-17,NaN
111.15,5.86e-17,NaN
111.19,5.6e-17,NaN
111.35,5.75e-17,NaN
111.42,5.61e-17,NaN
111.45,5.91e-17,NaN
111.61,5.98e-17,NaN
111.72,5.82e-17,NaN
111.82,5.94e-17,NaN
111.86,6.2e-17,NaN
111.95,5.82e-17,NaN
112.04,6.02e-17,NaN
112.14,5.96e-17,NaN
112.23,6.07e-17,NaN
112.33,6.17e-17,NaN
112.41,6.31e-17,NaN
112.52,6.45e-17,NaN
112.6,6.28e-17,NaN
112.63,6.1e-17,NaN
112.72,6.17e-17,NaN
112.8,6.07e-17,NaN
112.87,6.16e-17,NaN
112.98,6.2e-17,NaN
112.98,6.21e-17,NaN
113.02,6.36e-17,NaN
113.19,6.14e-17,NaN
113.27,6.31e-17,NaN
113.34,6.54e-17,NaN
113.44,6.48e-17,NaN
113.49,6.4e-17,NaN
113.62,6.26e-17,NaN
113.71,6.4e-17,NaN
113.82,6.29e-17,NaN
113.99,6.51e-17,NaN
114.08,6.48e-17,NaN
114.16,6.27e-17,NaN
114.27,6.52e-17,NaN
114.35,6.6e-17,NaN
114.38,6.43e-17,NaN
114.6,6.4e-17,NaN
114.71,6.5e-17,NaN
114.79,6.45e-17,NaN
114.88,6.6e-17,NaN
114.97,6.86e-17,NaN
115.11,6.61e-17,NaN
115.14,6.37e-17,NaN
115.25,6.22e-17,NaN
