λ,σ,Δσ
115.1,4.69e-17,NaN
115.57,4.54e-17,NaN
116.03,4.52e-17,NaN
116.15,4.37e-17,NaN
116.57,4.51e-17,NaN
117.07,4.65e-17,NaN
117.8,4.34e-17,NaN
118.29,4.18e-17,NaN
118.71,4.75e-17,NaN
118.88,4.82e-17,NaN
119.02,3.87e-17,NaN
119.18,4.16e-17,NaN
119.48,4.22e-17,NaN
119.72,3.85e-17,NaN
119.98,4.28e-17,NaN
120.19,4.42e-17,NaN
120.37,3.98e-17,NaN
120.57,4.49e-17,NaN
120.78,3.46e-17,NaN
120.86,3.89e-17,NaN
120.93,3.6e-17,NaN
120.97,3.89e-17,NaN
121.08,4.7e-17,NaN
121.25,3.89e-17,NaN
121.34,3.52e-17,NaN
121.58,4.1e-17,NaN
121.77,4.83e-17,NaN
121.84,8.2e-17,NaN
121.95,5.26e-17,NaN
122.21,3.57e-17,NaN
122.35,4.23e-17,NaN
122.45,4.59e-17,NaN
122.56,4.29e-17,NaN
122.72,3.34e-17,NaN
122.82,3.48e-17,NaN
123.04,4.21e-17,NaN
123.14,6.48e-17,NaN
123.35,3.69e-17,NaN
123.53,4.34e-17,NaN
123.75,3.16e-17,NaN
123.86,5.51e-17,NaN
123.97,3.53e-17,NaN
124.1,4.4e-17,NaN
124.24,3.23e-17,NaN
124.29,5.13e-17,NaN
124.37,7.33e-17,NaN
124.48,4.76e-17,NaN
124.58,3.66e-17,NaN
124.71,5.86e-17,NaN
124.86,4.68e-17,NaN
125.04,7.1e-17,NaN
125.07,1.26e-16,NaN
125.12,1.87e-16,NaN
125.17,1.05e-16,NaN
125.27,1.08e-16,NaN
125.34,7.38e-17,NaN
125.36,4.74e-17,NaN
125.51,3.49e-17,NaN
125.64,5.32e-17,NaN
125.69,7.52e-17,NaN
125.78,5.32e-17,NaN
125.93,4.29e-17,NaN
126.2,3.55e-17,NaN
126.38,5.52e-17,NaN
126.4,9.85e-17,NaN
126.44,1.34e-16,NaN
126.55,1.04e-16,NaN
126.6,4.97e-17,NaN
126.7,4.64e-17,NaN
127.38,7.48e-17,NaN
127.71,6.3e-17,NaN
127.97,9.52e-17,NaN
128.09,1.6e-16,NaN
128.23,2.14e-16,NaN
128.32,1.76e-16,NaN
128.41,1.38e-16,NaN
128.41,1.38e-16,NaN
128.53,8.85e-17,NaN
128.63,2.95e-16,NaN
128.67,1.03e-16,NaN
128.78,1.18e-16,NaN
128.81,8.03e-17,NaN
129.02,6.19e-17,NaN
129.12,1.07e-16,NaN
129.17,2.01e-16,NaN
129.23,1.04e-16,NaN
129.33,8.24e-17,NaN
129.46,6.26e-17,NaN
129.49,3.61e-17,NaN
129.73,2.36e-17,NaN
129.94,2.8e-17,NaN
130.06,8.22e-17,NaN
130.2,4.55e-17,NaN
130.33,1.02e-16,NaN
130.39,1.75e-16,NaN
130.42,9.54e-17,NaN
130.49,6.31e-17,NaN
130.67,4.03e-17,NaN
130.82,2.85e-17,NaN
131.03,3.58e-17,NaN
131.13,3.13e-17,NaN
131.32,2.98e-17,NaN
131.46,2.1e-17,NaN
131.65,2.54e-17,NaN
131.79,2.46e-17,NaN
131.88,7.15e-17,NaN
131.95,3.48e-17,NaN
132.1,1.86e-17,NaN
132.37,3.47e-17,NaN
132.56,3.69e-17,NaN
132.58,7.71e-17,NaN
132.62,8.53e-17,NaN
132.76,9.99e-17,NaN
132.77,1.74e-16,NaN
132.86,4.94e-16,NaN
132.95,2.33e-16,NaN
133.18,9.23e-17,NaN
133.32,3.38e-17,NaN
133.76,1.9e-17,NaN
134.21,1.59e-17,NaN
134.7,2.76e-17,NaN
135.2,2.74e-17,NaN
135.49,4.13e-17,NaN
135.64,6.03e-17,NaN
135.73,1.84e-16,NaN
135.83,9.77e-17,NaN
135.93,6.47e-17,NaN
136.08,9.25e-17,NaN
136.27,1.14e-16,NaN
136.36,8.44e-17,NaN
136.55,7.48e-17,NaN
136.77,1.04e-16,NaN
136.95,1.49e-16,NaN
137.09,1.03e-16,NaN
137.16,6.88e-17,NaN
137.36,3.87e-17,NaN
137.8,2.83e-17,NaN
138.25,3.7e-17,NaN
138.77,4.71e-17,NaN
139.12,4.12e-17,NaN
139.25,3.31e-17,NaN
139.52,4.99e-17,NaN
139.81,9.31e-17,NaN
139.99,1.65e-16,NaN
140.14,2.46e-16,NaN
140.29,3.4e-16,NaN
140.42,2.94e-16,NaN
140.55,2.46e-16,NaN
140.59,1.84e-16,NaN
140.68,1.36e-16,NaN
140.85,9.65e-17,NaN
141.02,6.64e-17,NaN
141.49,3.77e-17,NaN
141.96,2.58e-17,NaN
142.18,2.58e-17,NaN
142.45,3.45e-17,NaN
142.65,4.47e-17,NaN
142.92,4.47e-17,NaN
143.19,3.95e-17,NaN
143.63,4.6e-17,NaN
