λ,σ,Δσ
220.0,2.1e-17,NaN
225.0,3.2e-17,NaN
230.0,3.9e-17,NaN
235.0,3.2e-17,NaN
240.0,2.4e-17,NaN
245.0,2.08e-18,NaN
250.0,1.3e-18,NaN
255.0,9.2e-19,NaN
260.0,1.3e-18,NaN
265.0,1.64e-18,NaN
270.0,1.99e-18,NaN
275.0,2.27e-18,NaN
280.0,1.72e-18,NaN
285.0,1.83e-18,NaN
290.0,1.2e-19,NaN
295.0,5.3e-20,NaN
300.0,4.3e-20,NaN
305.0,5.6e-20,NaN
310.0,4.8e-20,NaN
315.0,6.58e-20,NaN
320.0,5.76e-20,NaN
325.0,6.49e-20,NaN
330.0,6.67e-20,NaN
335.0,6.77e-20,NaN
340.0,6.27e-20,NaN
345.0,4.71e-20,NaN
350.0,5.08e-20,NaN
355.0,3.85e-20,NaN
360.0,4.68e-20,NaN
365.0,4.18e-20,NaN
370.0,1.3e-20,NaN
375.0,4.3e-21,NaN
380.0,7.0e-22,NaN
385.0,2.0e-22,NaN
390.0,1.0e-22,NaN
395.0,2.0e-22,NaN
