λ,σ,Δσ
128.5,2.607e-17,NaN
128.55,2.596e-17,NaN
128.6,2.587e-17,NaN
128.65,2.58e-17,NaN
128.7,2.573e-17,NaN
128.75,2.566e-17,NaN
128.8,2.558e-17,NaN
128.85,2.55e-17,NaN
128.9,2.541e-17,NaN
128.95,2.533e-17,NaN
129.0,2.535e-17,NaN
129.05,2.537e-17,NaN
129.1,2.539e-17,NaN
129.15,2.54e-17,NaN
129.2,2.53e-17,NaN
129.25,2.521e-17,NaN
129.3,2.511e-17,NaN
129.35,2.506e-17,NaN
129.4,2.507e-17,NaN
129.45,2.508e-17,NaN
129.5,2.51e-17,NaN
129.55,2.507e-17,NaN
129.6,2.502e-17,NaN
129.65,2.496e-17,NaN
129.7,2.49e-17,NaN
129.75,2.494e-17,NaN
129.8,2.5e-17,NaN
129.85,2.507e-17,NaN
129.9,2.514e-17,NaN
129.95,2.515e-17,NaN
130.0,2.516e-17,NaN
130.05,2.516e-17,NaN
130.1,2.518e-17,NaN
130.15,2.526e-17,NaN
130.2,2.535e-17,NaN
130.25,2.544e-17,NaN
130.3,2.545e-17,NaN
130.35,2.528e-17,NaN
130.4,2.511e-17,NaN
130.45,2.494e-17,NaN
130.5,2.478e-17,NaN
130.55,2.463e-17,NaN
130.6,2.447e-17,NaN
130.65,2.432e-17,NaN
130.7,2.439e-17,NaN
130.75,2.455e-17,NaN
130.8,2.471e-17,NaN
130.85,2.488e-17,NaN
130.9,2.501e-17,NaN
130.95,2.515e-17,NaN
131.0,2.528e-17,NaN
131.05,2.539e-17,NaN
131.1,2.53e-17,NaN
131.15,2.521e-17,NaN
131.2,2.513e-17,NaN
131.25,2.501e-17,NaN
131.3,2.48e-17,NaN
131.35,2.46e-17,NaN
131.4,2.439e-17,NaN
131.45,2.432e-17,NaN
131.5,2.44e-17,NaN
131.55,2.447e-17,NaN
131.6,2.454e-17,NaN
131.65,2.476e-17,NaN
131.7,2.505e-17,NaN
131.75,2.534e-17,NaN
131.8,2.563e-17,NaN
131.85,2.549e-17,NaN
131.9,2.528e-17,NaN
131.95,2.506e-17,NaN
132.0,2.484e-17,NaN
132.05,2.44e-17,NaN
132.1,2.397e-17,NaN
132.15,2.353e-17,NaN
132.2,2.318e-17,NaN
132.25,2.31e-17,NaN
132.3,2.301e-17,NaN
132.35,2.292e-17,NaN
132.4,2.287e-17,NaN
132.45,2.287e-17,NaN
132.5,2.287e-17,NaN
132.55,2.287e-17,NaN
132.6,2.288e-17,NaN
132.65,2.29e-17,NaN
132.7,2.293e-17,NaN
132.75,2.295e-17,NaN
132.8,2.321e-17,NaN
132.85,2.35e-17,NaN
132.9,2.38e-17,NaN
132.95,2.411e-17,NaN
133.0,2.477e-17,NaN
133.05,2.543e-17,NaN
133.1,2.608e-17,NaN
133.15,2.661e-17,NaN
133.2,2.677e-17,NaN
133.25,2.693e-17,NaN
133.3,2.709e-17,NaN
133.35,2.702e-17,NaN
133.4,2.669e-17,NaN
133.45,2.636e-17,NaN
