λ,σ,Δσ
191.04,2.45e-24,7.07e-23
191.28,1.3e-23,7.39e-23
191.54,2.86e-23,7.33e-23
192.03,1.7e-24,7.71e-23
192.29,4.33e-23,6.17e-23
192.54,5.44e-23,8.54e-23
192.79,6.53e-23,6.65e-23
193.03,2.37e-23,7.13e-23
193.53,2.82e-24,6.46e-23
193.77,8.98e-23,6.21e-23
194.04,1.12e-22,7.71e-23
194.3,6.38e-23,7.29e-23
194.54,1.2e-23,7.2e-23
194.78,2.69e-24,6.37e-23
195.03,5.1e-23,6.14e-23
195.28,8.87e-23,7.13e-23
195.53,1.67e-22,7.01e-23
195.8,1.63e-22,7.13e-23
196.06,6.65e-23,5.95e-23
196.27,1.72e-23,6.05e-23
196.55,5.81e-25,5.18e-23
196.76,9.46e-23,7.58e-23
197.04,2.12e-22,6.08e-23
197.29,1.44e-22,8.03e-23
197.53,1.04e-23,6.49e-23
197.81,2.69e-24,5.79e-23
198.04,3.66e-23,6.01e-23
198.3,1.09e-22,7.01e-23
198.52,2.55e-22,8.22e-23
198.77,2.95e-22,6.27e-23
199.04,5.66e-23,7.23e-23
199.32,2.86e-25,5.89e-23
199.55,3.83e-23,5.63e-23
199.8,1.35e-22,8.09e-23
200.03,2.07e-22,8.03e-23
200.28,3.16e-22,8.41e-23
200.54,1.34e-22,6.69e-23
200.75,1.17e-23,7.39e-23
201.04,2.34e-24,6.72e-23
201.29,5.64e-23,6.46e-23
201.53,2.16e-22,7.39e-23
201.77,2.74e-22,7.07e-23
202.05,1.49e-22,8.22e-23
202.25,4.19e-23,6.72e-23
202.53,1.54e-24,7.29e-23
202.8,1.08e-23,6.94e-23
203.03,7.15e-23,6.72e-23
203.28,1.57e-22,7.39e-23
203.55,1.71e-22,7.74e-23
203.79,4.75e-23,7.45e-23
204.01,3.5e-23,5.98e-23
204.53,1.97e-24,6.69e-23
204.8,4.1e-23,6.33e-23
205.03,9.15e-23,6.85e-23
