λ,σ,Δσ
86.7,4.16e-17,NaN
86.73,3.98e-17,NaN
86.74,3.7e-17,NaN
86.78,3.78e-17,NaN
86.8,3.95e-17,NaN
86.81,3.63e-17,NaN
86.84,3.27e-17,NaN
86.87,3.03e-17,NaN
86.89,2.75e-17,NaN
86.92,2.5e-17,NaN
86.94,2.71e-17,NaN
86.96,3.04e-17,NaN
86.97,3.46e-17,NaN
86.98,3.82e-17,NaN
86.98,4.27e-17,NaN
86.99,4.52e-17,NaN
87.01,4.31e-17,NaN
87.04,4.27e-17,NaN
87.05,4.1e-17,NaN
87.06,3.88e-17,NaN
87.06,3.63e-17,NaN
87.09,3.41e-17,NaN
87.11,3.75e-17,NaN
87.13,4.28e-17,NaN
87.13,4.69e-17,NaN
87.14,5.19e-17,NaN
87.15,5.66e-17,NaN
87.17,5.46e-17,NaN
87.18,5.2e-17,NaN
87.2,5.2e-17,NaN
87.21,4.68e-17,NaN
87.23,4.24e-17,NaN
87.24,3.76e-17,NaN
87.26,3.62e-17,NaN
87.27,3.36e-17,NaN
87.29,2.97e-17,NaN
87.31,3.05e-17,NaN
87.35,3.04e-17,NaN
87.36,2.78e-17,NaN
87.37,2.49e-17,NaN
87.39,2.65e-17,NaN
87.43,2.38e-17,NaN
87.45,2.54e-17,NaN
87.47,2.44e-17,NaN
87.5,2.66e-17,NaN
87.52,2.54e-17,NaN
87.53,2.28e-17,NaN
87.54,2.11e-17,NaN
87.57,2.34e-17,NaN
87.58,2.55e-17,NaN
87.62,2.58e-17,NaN
87.62,2.67e-17,NaN
87.63,2.95e-17,NaN
87.64,3.19e-17,NaN
87.66,2.95e-17,NaN
87.67,2.69e-17,NaN
87.69,2.48e-17,NaN
87.71,2.27e-17,NaN
87.73,2.38e-17,NaN
87.74,2.54e-17,NaN
87.75,2.83e-17,NaN
87.77,3.14e-17,NaN
87.78,3.4e-17,NaN
87.78,3.71e-17,NaN
87.79,4.11e-17,NaN
87.8,4.46e-17,NaN
87.81,4.29e-17,NaN
87.83,4.32e-17,NaN
87.84,4.01e-17,NaN
87.85,3.68e-17,NaN
87.87,3.4e-17,NaN
87.88,3.16e-17,NaN
87.92,3.0e-17,NaN
87.93,3.24e-17,NaN
87.94,3.44e-17,NaN
87.96,3.5e-17,NaN
87.97,3.7e-17,NaN
87.98,3.83e-17,NaN
87.99,4.05e-17,NaN
88.0,4.36e-17,NaN
88.0,4.74e-17,NaN
88.02,4.92e-17,NaN
88.04,4.98e-17,NaN
88.06,5.33e-17,NaN
88.07,5.73e-17,NaN
88.08,6.19e-17,NaN
88.08,6.51e-17,NaN
88.1,6.79e-17,NaN
88.12,6.55e-17,NaN
88.14,6.28e-17,NaN
88.15,6.05e-17,NaN
88.18,6.0e-17,NaN
88.2,5.69e-17,NaN
88.22,5.36e-17,NaN
88.25,5.17e-17,NaN
88.26,4.95e-17,NaN
88.28,4.72e-17,NaN
88.29,4.36e-17,NaN
88.3,3.86e-17,NaN
88.32,3.65e-17,NaN
88.33,3.32e-17,NaN
88.35,2.95e-17,NaN
88.37,2.99e-17,NaN
88.38,2.56e-17,NaN
88.4,2.36e-17,NaN
88.42,2.56e-17,NaN
88.43,3.01e-17,NaN
88.44,3.38e-17,NaN
88.46,3.66e-17,NaN
88.48,3.42e-17,NaN
88.49,3.08e-17,NaN
88.5,2.73e-17,NaN
88.51,3.34e-17,NaN
88.52,4.05e-17,NaN
88.52,4.1e-17,NaN
88.53,5.19e-17,NaN
88.54,5.43e-17,NaN
88.56,5.2e-17,NaN
88.58,4.7e-17,NaN
88.59,4.07e-17,NaN
88.61,3.51e-17,NaN
88.62,2.91e-17,NaN
88.64,2.62e-17,NaN
88.65,2.8e-17,NaN
88.67,3.05e-17,NaN
88.69,2.64e-17,NaN
88.7,2.33e-17,NaN
88.71,1.98e-17,NaN
88.75,2.3e-17,NaN
88.76,2.68e-17,NaN
88.77,3.3e-17,NaN
88.78,3.81e-17,NaN
88.79,4.5e-17,NaN
88.8,4.63e-17,NaN
88.81,5.07e-17,NaN
88.82,5.76e-17,NaN
88.82,5.16e-17,NaN
88.84,4.4e-17,NaN
88.85,5.12e-17,NaN
88.86,5.86e-17,NaN
88.87,5.19e-17,NaN
88.89,4.58e-17,NaN
88.9,5.36e-17,NaN
88.9,6.06e-17,NaN
88.91,5.46e-17,NaN
88.92,4.99e-17,NaN
88.94,5.26e-17,NaN
88.95,4.72e-17,NaN
88.96,5.06e-17,NaN
88.97,5.66e-17,NaN
88.97,7.02e-17,NaN
88.98,6.7e-17,NaN
89.0,6.8e-17,NaN
89.0,6.24e-17,NaN
89.0,5.47e-17,NaN
89.01,4.51e-17,NaN
89.02,3.52e-17,NaN
89.03,4.79e-17,NaN
89.04,6.1e-17,NaN
89.05,5.98e-17,NaN
89.05,6.81e-17,NaN
89.06,7.84e-17,NaN
89.07,9.39e-17,NaN
89.08,7.83e-17,NaN
89.09,6.81e-17,NaN
89.09,5.89e-17,NaN
89.1,5.3e-17,NaN
89.12,5.79e-17,NaN
89.13,6.02e-17,NaN
89.13,6.23e-17,NaN
89.15,5.91e-17,NaN
89.15,6.35e-17,NaN
89.16,7.17e-17,NaN
89.16,6.21e-17,NaN
89.18,5.56e-17,NaN
89.19,6.45e-17,NaN
89.19,7.28e-17,NaN
89.2,9.26e-17,NaN
89.21,7.27e-17,NaN
89.22,5.61e-17,NaN
89.22,4.93e-17,NaN
89.23,4.25e-17,NaN
89.24,3.6e-17,NaN
89.26,3.7e-17,NaN
89.27,3.44e-17,NaN
89.28,4.66e-17,NaN
89.29,7.16e-17,NaN
89.3,4.6e-17,NaN
89.31,2.97e-17,NaN
89.31,2.18e-17,NaN
89.32,1.83e-17,NaN
89.33,1.86e-17,NaN
89.35,1.5e-17,NaN
89.36,1.81e-17,NaN
89.38,2.09e-17,NaN
89.4,2.48e-17,NaN
89.42,3.09e-17,NaN
89.44,2.54e-17,NaN
89.45,1.99e-17,NaN
89.46,2.46e-17,NaN
89.47,3.16e-17,NaN
89.47,4.01e-17,NaN
89.47,5.27e-17,NaN
89.48,8.01e-17,NaN
89.49,5.27e-17,NaN
89.5,4.06e-17,NaN
89.5,3.36e-17,NaN
89.52,2.48e-17,NaN
89.53,2.98e-17,NaN
89.54,3.54e-17,NaN
89.57,2.64e-17,NaN
89.59,2.64e-17,NaN
89.61,2.32e-17,NaN
89.63,2.62e-17,NaN
89.63,2.65e-17,NaN
89.63,3.79e-17,NaN
89.64,4.58e-17,NaN
89.66,5.73e-17,NaN
89.66,7.43e-17,NaN
89.67,8.77e-17,NaN
89.68,1.02e-16,NaN
89.69,9.66e-17,NaN
89.7,9.0e-17,NaN
89.71,9.71e-17,NaN
89.72,1.07e-16,NaN
89.74,8.77e-17,NaN
89.74,7.45e-17,NaN
89.76,5.68e-17,NaN
89.77,4.85e-17,NaN
89.77,4.38e-17,NaN
89.78,3.99e-17,NaN
89.8,3.64e-17,NaN
89.81,4.39e-17,NaN
89.81,4.8e-17,NaN
89.82,5.75e-17,NaN
89.82,4.82e-17,NaN
89.83,4.13e-17,NaN
89.84,3.03e-17,NaN
89.85,3.5e-17,NaN
89.86,3.17e-17,NaN
89.87,2.48e-17,NaN
89.88,3.23e-17,NaN
89.89,3.83e-17,NaN
89.9,3.02e-17,NaN
89.91,2.2e-17,NaN
89.93,2.77e-17,NaN
89.95,2.4e-17,NaN
89.96,1.97e-17,NaN
89.96,1.6e-17,NaN
89.99,1.32e-17,NaN
90.0,1.52e-17,NaN
90.01,1.88e-17,NaN
90.03,2.22e-17,NaN
90.05,1.9e-17,NaN
90.07,2.02e-17,NaN
90.07,2.65e-17,NaN
90.07,3.22e-17,NaN
90.08,4.09e-17,NaN
90.08,5.84e-17,NaN
90.09,7.6e-17,NaN
90.1,5.83e-17,NaN
90.12,4.06e-17,NaN
90.13,3.9e-17,NaN
90.14,3.36e-17,NaN
90.15,2.69e-17,NaN
90.16,2.2e-17,NaN
90.18,2.51e-17,NaN
90.18,2.89e-17,NaN
90.19,3.33e-17,NaN
90.2,2.82e-17,NaN
90.21,3.04e-17,NaN
90.21,3.51e-17,NaN
90.22,3.89e-17,NaN
90.23,4.84e-17,NaN
90.24,3.96e-17,NaN
90.24,2.65e-17,NaN
90.25,2.5e-17,NaN
90.28,2.99e-17,NaN
90.29,3.56e-17,NaN
90.31,2.26e-17,NaN
90.32,3.11e-17,NaN
90.33,3.84e-17,NaN
90.33,4.72e-17,NaN
90.34,6.34e-17,NaN
90.35,4.71e-17,NaN
90.36,3.11e-17,NaN
90.38,3.84e-17,NaN
90.39,4.56e-17,NaN
90.41,3.76e-17,NaN
90.42,2.93e-17,NaN
90.44,2.49e-17,NaN
90.47,2.08e-17,NaN
90.49,2.52e-17,NaN
90.49,3.14e-17,NaN
90.5,3.97e-17,NaN
90.5,4.88e-17,NaN
90.5,6.44e-17,NaN
90.5,8.4e-17,NaN
90.5,1.11e-16,NaN
90.51,1.64e-16,NaN
90.51,1.75e-16,NaN
90.53,1.37e-16,NaN
90.54,1.11e-16,NaN
90.56,8.39e-17,NaN
90.57,6.45e-17,NaN
90.58,4.93e-17,NaN
90.59,3.58e-17,NaN
90.62,2.39e-17,NaN
90.62,3.35e-17,NaN
90.62,6.06e-17,NaN
90.63,7.7e-17,NaN
90.63,9.74e-17,NaN
90.64,1.21e-16,NaN
90.66,9.74e-17,NaN
90.66,7.7e-17,NaN
90.67,6.28e-17,NaN
90.69,5.17e-17,NaN
90.69,4.47e-17,NaN
90.7,3.9e-17,NaN
90.72,3.52e-17,NaN
90.73,3.87e-17,NaN
90.73,4.32e-17,NaN
90.74,5.21e-17,NaN
90.76,6.14e-17,NaN
90.77,5.34e-17,NaN
90.77,4.57e-17,NaN
90.78,3.84e-17,NaN
90.79,4.54e-17,NaN
90.8,5.16e-17,NaN
90.81,4.63e-17,NaN
90.82,3.97e-17,NaN
90.84,3.18e-17,NaN
90.85,4.04e-17,NaN
90.85,4.88e-17,NaN
90.86,6.78e-17,NaN
90.86,8.99e-17,NaN
90.87,6.87e-17,NaN
90.88,5.28e-17,NaN
90.89,4.34e-17,NaN
90.9,3.73e-17,NaN
90.91,4.24e-17,NaN
90.92,4.93e-17,NaN
90.93,6.99e-17,NaN
90.94,8.05e-17,NaN
90.95,7.44e-17,NaN
90.96,9.43e-17,NaN
90.97,1.16e-16,NaN
90.98,9.4e-17,NaN
90.98,8.83e-17,NaN
90.99,4.98e-17,NaN
91.01,3.7e-17,NaN
91.02,2.47e-17,NaN
91.03,1.95e-17,NaN
91.05,1.63e-17,NaN
91.07,1.95e-17,NaN
91.1,2.22e-17,NaN
91.13,2.06e-17,NaN
91.14,1.79e-17,NaN
91.16,1.59e-17,NaN
91.18,1.44e-17,NaN
91.2,1.55e-17,NaN
91.21,1.87e-17,NaN
91.22,1.65e-17,NaN
91.23,2.2e-17,NaN
91.23,2.93e-17,NaN
91.24,3.72e-17,NaN
91.25,3.26e-17,NaN
91.26,2.66e-17,NaN
91.27,3.33e-17,NaN
91.28,4.19e-17,NaN
91.29,3.49e-17,NaN
91.3,3.01e-17,NaN
91.31,4.26e-17,NaN
91.31,5.63e-17,NaN
91.32,6.72e-17,NaN
91.34,5.93e-17,NaN
91.34,6.0e-17,NaN
91.34,8.37e-17,NaN
91.34,8.55e-17,NaN
91.34,1.2e-16,NaN
91.35,1.65e-16,NaN
91.36,1.2e-16,NaN
91.37,9.69e-17,NaN
91.37,8.99e-17,NaN
91.39,9.75e-17,NaN
91.4,8.57e-17,NaN
91.42,6.69e-17,NaN
91.44,4.76e-17,NaN
91.46,3.25e-17,NaN
91.48,2.56e-17,NaN
91.5,1.83e-17,NaN
91.53,1.42e-17,NaN
91.55,1.77e-17,NaN
91.55,2.09e-17,NaN
91.55,3.3e-17,NaN
91.56,5.21e-17,NaN
91.56,6.68e-17,NaN
91.57,8.74e-17,NaN
91.57,1.05e-16,NaN
91.58,1.26e-16,NaN
91.58,1.53e-16,NaN
91.59,1.27e-16,NaN
91.59,1.06e-16,NaN
91.6,8.85e-17,NaN
91.61,6.73e-17,NaN
91.61,5.23e-17,NaN
91.62,3.86e-17,NaN
91.62,3.19e-17,NaN
91.64,2.78e-17,NaN
91.65,2.34e-17,NaN
91.67,1.82e-17,NaN
91.69,1.53e-17,NaN
91.72,1.72e-17,NaN
91.72,1.93e-17,NaN
91.72,3.72e-17,NaN
91.72,5.18e-17,NaN
91.72,6.58e-17,NaN
91.72,8.0e-17,NaN
91.73,9.23e-17,NaN
91.73,1.13e-16,NaN
91.73,1.47e-16,NaN
91.73,1.52e-16,NaN
91.74,1.7e-16,NaN
91.76,1.52e-16,NaN
91.77,1.33e-16,NaN
91.78,1.13e-16,NaN
91.79,9.25e-17,NaN
91.79,8.06e-17,NaN
91.8,7.21e-17,NaN
91.82,7.59e-17,NaN
91.83,6.59e-17,NaN
91.83,5.45e-17,NaN
91.84,4.36e-17,NaN
91.85,4.97e-17,NaN
91.86,5.28e-17,NaN
91.88,5.06e-17,NaN
91.9,4.81e-17,NaN
91.91,3.66e-17,NaN
91.92,4.77e-17,NaN
91.92,5.26e-17,NaN
91.92,7.1e-17,NaN
91.93,4.88e-17,NaN
91.94,3.69e-17,NaN
91.94,2.78e-17,NaN
91.96,2.32e-17,NaN
91.97,2.67e-17,NaN
91.97,3.77e-17,NaN
91.98,4.53e-17,NaN
92.0,4.28e-17,NaN
92.0,3.01e-17,NaN
92.0,3.69e-17,NaN
92.01,2.34e-17,NaN
92.04,3.03e-17,NaN
92.06,2.57e-17,NaN
