λ,σ,Δσ
1500.0,2.22e-20,NaN
1600.0,3.06e-20,NaN
1700.0,4.05e-20,NaN
1800.0,5.19e-20,NaN
1900.0,6.46e-20,NaN
2000.0,7.84e-20,NaN
2100.0,9.33e-20,NaN
2200.0,1.09e-19,NaN
2300.0,1.26e-19,NaN
2400.0,1.42e-19,NaN
2500.0,1.6e-19,NaN
2600.0,1.77e-19,NaN
2700.0,1.95e-19,NaN
2800.0,2.13e-19,NaN
2900.0,2.3e-19,NaN
3000.0,2.47e-19,NaN
3100.0,2.64e-19,NaN
3200.0,2.8e-19,NaN
3300.0,2.96e-19,NaN
3400.0,3.11e-19,NaN
3500.0,3.26e-19,NaN
3600.0,3.4e-19,NaN
3700.0,3.54e-19,NaN
3800.0,3.67e-19,NaN
3900.0,3.79e-19,NaN
4000.0,3.9e-19,NaN
4100.0,4.01e-19,NaN
4200.0,4.11e-19,NaN
4300.0,4.21e-19,NaN
4400.0,4.29e-19,NaN
4000.0,3.9e-19,NaN
4500.0,4.37e-19,NaN
