λ,σ,Δσ
226.0,2.424e-18,NaN
227.0,2.633e-18,NaN
228.0,2.858e-18,NaN
229.0,3.103e-18,NaN
230.0,3.364e-18,NaN
231.0,3.636e-18,NaN
232.0,3.918e-18,NaN
233.0,4.205e-18,NaN
234.0,4.495e-18,NaN
235.0,4.781e-18,NaN
236.0,5.06e-18,NaN
237.0,5.327e-18,NaN
238.0,5.58e-18,NaN
239.0,5.789e-18,NaN
240.0,5.977e-18,NaN
241.0,6.134e-18,NaN
242.0,6.256e-18,NaN
243.0,6.341e-18,NaN
244.0,6.387e-18,NaN
245.0,6.393e-18,NaN
246.0,6.36e-18,NaN
247.0,6.291e-18,NaN
248.0,6.186e-18,NaN
249.0,6.049e-18,NaN
250.0,5.886e-18,NaN
251.0,5.699e-18,NaN
252.0,5.496e-18,NaN
253.0,5.273e-18,NaN
254.0,5.042e-18,NaN
255.0,4.806e-18,NaN
256.0,4.569e-18,NaN
257.0,4.335e-18,NaN
258.0,4.105e-18,NaN
259.0,3.883e-18,NaN
260.0,3.67e-18,NaN
261.0,3.464e-18,NaN
262.0,3.279e-18,NaN
263.0,3.11e-18,NaN
264.0,2.95e-18,NaN
265.0,2.798e-18,NaN
266.0,2.658e-18,NaN
267.0,2.527e-18,NaN
268.0,2.406e-18,NaN
269.0,2.293e-18,NaN
270.0,2.188e-18,NaN
271.0,2.089e-18,NaN
272.0,1.996e-18,NaN
273.0,1.908e-18,NaN
274.0,1.825e-18,NaN
275.0,1.746e-18,NaN
276.0,1.67e-18,NaN
277.0,1.595e-18,NaN
278.0,1.523e-18,NaN
279.0,1.455e-18,NaN
280.0,1.389e-18,NaN
281.0,1.324e-18,NaN
282.0,1.262e-18,NaN
283.0,1.202e-18,NaN
284.0,1.144e-18,NaN
285.0,1.087e-18,NaN
286.0,1.033e-18,NaN
287.0,9.82e-19,NaN
288.0,9.32e-19,NaN
289.0,8.83e-19,NaN
290.0,8.37e-19,NaN
291.0,7.92e-19,NaN
292.0,7.49e-19,NaN
293.0,7.08e-19,NaN
294.0,6.69e-19,NaN
295.0,6.31e-19,NaN
296.0,5.95e-19,NaN
297.0,5.61e-19,NaN
298.0,5.28e-19,NaN
299.0,4.96e-19,NaN
300.0,4.67e-19,NaN
301.0,4.38e-19,NaN
302.0,4.11e-19,NaN
303.0,3.85e-19,NaN
304.0,3.61e-19,NaN
305.0,3.37e-19,NaN
306.0,3.16e-19,NaN
307.0,2.95e-19,NaN
308.0,2.75e-19,NaN
309.0,2.56e-19,NaN
310.0,2.37e-19,NaN
311.0,2.2e-19,NaN
312.0,2.04e-19,NaN
313.0,1.89e-19,NaN
314.0,1.75e-19,NaN
315.0,1.62e-19,NaN
316.0,1.5e-19,NaN
317.0,1.38e-19,NaN
318.0,1.28e-19,NaN
319.0,1.18e-19,NaN
320.0,1.08e-19,NaN
321.0,1.0e-19,NaN
322.0,9.15e-20,NaN
323.0,8.4e-20,NaN
324.0,7.7e-20,NaN
325.0,7.05e-20,NaN
326.0,6.43e-20,NaN
327.0,5.86e-20,NaN
328.0,5.34e-20,NaN
329.0,4.85e-20,NaN
330.0,4.41e-20,NaN
331.0,4.02e-20,NaN
332.0,3.66e-20,NaN
333.0,3.33e-20,NaN
334.0,3.02e-20,NaN
335.0,2.75e-20,NaN
336.0,2.49e-20,NaN
337.0,2.26e-20,NaN
338.0,2.06e-20,NaN
339.0,1.88e-20,NaN
340.0,1.72e-20,NaN
341.0,1.58e-20,NaN
342.0,1.45e-20,NaN
343.0,1.35e-20,NaN
344.0,1.23e-20,NaN
345.0,1.14e-20,NaN
346.0,1.05e-20,NaN
347.0,9.8e-21,NaN
348.0,9.1e-21,NaN
349.0,8.4e-21,NaN
350.0,7.9e-21,NaN
351.0,7.4e-21,NaN
352.0,7.0e-21,NaN
353.0,6.7e-21,NaN
354.0,6.5e-21,NaN
355.0,6.3e-21,NaN
