λ,σ,Δσ
292.0,5.787e-19,NaN
294.0,3.24e-19,NaN
296.0,9.026e-19,NaN
298.0,5.361e-19,NaN
300.0,9.332e-19,NaN
302.0,1.169e-18,NaN
304.0,4.419e-19,NaN
306.0,2.09e-18,NaN
308.0,9.664e-19,NaN
310.0,8.31e-19,NaN
312.0,2.882e-18,NaN
314.0,8.916e-19,NaN
316.0,1.557e-18,NaN
318.0,3.539e-18,NaN
320.0,9.969e-19,NaN
322.0,1.626e-18,NaN
324.0,4.841e-18,NaN
326.0,1.276e-18,NaN
328.0,1.071e-18,NaN
330.0,6.46e-18,NaN
332.0,1.984e-18,NaN
334.0,1.114e-18,NaN
336.0,5.33e-18,NaN
338.0,4.6e-18,NaN
340.0,1.323e-18,NaN
342.0,2.184e-18,NaN
344.0,7.909e-18,NaN
346.0,2.741e-18,NaN
348.0,1.488e-18,NaN
350.0,3.166e-18,NaN
352.0,8.354e-18,NaN
354.0,2.331e-18,NaN
356.0,1.717e-18,NaN
358.0,3.585e-18,NaN
360.0,8.191e-18,NaN
362.0,2.612e-18,NaN
364.0,1.554e-18,NaN
366.0,3.152e-18,NaN
368.0,6.608e-18,NaN
370.0,4.41e-18,NaN
372.0,1.512e-18,NaN
374.0,2.2e-18,NaN
376.0,3.886e-18,NaN
378.0,6.743e-18,NaN
380.0,1.98e-18,NaN
382.0,1.289e-18,NaN
384.0,2.349e-18,NaN
386.0,3.308e-18,NaN
388.0,5.695e-18,NaN
390.0,1.339e-18,NaN
392.0,1.037e-18,NaN
394.0,2.009e-18,NaN
396.0,2.438e-18,NaN
398.0,4.281e-18,NaN
400.0,1.383e-18,NaN
402.0,7.571e-19,NaN
404.0,1.212e-18,NaN
406.0,1.577e-18,NaN
408.0,1.956e-18,NaN
410.0,2.252e-18,NaN
412.0,5.315e-19,NaN
414.0,4.225e-19,NaN
416.0,1.065e-18,NaN
418.0,8.28e-19,NaN
420.0,1.41e-18,NaN
422.0,1.081e-18,NaN
424.0,2.882e-19,NaN
426.0,1.83e-19,NaN
428.0,5.52e-19,NaN
430.0,3.87e-19,NaN
432.0,4.448e-19,NaN
434.0,7.611e-19,NaN
436.0,1.743e-19,NaN
438.0,1.014e-19,NaN
440.0,8.506e-20,NaN
442.0,2.066e-19,NaN
444.0,7.163e-20,NaN
446.0,2.934e-19,NaN
448.0,1.622e-19,NaN
450.0,2.644e-20,NaN
452.0,1.585e-20,NaN
454.0,9.664e-21,NaN
456.0,2.073e-20,NaN
458.0,-4.218e-20,NaN
