λ,σ,Δσ
200.0,6.16e-18,NaN
205.0,4.88e-18,NaN
210.0,3.51e-18,NaN
215.0,2.88e-18,NaN
220.0,2.54e-18,NaN
225.0,2.29e-18,NaN
230.0,2.02e-18,NaN
235.0,1.71e-18,NaN
240.0,1.35e-18,NaN
245.0,1.02e-18,NaN
250.0,7.54e-19,NaN
255.0,5.57e-19,NaN
260.0,4.34e-19,NaN
265.0,3.58e-19,NaN
270.0,3.13e-19,NaN
275.0,2.84e-19,NaN
280.0,2.62e-19,NaN
285.0,2.42e-19,NaN
290.0,2.22e-19,NaN
295.0,2.01e-19,NaN
300.0,1.78e-19,NaN
305.0,1.56e-19,NaN
310.0,1.37e-19,NaN
315.0,1.2e-19,NaN
320.0,1.06e-19,NaN
325.0,9.49e-20,NaN
330.0,8.62e-20,NaN
335.0,7.94e-20,NaN
340.0,7.38e-20,NaN
345.0,6.89e-20,NaN
350.0,6.43e-20,NaN
355.0,5.95e-20,NaN
360.0,5.48e-20,NaN
365.0,4.96e-20,NaN
370.0,4.46e-20,NaN
375.0,3.96e-20,NaN
380.0,3.48e-20,NaN
385.0,3.05e-20,NaN
390.0,2.66e-20,NaN
395.0,2.32e-20,NaN
400.0,2.07e-20,NaN
405.0,1.83e-20,NaN
410.0,1.67e-20,NaN
415.0,1.54e-20,NaN
420.0,1.41e-20,NaN
425.0,1.33e-20,NaN
430.0,1.25e-20,NaN
435.0,1.17e-20,NaN
440.0,1.09e-20,NaN
445.0,1.02e-20,NaN
450.0,9.12e-21,NaN
455.0,8.06e-21,NaN
460.0,7.1e-21,NaN
465.0,6.17e-21,NaN
470.0,5.15e-21,NaN
475.0,4.04e-21,NaN
480.0,3.17e-21,NaN
485.0,2.17e-21,NaN
490.0,1.6e-21,NaN
495.0,1.13e-21,NaN
500.0,5.6e-22,NaN
