λ,σ,Δσ
532.17,4.56e-21,NaN
534.02,4.38e-21,NaN
537.32,4.19e-21,NaN
538.85,4.01e-21,NaN
541.18,3.84e-21,NaN
542.34,3.64e-21,NaN
542.39,3.59e-21,NaN
542.61,3.45e-21,NaN
546.46,3.09e-21,NaN
551.97,2.9e-21,NaN
553.5,2.72e-21,NaN
555.27,2.52e-21,NaN
555.27,2.33e-21,NaN
559.53,1.97e-21,NaN
565.17,1.77e-21,NaN
568.25,1.58e-21,NaN
569.06,1.4e-21,NaN
569.11,1.38e-21,NaN
570.36,1.04e-21,NaN
578.48,1.04e-21,NaN
580.35,1.21e-21,NaN
584.0,1.4e-21,NaN
585.91,1.59e-21,NaN
591.02,1.78e-21,NaN
592.51,2.15e-21,NaN
595.9,2.73e-21,NaN
596.21,2.66e-21,NaN
597.63,3.11e-21,NaN
597.99,3.11e-21,NaN
597.99,3.01e-21,NaN
598.89,3.47e-21,NaN
602.61,3.46e-21,NaN
603.36,3.28e-21,NaN
604.66,2.92e-21,NaN
604.82,3.11e-21,NaN
606.71,2.55e-21,NaN
606.88,2.55e-21,NaN
617.64,2.53e-21,NaN
617.93,2.52e-21,NaN
619.79,2.16e-21,NaN
620.25,1.98e-21,NaN
622.35,1.78e-21,NaN
623.96,1.59e-21,NaN
626.09,1.42e-21,NaN
637.21,1.24e-21,NaN
