λ,σ,Δσ
215.28,3.59e-18,NaN
222.99,2.81e-18,NaN
223.42,2.69e-18,NaN
223.86,2.06e-18,NaN
224.36,1.87e-18,NaN
226.64,1.73e-18,NaN
227.7,2.15e-18,NaN
227.76,1.55e-18,NaN
228.96,1.6e-18,NaN
230.53,1.33e-18,NaN
231.57,1.27e-18,NaN
232.26,1.19e-18,NaN
232.51,1.26e-18,NaN
234.35,1.35e-18,NaN
236.6,9.77e-19,NaN
237.71,9.04e-19,NaN
240.63,7.08e-19,NaN
243.37,6.4e-19,NaN
245.32,5.75e-19,NaN
245.43,5.51e-19,NaN
247.84,5.58e-19,NaN
251.05,5.13e-19,NaN
253.17,4.56e-19,NaN
255.83,3.97e-19,NaN
257.58,3.53e-19,NaN
262.89,2.57e-19,NaN
263.35,2.53e-19,NaN
264.85,2.57e-19,NaN
265.54,2.41e-19,NaN
267.57,2.12e-19,NaN
268.9,2.03e-19,NaN
269.1,2.14e-19,NaN
270.1,2.0e-19,NaN
271.82,1.87e-19,NaN
273.23,1.58e-19,NaN
274.01,1.67e-19,NaN
276.47,1.45e-19,NaN
278.59,1.26e-19,NaN
278.86,1.05e-19,NaN
279.64,1.29e-19,NaN
281.37,1.05e-19,NaN
282.54,9.74e-20,NaN
284.02,9.81e-20,NaN
284.19,9.45e-20,NaN
287.01,7.55e-20,NaN
288.37,7.62e-20,NaN
290.07,7.67e-20,NaN
294.28,5.72e-20,NaN
296.05,6.41e-20,NaN
297.65,6.33e-20,NaN
312.01,3.83e-20,NaN
