λ,σ,Δσ
128.35,8.64e-18,NaN
128.61,8.49e-18,NaN
129.01,8.24e-18,NaN
129.45,8.0e-18,NaN
129.85,7.76e-18,NaN
130.32,7.53e-18,NaN
130.82,7.31e-18,NaN
131.32,7.08e-18,NaN
131.83,6.87e-18,NaN
132.37,6.67e-18,NaN
133.01,6.44e-18,NaN
133.53,6.25e-18,NaN
134.08,6.09e-18,NaN
134.7,5.92e-18,NaN
135.33,5.74e-18,NaN
136.02,5.61e-18,NaN
136.76,5.54e-18,NaN
137.5,5.47e-18,NaN
138.24,5.46e-18,NaN
139.03,5.52e-18,NaN
139.72,5.62e-18,NaN
140.43,5.75e-18,NaN
141.1,5.93e-18,NaN
141.71,6.13e-18,NaN
142.29,6.37e-18,NaN
142.84,6.6e-18,NaN
143.36,6.85e-18,NaN
143.6,6.97e-18,NaN
144.06,7.23e-18,NaN
144.55,7.49e-18,NaN
145.01,7.76e-18,NaN
145.47,8.03e-18,NaN
145.9,8.3e-18,NaN
146.19,8.49e-18,NaN
146.66,8.76e-18,NaN
147.09,9.04e-18,NaN
147.57,9.32e-18,NaN
148.01,9.54e-18,NaN
148.57,9.77e-18,NaN
149.13,1.0e-17,NaN
149.74,1.02e-17,NaN
150.46,1.04e-17,NaN
151.32,1.06e-17,NaN
152.26,1.06e-17,NaN
153.18,1.06e-17,NaN
154.07,1.04e-17,NaN
154.85,1.03e-17,NaN
155.55,1.0e-17,NaN
156.06,9.77e-18,NaN
156.61,9.5e-18,NaN
157.34,9.01e-18,NaN
157.77,8.71e-18,NaN
158.08,8.46e-18,NaN
158.47,8.2e-18,NaN
158.78,7.9e-18,NaN
159.17,7.59e-18,NaN
159.62,7.25e-18,NaN
160.11,6.96e-18,NaN
160.6,6.67e-18,NaN
161.05,6.42e-18,NaN
161.59,6.14e-18,NaN
162.32,5.82e-18,NaN
162.73,5.6e-18,NaN
163.23,5.39e-18,NaN
163.88,5.13e-18,NaN
164.54,4.87e-18,NaN
165.19,4.62e-18,NaN
165.81,4.37e-18,NaN
166.57,4.14e-18,NaN
167.34,3.89e-18,NaN
168.17,3.66e-18,NaN
169.0,3.45e-18,NaN
169.79,3.23e-18,NaN
170.69,3.01e-18,NaN
171.5,2.83e-18,NaN
172.41,2.63e-18,NaN
173.34,2.45e-18,NaN
174.43,2.28e-18,NaN
175.43,2.13e-18,NaN
176.49,1.96e-18,NaN
177.57,1.82e-18,NaN
178.71,1.67e-18,NaN
179.87,1.54e-18,NaN
181.15,1.42e-18,NaN
182.34,1.29e-18,NaN
183.61,1.16e-18,NaN
184.89,1.09e-18,NaN
186.13,9.5e-19,NaN
187.44,8.62e-19,NaN
188.84,7.74e-19,NaN
190.13,6.99e-19,NaN
191.56,6.24e-19,NaN
193.08,5.49e-19,NaN
194.5,5.13e-19,NaN
196.06,4.64e-19,NaN
197.66,4.15e-19,NaN
199.27,3.79e-19,NaN
200.09,3.67e-19,NaN
201.68,3.31e-19,NaN
203.29,3.34e-19,NaN
204.14,3.09e-19,NaN
