λ,σ,Δσ
105.26,8.74e-17,NaN
105.56,8.81e-17,NaN
105.84,8.8e-17,NaN
106.14,8.74e-17,NaN
106.53,8.56e-17,NaN
106.95,8.47e-17,NaN
107.25,8.41e-17,NaN
107.63,8.25e-17,NaN
107.91,8.11e-17,NaN
108.12,7.99e-17,NaN
108.36,7.86e-17,NaN
108.64,7.7e-17,NaN
108.89,7.58e-17,NaN
109.06,7.5e-17,NaN
109.29,7.4e-17,NaN
109.61,7.24e-17,NaN
109.82,7.11e-17,NaN
110.1,7.03e-17,NaN
110.32,6.93e-17,NaN
110.65,6.79e-17,NaN
111.04,6.64e-17,NaN
111.45,6.61e-17,NaN
111.91,6.49e-17,NaN
112.16,6.46e-17,NaN
112.43,6.41e-17,NaN
112.73,6.4e-17,NaN
113.27,6.35e-17,NaN
113.5,6.37e-17,NaN
113.69,6.31e-17,NaN
113.92,6.33e-17,NaN
114.12,6.46e-17,NaN
114.43,6.37e-17,NaN
114.51,6.4e-17,NaN
114.86,6.46e-17,NaN
115.1,6.47e-17,NaN
115.4,6.51e-17,NaN
115.7,6.54e-17,NaN
116.02,6.56e-17,NaN
116.24,6.57e-17,NaN
116.42,6.57e-17,NaN
116.7,6.62e-17,NaN
117.06,6.47e-17,NaN
117.25,6.61e-17,NaN
117.83,6.25e-17,NaN
118.1,6.35e-17,NaN
118.26,6.51e-17,NaN
118.64,6.24e-17,NaN
118.95,6.1e-17,NaN
119.36,6.35e-17,NaN
119.78,6.7e-17,NaN
119.98,6.3e-17,NaN
120.41,5.86e-17,NaN
120.81,6.46e-17,NaN
121.11,6.89e-17,NaN
121.43,6.51e-17,NaN
121.79,6.02e-17,NaN
121.9,6.63e-17,NaN
121.98,6.07e-17,NaN
122.12,5.54e-17,NaN
122.25,6.52e-17,NaN
122.37,7.32e-17,NaN
122.57,6.8e-17,NaN
122.79,6.19e-17,NaN
122.95,6.99e-17,NaN
123.04,7.93e-17,NaN
123.26,6.44e-17,NaN
123.31,6.63e-17,NaN
123.69,7.31e-17,NaN
123.83,7.91e-17,NaN
124.1,5.33e-17,NaN
124.33,4.84e-17,NaN
