λ,σ,Δσ
286.0,4.81e-20,NaN
288.0,3.75e-20,NaN
290.0,2.88e-20,NaN
292.0,2.22e-20,NaN
294.0,1.7e-20,NaN
296.0,1.28e-20,NaN
298.0,9.51e-21,NaN
300.0,7.19e-21,NaN
302.0,5.3e-21,NaN
304.0,3.94e-21,NaN
306.0,2.98e-21,NaN
308.0,2.26e-21,NaN
310.0,1.71e-21,NaN
312.0,1.27e-21,NaN
314.0,9.52e-22,NaN
316.0,7.12e-22,NaN
318.0,5.29e-22,NaN
320.0,3.9e-22,NaN
322.0,2.89e-22,NaN
324.0,2.15e-22,NaN
326.0,1.62e-22,NaN
328.0,1.21e-22,NaN
330.0,9.16e-23,NaN
332.0,6.9e-23,NaN
334.0,5.25e-23,NaN
336.0,3.96e-23,NaN
338.0,3.07e-23,NaN
340.0,2.4e-23,NaN
342.0,1.76e-23,NaN
344.0,1.35e-23,NaN
346.0,1.02e-23,NaN
348.0,8.0e-24,NaN
350.0,6.4e-24,NaN
352.0,5.4e-24,NaN
354.0,4.6e-24,NaN
356.0,3.2e-24,NaN
358.0,2.4e-24,NaN
360.0,1.7e-24,NaN
362.0,1.3e-24,NaN
