λ,σ,Δσ
174.0,9.95e-18,1.4e-19
176.0,1.007e-17,1.8e-19
178.0,9.76e-18,1.6e-19
180.0,7.22e-18,1.1e-19
182.0,5.89e-18,9.0e-20
184.0,4.5e-18,7.0e-20
186.0,3.0e-18,5.0e-20
188.0,1.98e-18,3.0e-20
190.0,1.34e-18,2.0e-20
192.0,9.65e-19,1.6e-20
194.0,7.78e-19,1.2e-20
196.0,7.11e-19,1.2e-20
198.0,6.73e-19,1.1e-20
200.0,6.61e-19,1.1e-20
202.0,6.2e-19,1.0e-20
204.0,6.14e-19,1.0e-20
206.0,5.68e-19,8.0e-21
208.0,5.32e-19,9.0e-21
210.0,4.71e-19,8.0e-21
212.0,3.96e-19,6.0e-21
214.0,3.31e-19,4.0e-21
216.0,2.72e-19,4.0e-21
218.0,2.16e-19,3.0e-21
220.0,1.69e-19,3.0e-21
222.0,1.29e-19,2.0e-21
224.0,9.89e-20,1.5e-21
226.0,7.41e-20,1.1e-21
228.0,5.6e-20,9.0e-22
230.0,4.11e-20,7.0e-22
232.0,3.05e-20,6.0e-22
234.0,2.24e-20,5.0e-22
236.0,1.52e-20,5.0e-22
238.0,1.25e-20,6.0e-22
