λ,σ,Δσ
200.0,5.37e-20,NaN
201.0,4.45e-20,NaN
202.0,3.42e-20,NaN
203.0,2.62e-20,NaN
204.0,2.0e-20,NaN
205.0,1.52e-20,NaN
206.0,1.15e-20,NaN
207.0,8.78e-21,NaN
208.0,6.66e-21,NaN
209.0,5.06e-21,NaN
210.0,3.84e-21,NaN
211.0,2.93e-21,NaN
212.0,2.24e-21,NaN
213.0,1.71e-21,NaN
214.0,1.3e-21,NaN
215.0,9.86e-22,NaN
216.0,7.46e-22,NaN
217.0,5.65e-22,NaN
218.0,4.29e-22,NaN
219.0,3.3e-22,NaN
220.0,2.51e-22,NaN
221.0,1.92e-22,NaN
222.0,1.47e-22,NaN
223.0,1.12e-22,NaN
224.0,8.7e-23,NaN
225.0,6.7e-23,NaN
226.0,5.2e-23,NaN
227.0,4.1e-23,NaN
228.0,3.2e-23,NaN
229.0,2.5e-23,NaN
230.0,2.0e-23,NaN
231.0,1.6e-23,NaN
