λ,σ,Δσ
170.0,3.16e-18,NaN
172.0,3.19e-18,NaN
174.0,3.15e-18,NaN
176.0,3.11e-18,NaN
178.0,3.04e-18,NaN
180.0,3.08e-18,NaN
182.0,2.85e-18,NaN
184.0,2.6e-18,NaN
186.0,2.33e-18,NaN
188.0,2.08e-18,NaN
190.0,1.78e-18,NaN
192.0,1.49e-18,NaN
194.0,1.23e-18,NaN
196.0,9.9e-19,NaN
198.0,8.01e-19,NaN
200.0,6.47e-19,NaN
202.0,5.08e-19,NaN
204.0,3.88e-19,NaN
206.0,2.93e-19,NaN
208.0,2.11e-19,NaN
210.0,1.54e-19,NaN
212.0,1.09e-19,NaN
214.0,7.52e-20,NaN
216.0,5.28e-20,NaN
218.0,3.56e-20,NaN
220.0,2.42e-20,NaN
222.0,1.6e-20,NaN
224.0,1.1e-20,NaN
226.0,8.0e-21,NaN
228.0,5.5e-21,NaN
230.0,3.5e-21,NaN
235.0,1.26e-21,NaN
240.0,4.64e-22,NaN
245.0,1.73e-22,NaN
250.0,6.61e-23,NaN
255.0,3.37e-23,NaN
260.0,1.47e-23,NaN
