λ,σ,Δσ
170.95,1.421e-18,NaN
173.15,1.507e-18,NaN
174.65,1.593e-18,NaN
176.2,1.688e-18,NaN
177.8,1.784e-18,NaN
179.4,1.806e-18,NaN
181.0,1.753e-18,NaN
182.65,1.637e-18,NaN
184.35,1.469e-18,NaN
186.05,1.273e-18,NaN
187.8,1.063e-18,NaN
189.6,8.66e-19,NaN
191.4,6.68e-19,NaN
193.25,5.05e-19,NaN
195.15,3.69e-19,NaN
197.05,2.64e-19,NaN
199.0,1.84e-19,NaN
201.0,1.25e-19,NaN
203.05,8.24e-20,NaN
205.15,5.32e-20,NaN
207.25,3.4e-20,NaN
209.4,2.13e-20,NaN
211.65,1.3e-20,NaN
213.9,7.89e-21,NaN
216.2,4.72e-21,NaN
218.6,2.76e-21,NaN
221.0,1.61e-21,NaN
223.45,9.28e-22,NaN
226.0,5.23e-22,NaN
228.6,2.9e-22,NaN
231.25,1.59e-22,NaN
233.95,8.49e-23,NaN
236.7,4.44e-23,NaN
239.55,2.25e-23,NaN
