λ,σ,Δσ
170.0,1.0e-18,NaN
172.0,6.29e-19,NaN
174.0,5.5e-19,NaN
176.0,5.46e-19,NaN
178.0,6.71e-19,NaN
180.0,8.24e-19,NaN
182.0,9.97e-19,NaN
184.0,1.148e-18,NaN
186.0,1.272e-18,NaN
188.0,1.327e-18,NaN
190.0,1.319e-18,NaN
192.0,1.245e-18,NaN
194.0,1.135e-18,NaN
196.0,1.016e-18,NaN
198.0,9.05e-19,NaN
200.0,8.27e-19,NaN
202.0,7.91e-19,NaN
204.0,8.12e-19,NaN
206.0,8.87e-19,NaN
208.0,1.033e-18,NaN
210.0,1.223e-18,NaN
212.0,1.466e-18,NaN
214.0,1.738e-18,NaN
216.0,2.011e-18,NaN
218.0,2.27e-18,NaN
220.0,2.482e-18,NaN
222.0,2.675e-18,NaN
224.0,2.729e-18,NaN
226.0,2.718e-18,NaN
228.0,2.646e-18,NaN
230.0,2.519e-18,NaN
232.0,2.347e-18,NaN
234.0,2.143e-18,NaN
236.0,1.918e-18,NaN
238.0,1.686e-18,NaN
240.0,1.455e-18,NaN
242.0,1.235e-18,NaN
244.0,1.031e-18,NaN
246.0,8.48e-19,NaN
248.0,6.87e-19,NaN
250.0,5.49e-19,NaN
252.0,4.33e-19,NaN
254.0,3.37e-19,NaN
256.0,2.6e-19,NaN
258.0,1.98e-19,NaN
260.0,1.5e-19,NaN
262.0,1.12e-19,NaN
264.0,8.29e-20,NaN
266.0,6.1e-20,NaN
268.0,4.45e-20,NaN
270.0,3.23e-20,NaN
272.0,2.33e-20,NaN
274.0,1.67e-20,NaN
276.0,1.2e-20,NaN
278.0,8.51e-21,NaN
280.0,6.04e-21,NaN
282.0,4.27e-21,NaN
284.0,3.02e-21,NaN
286.0,2.13e-21,NaN
288.0,1.5e-21,NaN
290.0,1.06e-21,NaN
292.0,7.44e-22,NaN
294.0,5.25e-22,NaN
296.0,3.7e-22,NaN
298.0,2.62e-22,NaN
300.0,1.86e-22,NaN
302.0,1.32e-22,NaN
304.0,9.44e-23,NaN
