λ,σ,Δσ
170.0,6.18e-19,NaN
172.0,6.74e-19,NaN
174.0,7.32e-19,NaN
176.0,7.91e-19,NaN
178.0,8.51e-19,NaN
180.0,9.11e-19,NaN
182.0,9.69e-19,NaN
184.0,1.024e-18,NaN
186.0,1.076e-18,NaN
188.0,1.122e-18,NaN
190.0,1.161e-18,NaN
192.0,1.192e-18,NaN
194.0,1.214e-18,NaN
196.0,1.227e-18,NaN
198.0,1.228e-18,NaN
200.0,1.218e-18,NaN
202.0,1.197e-18,NaN
204.0,1.165e-18,NaN
206.0,1.122e-18,NaN
208.0,1.07e-18,NaN
210.0,1.01e-18,NaN
212.0,9.43e-19,NaN
214.0,8.71e-19,NaN
216.0,7.95e-19,NaN
218.0,7.18e-19,NaN
220.0,6.41e-19,NaN
222.0,5.66e-19,NaN
224.0,4.93e-19,NaN
226.0,4.25e-19,NaN
228.0,3.62e-19,NaN
230.0,3.05e-19,NaN
232.0,2.53e-19,NaN
234.0,2.08e-19,NaN
236.0,1.69e-19,NaN
238.0,1.35e-19,NaN
240.0,1.07e-19,NaN
242.0,8.36e-20,NaN
244.0,6.45e-20,NaN
246.0,4.92e-20,NaN
248.0,3.71e-20,NaN
250.0,2.76e-20,NaN
252.0,2.03e-20,NaN
254.0,1.47e-20,NaN
256.0,1.06e-20,NaN
258.0,7.49e-21,NaN
260.0,5.24e-21,NaN
262.0,3.63e-21,NaN
264.0,2.49e-21,NaN
266.0,1.68e-21,NaN
268.0,1.13e-21,NaN
270.0,7.45e-22,NaN
272.0,4.88e-22,NaN
274.0,3.16e-22,NaN
276.0,2.03e-22,NaN
278.0,1.29e-22,NaN
280.0,8.09e-23,NaN
