λ,σ,Δσ
164.0,2.257e-17,NaN
164.5,2.069e-17,NaN
165.0,1.87e-17,NaN
165.5,1.693e-17,NaN
166.0,1.556e-17,NaN
166.5,1.493e-17,NaN
167.0,1.513e-17,NaN
167.5,1.576e-17,NaN
168.0,1.6e-17,NaN
168.5,1.569e-17,NaN
169.0,1.512e-17,NaN
169.5,1.499e-17,NaN
170.0,1.549e-17,NaN
170.5,1.611e-17,NaN
171.0,1.605e-17,NaN
171.5,1.506e-17,NaN
172.0,1.352e-17,NaN
172.5,1.193e-17,NaN
173.0,1.065e-17,NaN
173.5,9.665e-18,NaN
174.0,8.942e-18,NaN
174.5,8.408e-18,NaN
175.0,7.987e-18,NaN
175.5,7.644e-18,NaN
176.0,7.321e-18,NaN
176.5,7.0e-18,NaN
177.0,6.649e-18,NaN
177.5,6.309e-18,NaN
178.0,5.965e-18,NaN
178.5,5.608e-18,NaN
179.0,5.237e-18,NaN
179.5,4.893e-18,NaN
180.0,4.514e-18,NaN
180.5,4.159e-18,NaN
181.0,3.825e-18,NaN
181.5,3.514e-18,NaN
182.0,3.205e-18,NaN
182.5,2.916e-18,NaN
183.0,2.658e-18,NaN
183.5,2.422e-18,NaN
184.0,2.193e-18,NaN
184.5,1.996e-18,NaN
185.0,1.817e-18,NaN
185.5,1.665e-18,NaN
186.0,1.541e-18,NaN
186.5,1.425e-18,NaN
187.0,1.325e-18,NaN
187.5,1.245e-18,NaN
188.0,1.175e-18,NaN
188.5,1.119e-18,NaN
189.0,1.074e-18,NaN
189.5,1.042e-18,NaN
190.0,1.018e-18,NaN
191.0,1.001e-18,NaN
192.0,1.004e-18,NaN
193.0,1.02e-18,NaN
194.0,1.047e-18,NaN
195.0,1.084e-18,NaN
196.0,1.118e-18,NaN
197.0,1.157e-18,NaN
198.0,1.194e-18,NaN
199.0,1.223e-18,NaN
200.0,1.247e-18,NaN
201.0,1.263e-18,NaN
202.0,1.271e-18,NaN
203.0,1.271e-18,NaN
204.0,1.263e-18,NaN
205.0,1.247e-18,NaN
206.0,1.225e-18,NaN
207.0,1.197e-18,NaN
208.0,1.163e-18,NaN
209.0,1.126e-18,NaN
210.0,1.084e-18,NaN
211.0,1.04e-18,NaN
212.0,9.959e-19,NaN
213.0,9.499e-19,NaN
214.0,9.045e-19,NaN
215.0,8.587e-19,NaN
216.0,8.148e-19,NaN
217.0,7.711e-19,NaN
218.0,7.291e-19,NaN
219.0,6.881e-19,NaN
220.0,6.482e-19,NaN
221.0,6.102e-19,NaN
222.0,5.74e-19,NaN
223.0,5.385e-19,NaN
224.0,5.047e-19,NaN
225.0,4.72e-19,NaN
226.0,4.407e-19,NaN
227.0,4.11e-19,NaN
228.0,3.821e-19,NaN
229.0,3.55e-19,NaN
230.0,3.283e-19,NaN
231.0,3.033e-19,NaN
232.0,2.799e-19,NaN
233.0,2.575e-19,NaN
234.0,2.361e-19,NaN
235.0,2.161e-19,NaN
236.0,1.973e-19,NaN
237.0,1.797e-19,NaN
238.0,1.63e-19,NaN
239.0,1.479e-19,NaN
240.0,1.337e-19,NaN
241.0,1.207e-19,NaN
242.0,1.085e-19,NaN
243.0,9.741e-20,NaN
244.0,8.729e-20,NaN
245.0,7.786e-20,NaN
246.0,6.939e-20,NaN
247.0,6.164e-20,NaN
248.0,5.459e-20,NaN
249.0,4.826e-20,NaN
250.0,4.24e-20,NaN
251.0,3.732e-20,NaN
252.0,3.286e-20,NaN
253.0,2.879e-20,NaN
254.0,2.517e-20,NaN
255.0,2.198e-20,NaN
256.0,1.916e-20,NaN
257.0,1.666e-20,NaN
258.0,1.448e-20,NaN
259.0,1.256e-20,NaN
260.0,1.086e-20,NaN
261.0,9.358e-21,NaN
262.0,8.065e-21,NaN
263.0,6.948e-21,NaN
264.0,5.96e-21,NaN
265.0,5.132e-21,NaN
266.0,4.398e-21,NaN
267.0,3.765e-21,NaN
268.0,3.221e-21,NaN
269.0,2.751e-21,NaN
270.0,2.346e-21,NaN
271.0,1.996e-21,NaN
272.0,1.701e-21,NaN
273.0,1.449e-21,NaN
274.0,1.23e-21,NaN
275.0,1.045e-21,NaN
276.0,8.91e-22,NaN
277.0,7.551e-22,NaN
278.0,6.405e-22,NaN
279.0,5.439e-22,NaN
280.0,4.583e-22,NaN
281.0,3.94e-22,NaN
282.0,3.321e-22,NaN
283.0,2.817e-22,NaN
284.0,2.413e-22,NaN
285.0,2.04e-22,NaN
286.0,1.776e-22,NaN
287.0,1.501e-22,NaN
288.0,1.288e-22,NaN
289.0,1.123e-22,NaN
290.0,9.814e-23,NaN
