λ,σ,Δσ
190.0,3.25e-19,NaN
192.0,3.24e-19,NaN
194.0,3.18e-19,NaN
196.0,3.1e-19,NaN
198.0,2.99e-19,NaN
200.0,2.86e-19,NaN
202.0,2.7e-19,NaN
204.0,2.52e-19,NaN
206.0,2.32e-19,NaN
208.0,2.12e-19,NaN
210.0,1.9e-19,NaN
212.0,1.68e-19,NaN
214.0,1.46e-19,NaN
216.0,1.26e-19,NaN
218.0,1.06e-19,NaN
220.0,8.85e-20,NaN
222.0,7.25e-20,NaN
224.0,5.88e-20,NaN
226.0,4.71e-20,NaN
228.0,3.73e-20,NaN
230.0,2.91e-20,NaN
232.0,2.24e-20,NaN
234.0,1.71e-20,NaN
236.0,1.3e-20,NaN
238.0,9.82e-21,NaN
240.0,7.35e-21,NaN
242.0,5.47e-21,NaN
244.0,4.05e-21,NaN
246.0,2.99e-21,NaN
248.0,2.2e-21,NaN
250.0,1.61e-21,NaN
252.0,1.17e-21,NaN
254.0,8.49e-22,NaN
256.0,6.15e-22,NaN
258.0,4.44e-22,NaN
260.0,3.19e-22,NaN
262.0,2.3e-22,NaN
264.0,1.66e-22,NaN
266.0,1.21e-22,NaN
268.0,8.7e-23,NaN
270.0,6.3e-23,NaN
272.0,4.6e-23,NaN
274.0,3.4e-23,NaN
276.0,2.4e-23,NaN
278.0,1.8e-23,NaN
280.0,1.2e-23,NaN
