λ,σ,Δσ
220.0,1.95e-20,NaN
222.0,2.4e-20,NaN
224.0,2.9e-20,NaN
226.0,3.6e-20,NaN
228.0,4.4e-20,NaN
230.0,5.6e-20,NaN
232.0,7.0e-20,NaN
234.0,8.6e-20,NaN
236.0,1.04e-19,NaN
238.0,1.29e-19,NaN
240.0,1.6e-19,NaN
242.0,1.96e-19,NaN
244.0,2.35e-19,NaN
246.0,2.76e-19,NaN
248.0,3.21e-19,NaN
250.0,3.75e-19,NaN
252.0,4.28e-19,NaN
254.0,4.75e-19,NaN
256.0,5.2e-19,NaN
258.0,5.63e-19,NaN
260.0,6.0e-19,NaN
262.0,6.26e-19,NaN
264.0,6.47e-19,NaN
266.0,6.61e-19,NaN
268.0,6.69e-19,NaN
270.0,6.68e-19,NaN
272.0,6.59e-19,NaN
274.0,6.43e-19,NaN
276.0,6.21e-19,NaN
278.0,5.95e-19,NaN
280.0,5.61e-19,NaN
282.0,5.24e-19,NaN
284.0,4.86e-19,NaN
286.0,4.43e-19,NaN
288.0,3.97e-19,NaN
290.0,3.53e-19,NaN
292.0,3.1e-19,NaN
294.0,2.7e-19,NaN
296.0,2.33e-19,NaN
298.0,1.95e-19,NaN
300.0,1.63e-19,NaN
302.0,1.36e-19,NaN
304.0,1.14e-19,NaN
306.0,9.4e-20,NaN
308.0,7.8e-20,NaN
310.0,6.4e-20,NaN
312.0,5.25e-20,NaN
314.0,4.3e-20,NaN
316.0,3.5e-20,NaN
318.0,2.85e-20,NaN
320.0,2.3e-20,NaN
