λ,σ,Δσ
216.0,8.72e-21,NaN
218.0,1.15e-20,NaN
220.0,1.53e-20,NaN
222.0,1.97e-20,NaN
224.0,2.54e-20,NaN
226.0,3.23e-20,NaN
228.0,4.03e-20,NaN
230.0,5.03e-20,NaN
232.0,6.19e-20,NaN
234.0,7.62e-20,NaN
236.0,9.33e-20,NaN
238.0,1.14e-19,NaN
240.0,1.39e-19,NaN
242.0,1.68e-19,NaN
244.0,2.03e-19,NaN
246.0,2.42e-19,NaN
248.0,2.88e-19,NaN
250.0,3.35e-19,NaN
252.0,3.86e-19,NaN
254.0,4.38e-19,NaN
256.0,4.88e-19,NaN
258.0,5.35e-19,NaN
260.0,5.76e-19,NaN
262.0,6.08e-19,NaN
264.0,6.31e-19,NaN
266.0,6.44e-19,NaN
268.0,6.43e-19,NaN
270.0,6.32e-19,NaN
272.0,6.12e-19,NaN
274.0,5.8e-19,NaN
276.0,5.42e-19,NaN
278.0,5.0,NaN
280.0,4.52e-19,NaN
282.0,4.04e-19,NaN
284.0,3.56e-19,NaN
286.0,3.1e-19,NaN
288.0,2.66e-19,NaN
290.0,2.27e-19,NaN
292.0,1.91e-19,NaN
294.0,1.54e-19,NaN
296.0,1.27e-19,NaN
298.0,1.02e-19,NaN
300.0,8.42e-20,NaN
302.0,6.82e-20,NaN
304.0,5.49e-20,NaN
306.0,4.41e-20,NaN
308.0,3.53e-20,NaN
310.0,2.81e-20,NaN
312.0,2.22e-20,NaN
314.0,1.76e-20,NaN
316.0,1.39e-20,NaN
318.0,1.1e-20,NaN
320.0,8.64e-21,NaN
322.0,6.78e-21,NaN
324.0,5.32e-21,NaN
326.0,4.2e-21,NaN
328.0,3.3e-21,NaN
330.0,2.59e-21,NaN
332.0,2.04e-21,NaN
334.0,1.6e-21,NaN
336.0,1.25e-21,NaN
338.0,9.95e-22,NaN
340.0,7.76e-22,NaN
342.0,6.13e-22,NaN
344.0,4.93e-22,NaN
346.0,3.91e-22,NaN
348.0,3.16e-22,NaN
350.0,2.43e-22,NaN
352.0,2.03e-22,NaN
354.0,1.65e-22,NaN
356.0,1.32e-22,NaN
358.0,1.14e-22,NaN
360.0,9.42e-23,NaN
362.0,7.18e-23,NaN
364.0,6.31e-23,NaN
366.0,5.76e-23,NaN
368.0,4.77e-23,NaN
370.0,3.45e-23,NaN
