λ,σ,Δσ
205.0,1.2e-18,NaN
210.0,2.41e-19,NaN
215.0,8.68e-20,NaN
220.0,7.4e-20,NaN
225.0,1.01e-19,NaN
230.0,1.52e-19,NaN
235.0,2.32e-19,NaN
240.0,3.44e-19,NaN
245.0,4.92e-19,NaN
250.0,6.78e-19,NaN
255.0,9.17e-19,NaN
260.0,1.17e-18,NaN
265.0,1.37e-18,NaN
270.0,1.44e-18,NaN
275.0,1.35e-18,NaN
280.0,1.12e-18,NaN
285.0,8.38e-19,NaN
290.0,5.67e-19,NaN
295.0,3.59e-19,NaN
300.0,2.18e-19,NaN
305.0,1.35e-19,NaN
310.0,8.7e-20,NaN
315.0,5.67e-20,NaN
320.0,3.85e-20,NaN
325.0,2.62e-20,NaN
330.0,1.52e-20,NaN
335.0,1.02e-20,NaN
