λ,σ,Δσ
201.95,1.08e-18,NaN
202.13,8.39e-19,NaN
202.34,6.48e-19,NaN
202.57,5.13e-19,NaN
202.9,3.55e-19,NaN
203.25,2.32e-19,NaN
203.73,1.43e-19,NaN
204.4,9.08e-20,NaN
205.49,7.06e-20,NaN
206.78,6.39e-20,NaN
207.77,3.7e-20,NaN
208.19,2.69e-20,NaN
209.03,2.52e-20,NaN
210.42,2.69e-20,NaN
211.9,3.2e-20,NaN
213.33,3.36e-20,NaN
214.85,4.04e-20,NaN
216.33,4.71e-20,NaN
217.89,5.21e-20,NaN
219.41,5.72e-20,NaN
221.02,6.56e-20,NaN
222.72,6.9e-20,NaN
224.31,7.74e-20,NaN
225.99,8.24e-20,NaN
227.48,9.08e-20,NaN
229.07,1.08e-19,NaN
230.76,1.23e-19,NaN
232.32,1.43e-19,NaN
233.68,1.68e-19,NaN
234.98,1.95e-19,NaN
236.22,2.27e-19,NaN
237.4,2.69e-19,NaN
238.44,3.04e-19,NaN
239.4,3.41e-19,NaN
240.3,3.82e-19,NaN
241.62,4.49e-19,NaN
242.62,5.06e-19,NaN
243.71,5.68e-19,NaN
244.82,6.34e-19,NaN
245.86,7.06e-19,NaN
246.9,7.75e-19,NaN
248.12,8.39e-19,NaN
249.01,8.91e-19,NaN
249.72,9.3e-19,NaN
250.61,9.76e-19,NaN
251.5,1.02e-18,NaN
252.4,1.06e-18,NaN
252.77,1.08e-18,NaN
253.76,1.12e-18,NaN
254.94,1.15e-18,NaN
256.49,1.18e-18,NaN
257.68,1.18e-18,NaN
258.69,1.18e-18,NaN
260.44,1.16e-18,NaN
261.83,1.13e-18,NaN
263.22,1.07e-18,NaN
264.35,1.04e-18,NaN
265.19,9.87e-19,NaN
266.23,9.47e-19,NaN
266.98,8.98e-19,NaN
268.22,8.36e-19,NaN
269.46,7.57e-19,NaN
271.31,6.64e-19,NaN
272.69,5.9e-19,NaN
274.18,5.21e-19,NaN
275.08,4.69e-19,NaN
276.0,4.31e-19,NaN
277.43,3.77e-19,NaN
278.57,3.25e-19,NaN
280.14,2.67e-19,NaN
281.84,2.15e-19,NaN
283.36,1.82e-19,NaN
285.33,1.4e-19,NaN
287.34,1.03e-19,NaN
289.26,7.57e-20,NaN
291.58,5.72e-20,NaN
294.88,3.53e-20,NaN
300.11,1.68e-20,NaN
304.51,6.73e-21,NaN
