λ,σ,Δσ
235.0,1.835e-19,NaN
240.0,3.465e-19,NaN
245.0,6.005e-19,NaN
250.0,8.828e-19,NaN
255.0,1.067e-18,NaN
260.0,1.075e-18,NaN
265.0,9.18e-19,NaN
270.0,6.723e-19,NaN
275.0,4.33e-19,NaN
280.0,2.473e-19,NaN
285.0,1.291e-19,NaN
290.0,6.49e-20,NaN
295.0,3.185e-20,NaN
300.0,1.635e-20,NaN
305.0,8.673e-21,NaN
310.0,4.887e-21,NaN
315.0,2.821e-21,NaN
320.0,1.631e-21,NaN
325.0,9.451e-22,NaN
330.0,5.264e-22,NaN
335.0,2.85e-22,NaN
340.0,1.597e-22,NaN
345.0,7.833e-23,NaN
350.0,3.874e-23,NaN
355.0,1.995e-23,NaN
360.0,1.233e-23,NaN
365.0,4.985e-24,NaN
