λ,σ,Δσ
205.0,1.25e-19,NaN
210.0,4.74e-20,NaN
215.0,5.03e-20,NaN
220.0,6.8e-20,NaN
225.0,1.03e-19,NaN
230.0,1.76e-19,NaN
235.0,3.27e-19,NaN
240.0,5.85e-19,NaN
245.0,9.35e-19,NaN
250.0,1.27e-18,NaN
255.0,1.45e-18,NaN
260.0,1.39e-18,NaN
265.0,1.15e-18,NaN
270.0,8.19e-19,NaN
275.0,5.19e-19,NaN
280.0,3.01e-19,NaN
285.0,1.64e-19,NaN
290.0,8.53e-20,NaN
295.0,4.55e-20,NaN
300.0,2.47e-20,NaN
305.0,1.38e-20,NaN
310.0,7.87e-21,NaN
315.0,4.67e-21,NaN
320.0,2.67e-21,NaN
325.0,1.55e-21,NaN
330.0,8.71e-22,NaN
335.0,4.81e-22,NaN
