λ,σ,Δσ
114.9,6.58e-17,NaN
115.32,6.3e-17,NaN
115.72,6.5e-17,NaN
115.81,6.73e-17,NaN
115.85,6.77e-17,NaN
115.99,7.23e-17,NaN
116.2,6.83e-17,NaN
116.42,7.13e-17,NaN
116.65,7.36e-17,NaN
116.71,8.13e-17,NaN
116.99,7.4e-17,NaN
117.03,6.97e-17,NaN
117.26,7.7e-17,NaN
117.5,6.83e-17,NaN
117.6,7.52e-17,NaN
117.7,7.96e-17,NaN
117.94,7.18e-17,NaN
118.21,7.53e-17,NaN
118.22,8.06e-17,NaN
118.51,7.54e-17,NaN
118.74,7.99e-17,NaN
118.81,7.48e-17,NaN
119.2,7.39e-17,NaN
119.4,8.68e-17,NaN
119.43,7.91e-17,NaN
119.69,8.15e-17,NaN
119.79,8.68e-17,NaN
119.89,9.11e-17,NaN
120.1,8.81e-17,NaN
120.16,9.89e-17,NaN
120.18,1.05e-16,NaN
120.3,1.01e-16,NaN
120.59,9.84e-17,NaN
120.86,1.0e-16,NaN
121.02,9.55e-17,NaN
121.09,1.06e-16,NaN
121.33,9.83e-17,NaN
121.68,9.99e-17,NaN
121.8,9.68e-17,NaN
121.93,9.41e-17,NaN
122.24,9.96e-17,NaN
122.27,9.5e-17,NaN
122.49,9.28e-17,NaN
122.87,9.18e-17,NaN
123.1,9.63e-17,NaN
123.19,9.95e-17,NaN
123.4,9.52e-17,NaN
123.52,9.2e-17,NaN
123.75,9.93e-17,NaN
123.91,9.17e-17,NaN
124.11,8.48e-17,NaN
124.47,8.88e-17,NaN
124.71,8.4e-17,NaN
124.8,8.22e-17,NaN
125.2,8.74e-17,NaN
125.32,8.37e-17,NaN
125.44,7.97e-17,NaN
125.57,7.83e-17,NaN
125.74,7.71e-17,NaN
125.99,7.65e-17,NaN
126.56,7.78e-17,NaN
126.65,7.98e-17,NaN
126.83,8.32e-17,NaN
127.08,8.03e-17,NaN
127.13,8.25e-17,NaN
127.31,8.52e-17,NaN
127.48,8.13e-17,NaN
127.72,7.51e-17,NaN
127.88,7.02e-17,NaN
128.14,6.71e-17,NaN
128.32,7.18e-17,NaN
128.57,6.66e-17,NaN
128.77,6.2e-17,NaN
129.08,6.49e-17,NaN
129.33,5.97e-17,NaN
129.41,5.54e-17,NaN
129.67,5.7e-17,NaN
129.84,5.47e-17,NaN
129.96,5.11e-17,NaN
130.18,5.33e-17,NaN
130.32,5.73e-17,NaN
130.46,6.19e-17,NaN
130.64,6.62e-17,NaN
130.75,5.79e-17,NaN
130.94,6.35e-17,NaN
131.12,6.86e-17,NaN
131.26,7.29e-17,NaN
131.42,6.51e-17,NaN
131.5,6.27e-17,NaN
131.66,5.59e-17,NaN
131.81,6.45e-17,NaN
132.04,7.4e-17,NaN
132.2,6.46e-17,NaN
132.22,5.7e-17,NaN
132.45,6.32e-17,NaN
132.73,6.91e-17,NaN
132.84,6.19e-17,NaN
132.91,5.52e-17,NaN
133.34,5.4e-17,NaN
133.56,5.66e-17,NaN
133.72,4.86e-17,NaN
133.8,4.48e-17,NaN
133.91,3.87e-17,NaN
134.05,4.2e-17,NaN
134.22,4.06e-17,NaN
134.35,4.27e-17,NaN
134.56,3.72e-17,NaN
134.71,3.05e-17,NaN
134.86,3.55e-17,NaN
