λ,σ,Δσ
164.0,4.101e-17,NaN
166.0,4.325e-17,NaN
168.0,4.482e-17,NaN
170.0,4.346e-17,NaN
172.0,3.888e-17,NaN
174.0,3.19e-17,NaN
176.0,2.372e-17,NaN
178.0,1.563e-17,NaN
180.0,9.487e-18,NaN
182.0,5.71e-18,NaN
184.0,3.626e-18,NaN
186.0,2.571e-18,NaN
188.0,1.975e-18,NaN
190.0,1.623e-18,NaN
192.0,1.402e-18,NaN
194.0,1.237e-18,NaN
196.0,1.111e-18,NaN
198.0,9.956e-19,NaN
200.0,8.831e-19,NaN
202.0,7.874e-19,NaN
204.0,6.983e-19,NaN
206.0,6.165e-19,NaN
208.0,5.457e-19,NaN
210.0,4.797e-19,NaN
212.0,4.241e-19,NaN
214.0,3.681e-19,NaN
216.0,3.19e-19,NaN
218.0,2.754e-19,NaN
220.0,2.347e-19,NaN
222.0,1.999e-19,NaN
224.0,1.675e-19,NaN
226.0,1.399e-19,NaN
228.0,1.152e-19,NaN
230.0,9.381e-20,NaN
232.0,7.59e-20,NaN
234.0,6.049e-20,NaN
236.0,4.826e-20,NaN
238.0,3.816e-20,NaN
240.0,2.952e-20,NaN
242.0,2.292e-20,NaN
244.0,1.764e-20,NaN
246.0,1.348e-20,NaN
248.0,1.035e-20,NaN
250.0,7.82e-21,NaN
252.0,5.94e-21,NaN
254.0,4.49e-21,NaN
