λ,σ,Δσ
184.0,2.16e-17,NaN
186.0,1.02e-17,NaN
188.0,6.7e-18,NaN
190.0,6.35e-18,NaN
192.0,6.71e-18,NaN
194.0,7.03e-18,NaN
196.0,6.1e-18,NaN
198.0,4.71e-18,NaN
200.0,3.06e-18,NaN
202.0,1.93e-18,NaN
204.0,1.24e-18,NaN
206.0,8.76e-19,NaN
208.0,7.01e-19,NaN
210.0,6.34e-19,NaN
212.0,6.35e-19,NaN
214.0,6.67e-19,NaN
216.0,7.11e-19,NaN
218.0,7.58e-19,NaN
220.0,7.93e-19,NaN
222.0,8.07e-19,NaN
224.0,8.06e-19,NaN
226.0,7.84e-19,NaN
228.0,7.4e-19,NaN
230.0,6.82e-19,NaN
232.0,6.13e-19,NaN
234.0,5.37e-19,NaN
236.0,4.59e-19,NaN
238.0,3.88e-19,NaN
240.0,3.17e-19,NaN
242.0,2.55e-19,NaN
244.0,2.01e-19,NaN
246.0,1.54e-19,NaN
248.0,1.17e-19,NaN
250.0,8.81e-20,NaN
252.0,6.51e-20,NaN
254.0,4.75e-20,NaN
256.0,3.49e-20,NaN
258.0,2.54e-20,NaN
260.0,1.86e-20,NaN
262.0,1.37e-20,NaN
264.0,1.04e-20,NaN
266.0,7.96e-21,NaN
