λ,σ,Δσ
280.0,7.7e-22,NaN
282.0,1.21e-21,NaN
284.0,1.86e-21,NaN
286.0,2.81e-21,NaN
288.0,4.17e-21,NaN
290.0,6.08e-21,NaN
292.0,8.67e-21,NaN
294.0,1.22e-20,NaN
296.0,1.68e-20,NaN
298.0,2.27e-20,NaN
300.0,3.02e-20,NaN
302.0,3.95e-20,NaN
304.0,5.09e-20,NaN
306.0,6.44e-20,NaN
308.0,8.03e-20,NaN
310.0,9.85e-20,NaN
312.0,1.19e-19,NaN
314.0,1.42e-19,NaN
316.0,1.66e-19,NaN
318.0,1.92e-19,NaN
320.0,2.19e-19,NaN
322.0,2.46e-19,NaN
324.0,2.73e-19,NaN
326.0,2.99e-19,NaN
328.0,3.22e-19,NaN
330.0,3.43e-19,NaN
332.0,3.61e-19,NaN
334.0,3.76e-19,NaN
336.0,3.85e-19,NaN
338.0,3.91e-19,NaN
340.0,3.92e-19,NaN
342.0,3.89e-19,NaN
344.0,3.82e-19,NaN
346.0,3.71e-19,NaN
348.0,3.56e-19,NaN
350.0,3.39e-19,NaN
352.0,3.2e-19,NaN
354.0,3.01e-19,NaN
356.0,2.8e-19,NaN
358.0,2.6e-19,NaN
360.0,2.41e-19,NaN
362.0,2.24e-19,NaN
364.0,2.08e-19,NaN
366.0,1.95e-19,NaN
368.0,1.85e-19,NaN
370.0,1.78e-19,NaN
372.0,1.74e-19,NaN
374.0,1.73e-19,NaN
376.0,1.75e-19,NaN
378.0,1.8e-19,NaN
380.0,1.88e-19,NaN
382.0,1.97e-19,NaN
384.0,2.08e-19,NaN
386.0,2.21e-19,NaN
388.0,2.34e-19,NaN
390.0,2.48e-19,NaN
392.0,2.61e-19,NaN
394.0,2.73e-19,NaN
396.0,2.84e-19,NaN
398.0,2.94e-19,NaN
400.0,3.01e-19,NaN
402.0,3.06e-19,NaN
404.0,3.09e-19,NaN
406.0,3.09e-19,NaN
408.0,3.07e-19,NaN
410.0,3.02e-19,NaN
412.0,2.95e-19,NaN
414.0,2.85e-19,NaN
416.0,2.74e-19,NaN
418.0,2.61e-19,NaN
420.0,2.47e-19,NaN
422.0,2.31e-19,NaN
424.0,2.15e-19,NaN
426.0,1.99e-19,NaN
428.0,1.82e-19,NaN
430.0,1.66e-19,NaN
432.0,1.5e-19,NaN
434.0,1.34e-19,NaN
436.0,1.19e-19,NaN
438.0,1.06e-19,NaN
440.0,9.3e-20,NaN
442.0,8.1e-20,NaN
444.0,7.03e-20,NaN
446.0,6.05e-20,NaN
448.0,5.17e-20,NaN
450.0,4.4e-20,NaN
452.0,3.72e-20,NaN
454.0,3.13e-20,NaN
456.0,2.61e-20,NaN
458.0,2.17e-20,NaN
460.0,1.79e-20,NaN
462.0,1.47e-20,NaN
464.0,1.2e-20,NaN
466.0,9.73e-21,NaN
468.0,7.85e-21,NaN
470.0,6.32e-21,NaN
472.0,5.05e-21,NaN
474.0,4.02e-21,NaN
476.0,3.18e-21,NaN
478.0,2.5e-21,NaN
480.0,1.96e-21,NaN
