λ,σ,Δσ
172.33,1.41e-19,NaN
172.36,1.37e-19,NaN
172.47,1.34e-19,NaN
172.55,1.27e-19,NaN
172.86,1.33e-19,NaN
173.07,1.39e-19,NaN
173.41,1.44e-19,NaN
173.6,1.48e-19,NaN
173.7,1.44e-19,NaN
173.76,1.41e-19,NaN
173.9,1.37e-19,NaN
174.17,1.43e-19,NaN
174.38,1.48e-19,NaN
174.54,1.53e-19,NaN
174.66,1.58e-19,NaN
174.87,1.53e-19,NaN
175.08,1.5e-19,NaN
175.4,1.49e-19,NaN
175.46,1.56e-19,NaN
175.8,1.59e-19,NaN
175.9,1.62e-19,NaN
176.18,1.61e-19,NaN
176.34,1.59e-19,NaN
176.54,1.59e-19,NaN
176.78,1.59e-19,NaN
176.9,1.61e-19,NaN
177.05,1.65e-19,NaN
177.17,1.68e-19,NaN
177.46,1.69e-19,NaN
177.67,1.72e-19,NaN
177.79,1.7e-19,NaN
177.94,1.68e-19,NaN
178.22,1.66e-19,NaN
178.34,1.68e-19,NaN
178.47,1.71e-19,NaN
178.67,1.74e-19,NaN
178.89,1.77e-19,NaN
179.15,1.74e-19,NaN
179.45,1.73e-19,NaN
179.69,1.77e-19,NaN
179.85,1.8e-19,NaN
179.92,1.83e-19,NaN
180.05,1.86e-19,NaN
180.33,1.85e-19,NaN
180.55,1.82e-19,NaN
180.76,1.82e-19,NaN
180.96,1.79e-19,NaN
181.21,1.8e-19,NaN
181.4,1.82e-19,NaN
181.6,1.85e-19,NaN
181.79,1.87e-19,NaN
182.14,1.84e-19,NaN
182.49,1.82e-19,NaN
182.74,1.86e-19,NaN
182.82,1.89e-19,NaN
183.05,1.92e-19,NaN
183.26,1.95e-19,NaN
183.45,1.92e-19,NaN
183.52,1.89e-19,NaN
183.68,1.85e-19,NaN
183.89,1.83e-19,NaN
184.05,1.84e-19,NaN
184.26,1.83e-19,NaN
184.47,1.86e-19,NaN
184.66,1.89e-19,NaN
184.96,1.91e-19,NaN
185.14,1.88e-19,NaN
185.24,1.85e-19,NaN
185.46,1.83e-19,NaN
185.75,1.81e-19,NaN
186.06,1.83e-19,NaN
186.29,1.86e-19,NaN
186.49,1.89e-19,NaN
186.73,1.84e-19,NaN
186.89,1.81e-19,NaN
187.26,1.8e-19,NaN
187.65,1.81e-19,NaN
188.01,1.83e-19,NaN
188.39,1.8e-19,NaN
188.52,1.77e-19,NaN
188.7,1.74e-19,NaN
188.98,1.71e-19,NaN
189.34,1.71e-19,NaN
189.82,1.72e-19,NaN
190.03,1.7e-19,NaN
190.22,1.67e-19,NaN
190.57,1.64e-19,NaN
190.95,1.64e-19,NaN
191.16,1.62e-19,NaN
191.37,1.63e-19,NaN
191.56,1.6e-19,NaN
191.82,1.57e-19,NaN
192.11,1.55e-19,NaN
192.28,1.52e-19,NaN
192.64,1.5e-19,NaN
193.06,1.48e-19,NaN
193.51,1.46e-19,NaN
193.75,1.43e-19,NaN
193.92,1.4e-19,NaN
194.37,1.37e-19,NaN
194.75,1.34e-19,NaN
195.1,1.33e-19,NaN
195.45,1.29e-19,NaN
195.78,1.26e-19,NaN
196.05,1.24e-19,NaN
196.56,1.2e-19,NaN
197.15,1.16e-19,NaN
