λ,σ,Δσ
380.0,4.23e-19,0.0
390.0,4.49e-19,1.2e-20
400.0,4.68e-19,2.1e-20
410.0,4.93e-19,1.5e-20
420.0,4.72e-19,1.0e-20
430.0,4.52e-19,4.8e-21
440.0,4.4e-19,6.7e-21
450.0,4.06e-19,1.0e-20
460.0,4.03e-19,2.8e-20
470.0,3.75e-19,2.2e-20
480.0,3.74e-19,4.7e-20
490.0,3.34e-19,2.5e-20
500.0,2.87e-19,1.5e-20
510.0,2.78e-19,1.0e-20
520.0,2.51e-19,7.8e-21
530.0,2.31e-19,7.4e-21
540.0,2.08e-19,8.9e-21
550.0,1.97e-19,4.1e-21
560.0,1.65e-19,3.7e-21
570.0,1.59e-19,4.8e-21
580.0,1.45e-19,4.1e-21
590.0,1.36e-19,4.1e-21
600.0,1.19e-19,3.7e-21
610.0,1.07e-19,3.7e-22
620.0,9.97e-20,3.0e-21
630.0,8.93e-20,1.5e-21
640.0,8.11e-20,3.0e-21
650.0,7.4e-20,1.5e-21
660.0,6.44e-20,1.1e-21
670.0,5.99e-20,4.8e-21
680.0,5.65e-20,4.1e-21
690.0,4.91e-20,3.7e-21
700.0,4.61e-20,5.6e-21
710.0,4.28e-20,6.3e-21
720.0,3.91e-20,4.1e-21
730.0,3.7e-20,2.6e-21
740.0,3.26e-20,6.0e-22
750.0,3.2e-20,2.0e-21
760.0,2.43e-20,7.8e-22
