λ,σ,Δσ
249.38,-1.248e-23,NaN
249.39,-7.8667e-25,NaN
249.4,-1.16e-24,NaN
249.41,-1.4533e-24,NaN
249.42,-2.6933e-24,NaN
249.43,-4.16e-24,NaN
249.44,-5.0133e-24,NaN
249.45,-3.04e-24,NaN
249.46,-5.0667e-25,NaN
249.47,-1.0e-24,NaN
249.48,-2.52e-24,NaN
249.49,-3.3333e-25,NaN
249.5,1.0533e-24,NaN
249.51,8.0e-26,NaN
249.52,-5.7333e-25,NaN
249.53,-1.4667e-24,NaN
249.54,-1.76e-24,NaN
249.55,-2.2933e-24,NaN
249.56,-1.9733e-24,NaN
249.57,-1.4267e-24,NaN
249.58,-2.2667e-25,NaN
249.59,7.0667e-25,NaN
249.6,5.3333e-26,NaN
249.61,-5.0667e-25,NaN
249.62,-1.0667e-25,NaN
249.63,-1.1733e-24,NaN
249.64,2.1333e-25,NaN
249.65,3.12e-24,NaN
249.66,4.2667e-24,NaN
249.67,3.92e-24,NaN
249.68,2.8533e-24,NaN
249.69,3.1067e-24,NaN
249.7,3.2933e-24,NaN
249.71,3.16e-24,NaN
249.72,2.1067e-24,NaN
249.73,1.7733e-24,NaN
249.74,2.3467e-24,NaN
249.75,3.2533e-24,NaN
249.76,3.0133e-24,NaN
249.77,2.6267e-24,NaN
249.78,2.64e-24,NaN
249.79,4.0533e-24,NaN
249.8,4.3333e-24,NaN
249.81,4.0133e-24,NaN
249.82,5.04e-24,NaN
249.83,5.8267e-24,NaN
249.84,4.7867e-24,NaN
249.85,4.0933e-24,NaN
249.86,3.56e-24,NaN
249.87,4.2667e-24,NaN
249.88,4.0e-24,NaN
249.89,1.8933e-24,NaN
249.9,1.2e-24,NaN
249.91,1.4933e-24,NaN
249.92,2.2667e-24,NaN
249.93,2.1867e-24,NaN
249.94,1.7467e-24,NaN
249.95,3.04e-24,NaN
249.96,3.64e-24,NaN
249.97,2.8133e-24,NaN
249.98,1.3333e-24,NaN
249.99,3.1067e-24,NaN
250.0,3.9733e-24,NaN
250.01,2.04e-24,NaN
250.02,1.1467e-24,NaN
250.03,2.68e-24,NaN
250.04,3.2667e-24,NaN
250.05,3.0933e-24,NaN
250.06,2.4133e-24,NaN
250.07,2.2933e-24,NaN
250.08,2.4933e-24,NaN
250.09,3.8667e-24,NaN
250.1,3.0933e-24,NaN
250.11,2.2667e-24,NaN
250.12,1.2e-24,NaN
250.13,1.32e-24,NaN
250.14,1.68e-24,NaN
250.15,1.5067e-24,NaN
250.16,6.0e-25,NaN
250.17,1.0133e-24,NaN
250.18,1.8667e-24,NaN
250.19,2.6667e-24,NaN
250.2,3.0e-24,NaN
250.21,3.1467e-24,NaN
250.22,2.88e-24,NaN
250.23,2.1467e-24,NaN
250.24,2.32e-24,NaN
250.25,2.0267e-24,NaN
250.26,2.7467e-24,NaN
250.27,3.24e-24,NaN
250.28,4.0667e-24,NaN
250.29,3.7467e-24,NaN
250.3,3.3733e-24,NaN
250.31,3.5733e-24,NaN
250.32,4.2933e-24,NaN
250.33,2.4933e-24,NaN
250.34,1.4e-24,NaN
250.35,1.2133e-24,NaN
250.36,6.1333e-25,NaN
250.37,-1.2e-25,NaN
250.38,7.0667e-25,NaN
250.39,1.3333e-25,NaN
250.4,-6.6667e-26,NaN
250.41,1.3733e-24,NaN
250.42,1.7733e-24,NaN
250.43,1.7733e-24,NaN
250.44,2.9867e-24,NaN
250.45,2.8267e-24,NaN
250.46,8.6667e-25,NaN
250.47,1.0e-24,NaN
250.48,4.6667e-25,NaN
250.49,-1.04e-24,NaN
250.5,-3.0667e-25,NaN
250.51,1.3467e-24,NaN
250.52,1.3067e-24,NaN
250.53,1.2533e-24,NaN
250.54,5.7333e-25,NaN
250.55,1.1333e-24,NaN
250.56,1.3733e-24,NaN
250.57,1.04e-24,NaN
250.58,7.0667e-25,NaN
250.59,7.8667e-25,NaN
250.6,7.8667e-25,NaN
250.61,0.0,NaN
250.62,-5.4667e-25,NaN
250.63,1.1867e-24,NaN
250.64,3.1467e-24,NaN
250.65,2.48e-24,NaN
250.66,1.8267e-24,NaN
250.67,9.4667e-25,NaN
250.68,1.0533e-24,NaN
250.69,1.24e-24,NaN
250.7,1.7867e-24,NaN
250.71,2.44e-24,NaN
250.72,2.9867e-24,NaN
250.73,2.4267e-24,NaN
250.74,2.44e-24,NaN
250.75,2.24e-24,NaN
250.76,1.7467e-24,NaN
250.77,1.8133e-24,NaN
250.78,1.48e-24,NaN
250.79,1.3067e-24,NaN
250.8,1.24e-24,NaN
250.81,1.4267e-24,NaN
250.82,1.7333e-24,NaN
250.83,1.4533e-24,NaN
250.84,1.8e-24,NaN
250.85,2.4133e-24,NaN
250.86,2.44e-24,NaN
250.87,2.4133e-24,NaN
250.88,2.48e-24,NaN
250.89,2.3333e-24,NaN
250.9,1.88e-24,NaN
250.91,1.72e-24,NaN
250.92,1.52e-24,NaN
250.93,1.3333e-24,NaN
250.94,9.0667e-25,NaN
250.95,6.0e-25,NaN
250.96,2.5333e-25,NaN
250.97,1.0667e-24,NaN
250.98,2.68e-24,NaN
250.99,3.5467e-24,NaN
251.0,2.5333e-24,NaN
251.01,1.88e-24,NaN
251.02,1.7467e-24,NaN
251.03,2.6933e-24,NaN
251.04,2.76e-24,NaN
251.05,2.9067e-24,NaN
251.06,2.3467e-24,NaN
251.07,2.32e-24,NaN
251.08,2.2933e-24,NaN
251.09,2.1333e-24,NaN
251.1,3.1067e-24,NaN
251.11,3.0667e-24,NaN
251.12,1.96e-24,NaN
251.13,1.1333e-24,NaN
251.14,2.4267e-24,NaN
251.15,2.92e-24,NaN
251.16,2.3867e-24,NaN
251.17,2.1733e-24,NaN
251.18,2.3333e-24,NaN
251.19,1.32e-24,NaN
251.2,1.88e-24,NaN
251.21,2.4533e-24,NaN
251.22,2.3867e-24,NaN
251.23,1.76e-24,NaN
251.24,2.08e-24,NaN
251.25,2.0533e-24,NaN
251.26,2.44e-24,NaN
251.27,1.8e-24,NaN
251.28,1.4133e-24,NaN
