λ,σ,Δσ
128.5,1.521e-17,NaN
128.55,1.526e-17,NaN
128.6,1.53e-17,NaN
128.65,1.532e-17,NaN
128.7,1.532e-17,NaN
128.75,1.532e-17,NaN
128.8,1.533e-17,NaN
128.85,1.517e-17,NaN
128.9,1.5e-17,NaN
128.95,1.483e-17,NaN
129.0,1.465e-17,NaN
129.05,1.441e-17,NaN
129.1,1.418e-17,NaN
129.15,1.394e-17,NaN
129.2,1.369e-17,NaN
129.25,1.342e-17,NaN
129.3,1.314e-17,NaN
129.35,1.287e-17,NaN
129.4,1.266e-17,NaN
129.45,1.252e-17,NaN
129.5,1.237e-17,NaN
129.55,1.223e-17,NaN
129.6,1.222e-17,NaN
129.65,1.227e-17,NaN
129.7,1.232e-17,NaN
129.75,1.237e-17,NaN
129.8,1.256e-17,NaN
129.85,1.278e-17,NaN
129.9,1.301e-17,NaN
129.95,1.323e-17,NaN
130.0,1.35e-17,NaN
130.05,1.377e-17,NaN
130.1,1.404e-17,NaN
130.15,1.427e-17,NaN
130.2,1.435e-17,NaN
130.25,1.442e-17,NaN
130.3,1.449e-17,NaN
130.35,1.45e-17,NaN
130.4,1.439e-17,NaN
130.45,1.428e-17,NaN
130.5,1.417e-17,NaN
130.55,1.411e-17,NaN
130.6,1.411e-17,NaN
130.65,1.41e-17,NaN
130.7,1.409e-17,NaN
130.75,1.423e-17,NaN
130.8,1.441e-17,NaN
130.85,1.46e-17,NaN
130.9,1.478e-17,NaN
130.95,1.508e-17,NaN
131.0,1.539e-17,NaN
131.05,1.57e-17,NaN
131.1,1.597e-17,NaN
131.15,1.601e-17,NaN
131.2,1.605e-17,NaN
131.25,1.609e-17,NaN
131.3,1.605e-17,NaN
131.35,1.585e-17,NaN
131.4,1.564e-17,NaN
131.45,1.543e-17,NaN
131.5,1.524e-17,NaN
131.55,1.507e-17,NaN
131.6,1.489e-17,NaN
131.65,1.472e-17,NaN
131.7,1.465e-17,NaN
131.75,1.464e-17,NaN
131.8,1.463e-17,NaN
131.85,1.462e-17,NaN
131.9,1.471e-17,NaN
131.95,1.483e-17,NaN
132.0,1.494e-17,NaN
132.05,1.505e-17,NaN
132.1,1.524e-17,NaN
132.15,1.542e-17,NaN
132.2,1.561e-17,NaN
132.25,1.581e-17,NaN
132.3,1.606e-17,NaN
132.35,1.631e-17,NaN
132.4,1.656e-17,NaN
132.45,1.68e-17,NaN
132.5,1.702e-17,NaN
132.55,1.725e-17,NaN
132.6,1.747e-17,NaN
132.65,1.761e-17,NaN
132.7,1.771e-17,NaN
132.75,1.781e-17,NaN
132.8,1.791e-17,NaN
132.85,1.799e-17,NaN
132.9,1.805e-17,NaN
132.95,1.812e-17,NaN
133.0,1.819e-17,NaN
133.05,1.831e-17,NaN
133.1,1.844e-17,NaN
133.15,1.856e-17,NaN
133.2,1.869e-17,NaN
133.25,1.885e-17,NaN
133.3,1.901e-17,NaN
133.35,1.917e-17,NaN
133.4,1.938e-17,NaN
133.45,1.965e-17,NaN
133.5,1.992e-17,NaN
133.55,2.02e-17,NaN
133.6,2.049e-17,NaN
133.65,2.08e-17,NaN
133.7,2.11e-17,NaN
133.75,2.141e-17,NaN
133.8,2.151e-17,NaN
133.85,2.155e-17,NaN
133.9,2.159e-17,NaN
133.95,2.164e-17,NaN
134.0,2.161e-17,NaN
134.05,2.158e-17,NaN
134.1,2.155e-17,NaN
134.15,2.153e-17,NaN
134.2,2.158e-17,NaN
134.25,2.163e-17,NaN
134.3,2.168e-17,NaN
134.35,2.175e-17,NaN
134.4,2.184e-17,NaN
134.45,2.193e-17,NaN
134.5,2.202e-17,NaN
134.55,2.213e-17,NaN
134.6,2.224e-17,NaN
134.65,2.236e-17,NaN
134.7,2.247e-17,NaN
134.75,2.258e-17,NaN
134.8,2.268e-17,NaN
134.85,2.278e-17,NaN
134.9,2.288e-17,NaN
134.95,2.297e-17,NaN
135.0,2.305e-17,NaN
135.05,2.314e-17,NaN
135.1,2.322e-17,NaN
135.15,2.329e-17,NaN
135.2,2.336e-17,NaN
135.25,2.343e-17,NaN
135.3,2.35e-17,NaN
135.35,2.357e-17,NaN
135.4,2.364e-17,NaN
135.45,2.371e-17,NaN
135.5,2.377e-17,NaN
135.55,2.382e-17,NaN
135.6,2.387e-17,NaN
135.65,2.392e-17,NaN
135.7,2.393e-17,NaN
135.75,2.393e-17,NaN
135.8,2.392e-17,NaN
135.85,2.392e-17,NaN
135.9,2.388e-17,NaN
135.95,2.383e-17,NaN
136.0,2.379e-17,NaN
136.05,2.374e-17,NaN
136.1,2.373e-17,NaN
136.15,2.372e-17,NaN
136.2,2.371e-17,NaN
136.25,2.371e-17,NaN
136.3,2.374e-17,NaN
136.35,2.376e-17,NaN
136.4,2.379e-17,NaN
136.45,2.384e-17,NaN
136.5,2.391e-17,NaN
136.55,2.398e-17,NaN
136.6,2.405e-17,NaN
136.65,2.417e-17,NaN
136.7,2.431e-17,NaN
136.75,2.445e-17,NaN
136.8,2.459e-17,NaN
136.85,2.473e-17,NaN
136.9,2.487e-17,NaN
136.95,2.501e-17,NaN
137.0,2.513e-17,NaN
137.05,2.52e-17,NaN
137.1,2.527e-17,NaN
137.15,2.533e-17,NaN
137.2,2.534e-17,NaN
137.25,2.525e-17,NaN
137.3,2.515e-17,NaN
137.35,2.506e-17,NaN
137.4,2.494e-17,NaN
137.45,2.481e-17,NaN
137.5,2.468e-17,NaN
137.55,2.455e-17,NaN
137.6,2.446e-17,NaN
137.65,2.438e-17,NaN
137.7,2.43e-17,NaN
137.75,2.422e-17,NaN
137.8,2.422e-17,NaN
137.85,2.423e-17,NaN
137.9,2.423e-17,NaN
137.95,2.424e-17,NaN
138.0,2.429e-17,NaN
138.05,2.434e-17,NaN
138.1,2.439e-17,NaN
138.15,2.444e-17,NaN
138.2,2.448e-17,NaN
138.25,2.451e-17,NaN
138.3,2.455e-17,NaN
138.35,2.457e-17,NaN
138.4,2.458e-17,NaN
138.45,2.458e-17,NaN
138.5,2.459e-17,NaN
138.55,2.459e-17,NaN
138.6,2.459e-17,NaN
138.65,2.459e-17,NaN
138.7,2.46e-17,NaN
138.75,2.46e-17,NaN
138.8,2.461e-17,NaN
138.85,2.461e-17,NaN
138.9,2.462e-17,NaN
138.95,2.465e-17,NaN
139.0,2.468e-17,NaN
139.05,2.471e-17,NaN
139.1,2.479e-17,NaN
139.15,2.492e-17,NaN
139.2,2.505e-17,NaN
139.25,2.519e-17,NaN
139.3,2.539e-17,NaN
139.35,2.563e-17,NaN
139.4,2.587e-17,NaN
139.45,2.611e-17,NaN
139.5,2.639e-17,NaN
139.55,2.669e-17,NaN
139.6,2.699e-17,NaN
139.65,2.727e-17,NaN
139.7,2.743e-17,NaN
139.75,2.759e-17,NaN
139.8,2.775e-17,NaN
139.85,2.782e-17,NaN
139.9,2.769e-17,NaN
139.95,2.755e-17,NaN
140.0,2.741e-17,NaN
140.05,2.723e-17,NaN
140.1,2.699e-17,NaN
140.15,2.676e-17,NaN
140.2,2.653e-17,NaN
140.25,2.636e-17,NaN
140.3,2.622e-17,NaN
140.35,2.608e-17,NaN
140.4,2.594e-17,NaN
140.45,2.586e-17,NaN
140.5,2.579e-17,NaN
140.55,2.571e-17,NaN
140.6,2.565e-17,NaN
140.65,2.562e-17,NaN
140.7,2.559e-17,NaN
140.75,2.557e-17,NaN
140.8,2.555e-17,NaN
140.85,2.556e-17,NaN
140.9,2.556e-17,NaN
140.95,2.557e-17,NaN
141.0,2.558e-17,NaN
141.05,2.56e-17,NaN
141.1,2.561e-17,NaN
141.15,2.563e-17,NaN
141.2,2.562e-17,NaN
141.25,2.56e-17,NaN
141.3,2.558e-17,NaN
141.35,2.555e-17,NaN
141.4,2.552e-17,NaN
141.45,2.548e-17,NaN
141.5,2.545e-17,NaN
141.55,2.542e-17,NaN
141.6,2.54e-17,NaN
141.65,2.539e-17,NaN
141.7,2.537e-17,NaN
141.75,2.535e-17,NaN
141.8,2.533e-17,NaN
141.85,2.53e-17,NaN
141.9,2.528e-17,NaN
141.95,2.526e-17,NaN
142.0,2.524e-17,NaN
142.05,2.523e-17,NaN
142.1,2.521e-17,NaN
142.15,2.525e-17,NaN
142.2,2.529e-17,NaN
142.25,2.534e-17,NaN
142.3,2.539e-17,NaN
142.35,2.555e-17,NaN
142.4,2.571e-17,NaN
142.45,2.587e-17,NaN
142.5,2.601e-17,NaN
142.55,2.609e-17,NaN
142.6,2.617e-17,NaN
142.65,2.626e-17,NaN
142.7,2.621e-17,NaN
142.75,2.604e-17,NaN
142.8,2.588e-17,NaN
142.85,2.572e-17,NaN
142.9,2.551e-17,NaN
142.95,2.53e-17,NaN
143.0,2.508e-17,NaN
143.05,2.487e-17,NaN
143.1,2.478e-17,NaN
143.15,2.47e-17,NaN
143.2,2.462e-17,NaN
143.25,2.455e-17,NaN
143.3,2.455e-17,NaN
143.35,2.456e-17,NaN
143.4,2.456e-17,NaN
143.45,2.452e-17,NaN
143.5,2.443e-17,NaN
143.55,2.435e-17,NaN
143.6,2.426e-17,NaN
143.65,2.414e-17,NaN
143.7,2.402e-17,NaN
143.75,2.389e-17,NaN
143.8,2.377e-17,NaN
143.85,2.37e-17,NaN
143.9,2.365e-17,NaN
143.95,2.359e-17,NaN
144.0,2.354e-17,NaN
144.05,2.353e-17,NaN
144.1,2.353e-17,NaN
144.15,2.353e-17,NaN
144.2,2.355e-17,NaN
144.25,2.362e-17,NaN
144.3,2.369e-17,NaN
144.35,2.375e-17,NaN
144.4,2.387e-17,NaN
144.45,2.401e-17,NaN
144.5,2.416e-17,NaN
144.55,2.431e-17,NaN
144.6,2.449e-17,NaN
144.65,2.468e-17,NaN
144.7,2.488e-17,NaN
144.75,2.507e-17,NaN
144.8,2.514e-17,NaN
144.85,2.521e-17,NaN
144.9,2.527e-17,NaN
144.95,2.527e-17,NaN
145.0,2.504e-17,NaN
145.05,2.482e-17,NaN
145.1,2.46e-17,NaN
145.15,2.43e-17,NaN
145.2,2.392e-17,NaN
145.25,2.354e-17,NaN
145.3,2.316e-17,NaN
145.35,2.289e-17,NaN
145.4,2.268e-17,NaN
145.45,2.246e-17,NaN
145.5,2.225e-17,NaN
145.55,2.225e-17,NaN
145.6,2.228e-17,NaN
145.65,2.231e-17,NaN
145.7,2.232e-17,NaN
145.75,2.227e-17,NaN
145.8,2.222e-17,NaN
145.85,2.217e-17,NaN
