download_url,T2,λ2,author_year,comments,λ1,name,doi,formula,T1,fname
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_Berney(1964)_298K_253nm(max).txt,NaN,NaN,Berney(1964),"Absorption maximum of the absorption spectrum measured at 200- 400 nm using a Cary spectrophotometer
",253.0,trifluoroacetyl chloride, https://doi.org/10.1016/0371-1951(64)80125-9,CF3C(O)Cl,298.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_Berney(1964)_298K_253nm(max).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_IUPAC(2008)_223K_200-320nm(rec).txt,NaN,320.0,IUPAC(2008),IUPAC(2008) recommendation:,200.0,trifluoroacetyl chloride, https://doi.org/10.5194/acp-8-4141-2008,CF3C(O)Cl,223.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_IUPAC(2008)_223K_200-320nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_IUPAC(2008)_298K_200-328nm(rec).txt,NaN,328.0,IUPAC(2008),IUPAC(2008) recommendation:,200.0,trifluoroacetyl chloride, https://doi.org/10.5194/acp-8-4141-2008,CF3C(O)Cl,298.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_IUPAC(2008)_298K_200-328nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_Jemi-Alade(1991)_298K_210-290nm.txt,NaN,290.0,Jemi-Alade(1991),"Absorption measurements ""using a commercial spectrophotometer""",210.0,trifluoroacetyl chloride, https://doi.org/10.1016/0009-2614(91)90301-O,CF3C(O)Cl,298.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_Jemi-Alade(1991)_298K_210-290nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_Jemi-Alade(1991)_298K_220-290nm.txt,NaN,290.0,Jemi-Alade(1991),Absorption spectrum of the product of self-reaction of CF,220.0,trifluoroacetyl chloride, https://doi.org/10.1016/0009-2614(91)90301-O,CF3C(O)Cl,298.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_Jemi-Alade(1991)_298K_220-290nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_JPL-2006(2006)_296-298K_205-325nm(rec).txt,298.0,325.0,JPL-2006(2006),JPL-2006 recommendation:,205.0,trifluoroacetyl chloride,,CF3C(O)Cl,296.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_JPL-2006(2006)_296-298K_205-325nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_JPL-2010(2011)_253K_200-325nm(rec).txt,NaN,325.0,JPL-2010(2011),JPL-2010 recommendation:,200.0,trifluoroacetyl chloride,,CF3C(O)Cl,253.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_JPL-2010(2011)_253K_200-325nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_JPL-2010(2011)_300K_200-325nm(rec).txt,NaN,325.0,JPL-2010(2011),JPL-2010 recommendation:,200.0,trifluoroacetyl chloride,,CF3C(O)Cl,300.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_JPL-2010(2011)_300K_200-325nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_Malanca(2005)_253K_200-325nm.txt,NaN,325.0,Malanca(2005),Averages over 5-nm intervals of the spectrum recorded at a resolution of 1 nm using a diode array spectrometer,200.0,trifluoroacetyl chloride, https://doi.org/10.1016/j.atmosenv.2005.05.026,CF3C(O)Cl,253.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_Malanca(2005)_253K_200-325nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Halogenated%20aldehydes/CF3C(O)Cl_Malanca(2005)_300K_200-325nm.txt,NaN,325.0,Malanca(2005),Averages over 5-nm intervals of the spectrum recorded at a resolution of 1 nm using a diode array spectrometer,200.0,trifluoroacetyl chloride, https://doi.org/10.1016/j.atmosenv.2005.05.026,CF3C(O)Cl,300.0,cross-sections/Organics (carbonyls)/Halogenated aldehydes/CF3C(O)Cl/CF3C(O)Cl_Malanca(2005)_300K_200-325nm.csv
