λ,σ,Δσ
168.1,3.01e-18,NaN
170.95,4.33e-18,NaN
173.15,4.93e-18,NaN
174.65,5.09e-18,NaN
176.2,4.75e-18,NaN
177.8,4.27e-18,NaN
179.4,3.69e-18,NaN
181.0,3.13e-18,NaN
182.65,2.61e-18,NaN
184.35,2.1e-18,NaN
186.05,1.78e-18,NaN
187.8,1.37e-18,NaN
189.6,1.12e-18,NaN
191.4,8.89e-19,NaN
193.25,6.88e-19,NaN
195.15,5.21e-19,NaN
197.05,4.06e-19,NaN
199.0,3.17e-19,NaN
201.01,2.57e-19,NaN
203.05,2.07e-19,NaN
205.14,1.72e-19,NaN
207.26,1.47e-19,NaN
209.43,1.3e-19,NaN
211.65,1.19e-19,NaN
213.89,1.14e-19,NaN
216.2,1.13e-19,NaN
218.59,1.15e-19,NaN
221.0,1.22e-19,NaN
223.47,1.26e-19,NaN
226.0,1.3e-19,NaN
228.58,1.32e-19,NaN
231.23,1.34e-19,NaN
233.93,1.35e-19,NaN
236.69,1.3e-19,NaN
239.53,1.24e-19,NaN
242.43,1.15e-19,NaN
245.41,1.04e-19,NaN
248.45,9.07e-20,NaN
251.59,7.75e-20,NaN
254.79,6.32e-20,NaN
258.08,5.02e-20,NaN
261.45,3.77e-20,NaN
264.92,2.68e-20,NaN
268.5,1.85e-20,NaN
272.12,1.17e-20,NaN
275.88,6.89e-21,NaN
279.74,3.7e-21,NaN
283.7,1.82e-21,NaN
287.78,7.71e-22,NaN
291.99,2.98e-22,NaN
296.32,1.04e-22,NaN
300.77,3.23e-23,NaN
305.36,9.6e-24,NaN
