λ,σ,Δσ
309.62,1.21e-19,NaN
309.65,1.2e-19,NaN
309.7,1.19e-19,NaN
309.81,1.18e-19,NaN
309.87,1.16e-19,NaN
309.91,1.15e-19,NaN
309.95,1.14e-19,NaN
310.01,1.12e-19,NaN
310.08,1.11e-19,NaN
310.22,1.09e-19,NaN
310.31,1.08e-19,NaN
310.44,1.07e-19,NaN
310.59,1.06e-19,NaN
310.76,1.05e-19,NaN
310.87,1.04e-19,NaN
310.96,1.03e-19,NaN
311.08,1.02e-19,NaN
311.15,1.01e-19,NaN
311.19,9.98e-20,NaN
311.22,9.86e-20,NaN
311.25,9.74e-20,NaN
311.34,9.64e-20,NaN
311.37,9.56e-20,NaN
311.42,9.44e-20,NaN
311.55,9.34e-20,NaN
311.67,9.25e-20,NaN
311.81,9.16e-20,NaN
311.84,9.05e-20,NaN
311.91,8.95e-20,NaN
311.95,8.84e-20,NaN
312.0,8.68e-20,NaN
312.09,8.55e-20,NaN
312.17,8.42e-20,NaN
312.23,8.32e-20,NaN
312.32,8.22e-20,NaN
312.39,8.13e-20,NaN
312.52,8.03e-20,NaN
312.72,7.97e-20,NaN
312.8,7.87e-20,NaN
312.85,7.76e-20,NaN
312.89,7.65e-20,NaN
312.93,7.56e-20,NaN
313.06,7.51e-20,NaN
313.21,7.57e-20,NaN
313.29,7.65e-20,NaN
313.37,7.73e-20,NaN
313.45,7.82e-20,NaN
313.56,7.75e-20,NaN
313.61,7.63e-20,NaN
313.63,7.52e-20,NaN
313.67,7.39e-20,NaN
313.7,7.2e-20,NaN
313.7,7.3e-20,NaN
313.78,7.08e-20,NaN
313.99,6.97e-20,NaN
314.05,6.88e-20,NaN
314.08,6.77e-20,NaN
314.11,6.69e-20,NaN
314.14,6.58e-20,NaN
314.19,6.49e-20,NaN
314.22,6.38e-20,NaN
314.27,6.26e-20,NaN
314.3,6.15e-20,NaN
314.37,6.06e-20,NaN
314.42,5.95e-20,NaN
314.44,5.87e-20,NaN
314.52,5.79e-20,NaN
314.68,5.84e-20,NaN
314.79,5.93e-20,NaN
314.92,5.96e-20,NaN
315.0,5.86e-20,NaN
315.05,5.79e-20,NaN
315.09,5.72e-20,NaN
315.21,5.67e-20,NaN
315.32,5.74e-20,NaN
315.38,5.84e-20,NaN
315.44,5.91e-20,NaN
315.56,5.96e-20,NaN
315.68,5.87e-20,NaN
315.77,5.76e-20,NaN
315.84,5.66e-20,NaN
315.92,5.55e-20,NaN
316.03,5.44e-20,NaN
316.24,5.35e-20,NaN
316.37,5.24e-20,NaN
316.41,5.1e-20,NaN
316.42,4.98e-20,NaN
316.45,4.86e-20,NaN
316.51,4.74e-20,NaN
316.56,4.61e-20,NaN
316.62,4.49e-20,NaN
316.73,4.41e-20,NaN
316.87,4.48e-20,NaN
316.94,4.56e-20,NaN
317.06,4.61e-20,NaN
317.18,4.5e-20,NaN
317.26,4.4e-20,NaN
317.4,4.34e-20,NaN
317.47,4.41e-20,NaN
317.56,4.51e-20,NaN
317.63,4.6e-20,NaN
317.73,4.53e-20,NaN
317.8,4.41e-20,NaN
317.82,4.32e-20,NaN
317.9,4.23e-20,NaN
318.06,4.16e-20,NaN
318.2,4.08e-20,NaN
318.25,3.98e-20,NaN
318.31,3.85e-20,NaN
318.38,3.69e-20,NaN
318.48,3.55e-20,NaN
318.59,3.41e-20,NaN
318.74,3.27e-20,NaN
318.84,3.19e-20,NaN
318.97,3.13e-20,NaN
319.16,3.09e-20,NaN
319.24,3.19e-20,NaN
319.31,3.27e-20,NaN
319.37,3.35e-20,NaN
319.41,3.45e-20,NaN
319.55,3.5e-20,NaN
319.72,3.41e-20,NaN
319.87,3.32e-20,NaN
319.98,3.39e-20,NaN
320.14,3.49e-20,NaN
320.28,3.35e-20,NaN
320.29,3.32e-20,NaN
320.33,3.15e-20,NaN
320.37,3.02e-20,NaN
320.41,2.87e-20,NaN
320.46,2.69e-20,NaN
320.52,2.53e-20,NaN
320.58,2.41e-20,NaN
320.71,2.35e-20,NaN
320.86,2.28e-20,NaN
320.94,2.18e-20,NaN
321.06,2.12e-20,NaN
321.19,2.16e-20,NaN
321.3,2.13e-20,NaN
321.4,2.11e-20,NaN
321.58,2.1e-20,NaN
321.63,2.12e-20,NaN
321.66,2.14e-20,NaN
321.7,2.18e-20,NaN
321.73,2.23e-20,NaN
321.74,2.27e-20,NaN
321.8,2.34e-20,NaN
321.82,2.4e-20,NaN
321.84,2.45e-20,NaN
321.89,2.5e-20,NaN
321.98,2.54e-20,NaN
322.05,2.57e-20,NaN
322.15,2.59e-20,NaN
322.27,2.57e-20,NaN
322.32,2.54e-20,NaN
322.33,2.5e-20,NaN
322.35,2.47e-20,NaN
322.37,2.44e-20,NaN
322.38,2.4e-20,NaN
322.44,2.38e-20,NaN
322.52,2.4e-20,NaN
322.57,2.43e-20,NaN
322.63,2.47e-20,NaN
322.68,2.49e-20,NaN
322.8,2.51e-20,NaN
322.89,2.48e-20,NaN
322.9,2.46e-20,NaN
322.93,2.42e-20,NaN
322.96,2.38e-20,NaN
322.99,2.34e-20,NaN
323.05,2.26e-20,NaN
323.1,2.18e-20,NaN
323.15,2.12e-20,NaN
323.21,2.04e-20,NaN
323.26,1.96e-20,NaN
323.32,1.88e-20,NaN
323.35,1.83e-20,NaN
323.38,1.78e-20,NaN
323.4,1.74e-20,NaN
323.47,1.68e-20,NaN
323.53,1.62e-20,NaN
323.56,1.58e-20,NaN
323.6,1.51e-20,NaN
323.63,1.48e-20,NaN
323.65,1.45e-20,NaN
323.69,1.42e-20,NaN
323.71,1.39e-20,NaN
323.81,1.37e-20,NaN
323.93,1.38e-20,NaN
323.96,1.39e-20,NaN
323.98,1.42e-20,NaN
324.01,1.44e-20,NaN
324.05,1.47e-20,NaN
324.13,1.49e-20,NaN
324.22,1.47e-20,NaN
324.35,1.46e-20,NaN
324.46,1.44e-20,NaN
324.51,1.46e-20,NaN
324.53,1.49e-20,NaN
324.56,1.53e-20,NaN
324.58,1.58e-20,NaN
324.59,1.62e-20,NaN
324.62,1.67e-20,NaN
324.64,1.72e-20,NaN
324.68,1.78e-20,NaN
324.72,1.83e-20,NaN
324.75,1.89e-20,NaN
324.81,1.93e-20,NaN
324.93,1.96e-20,NaN
325.01,1.93e-20,NaN
325.04,1.89e-20,NaN
325.07,1.83e-20,NaN
325.09,1.78e-20,NaN
325.12,1.73e-20,NaN
325.13,1.69e-20,NaN
325.14,1.64e-20,NaN
325.14,1.63e-20,NaN
325.21,1.61e-20,NaN
325.32,1.63e-20,NaN
325.41,1.65e-20,NaN
325.49,1.64e-20,NaN
325.53,1.61e-20,NaN
325.57,1.58e-20,NaN
325.63,1.52e-20,NaN
325.7,1.47e-20,NaN
325.76,1.41e-20,NaN
325.82,1.35e-20,NaN
325.92,1.27e-20,NaN
325.99,1.22e-20,NaN
326.06,1.15e-20,NaN
326.14,1.08e-20,NaN
326.22,1.02e-20,NaN
326.25,9.98e-21,NaN
326.3,9.71e-21,NaN
326.41,9.42e-21,NaN
326.59,9.15e-21,NaN
326.81,9.02e-21,NaN
326.9,9.16e-21,NaN
326.93,9.41e-21,NaN
326.96,9.74e-21,NaN
326.98,1.01e-20,NaN
327.0,1.04e-20,NaN
327.08,1.07e-20,NaN
327.15,1.09e-20,NaN
327.25,1.07e-20,NaN
327.34,1.05e-20,NaN
327.4,1.02e-20,NaN
327.55,1.01e-20,NaN
327.63,1.03e-20,NaN
327.65,1.06e-20,NaN
327.68,1.11e-20,NaN
327.68,1.15e-20,NaN
327.71,1.2e-20,NaN
327.72,1.25e-20,NaN
327.74,1.3e-20,NaN
327.74,1.3e-20,NaN
327.74,1.35e-20,NaN
327.76,1.4e-20,NaN
327.93,1.42e-20,NaN
328.14,1.41e-20,NaN
328.22,1.37e-20,NaN
328.31,1.34e-20,NaN
328.4,1.3e-20,NaN
328.51,1.25e-20,NaN
328.58,1.2e-20,NaN
328.66,1.16e-20,NaN
328.75,1.11e-20,NaN
328.83,1.07e-20,NaN
328.9,1.04e-20,NaN
328.99,9.84e-21,NaN
329.05,9.5e-21,NaN
329.11,9.16e-21,NaN
329.18,8.79e-21,NaN
329.22,8.39e-21,NaN
329.28,8.07e-21,NaN
329.34,7.78e-21,NaN
329.39,7.48e-21,NaN
329.45,7.26e-21,NaN
329.55,6.97e-21,NaN
329.62,6.73e-21,NaN
329.79,6.56e-21,NaN
329.93,6.77e-21,NaN
330.01,7.01e-21,NaN
330.07,7.25e-21,NaN
330.1,7.46e-21,NaN
330.17,7.76e-21,NaN
330.24,7.98e-21,NaN
330.33,8.22e-21,NaN
330.46,7.96e-21,NaN
330.54,7.75e-21,NaN
330.68,7.61e-21,NaN
330.79,7.76e-21,NaN
330.82,8.01e-21,NaN
330.85,8.26e-21,NaN
330.87,8.58e-21,NaN
330.95,8.87e-21,NaN
330.98,9.04e-21,NaN
330.99,9.19e-21,NaN
331.06,9.31e-21,NaN
331.13,9.46e-21,NaN
331.21,9.35e-21,NaN
331.27,9.15e-21,NaN
331.3,8.91e-21,NaN
331.37,8.57e-21,NaN
331.44,8.27e-21,NaN
331.48,8.0e-21,NaN
331.51,7.66e-21,NaN
331.55,7.29e-21,NaN
331.61,6.9e-21,NaN
331.68,6.46e-21,NaN
331.74,6.02e-21,NaN
331.81,5.67e-21,NaN
331.87,5.28e-21,NaN
331.92,4.91e-21,NaN
332.0,4.54e-21,NaN
332.08,4.27e-21,NaN
332.17,3.97e-21,NaN
332.27,3.71e-21,NaN
332.41,3.48e-21,NaN
332.55,3.35e-21,NaN
332.67,3.47e-21,NaN
332.75,3.65e-21,NaN
332.82,3.84e-21,NaN
332.91,4.05e-21,NaN
333.03,4.26e-21,NaN
333.15,4.5e-21,NaN
333.28,4.74e-21,NaN
333.31,4.94e-21,NaN
333.35,5.2e-21,NaN
333.38,5.46e-21,NaN
333.4,5.74e-21,NaN
333.46,5.9e-21,NaN
333.51,6.18e-21,NaN
333.61,6.35e-21,NaN
333.74,6.49e-21,NaN
333.86,6.24e-21,NaN
333.92,5.92e-21,NaN
334.0,5.67e-21,NaN
334.07,5.42e-21,NaN
334.13,5.16e-21,NaN
334.21,4.86e-21,NaN
334.28,4.56e-21,NaN
334.31,4.34e-21,NaN
334.42,4.03e-21,NaN
334.51,3.82e-21,NaN
334.57,3.53e-21,NaN
334.64,3.3e-21,NaN
334.73,3.1e-21,NaN
334.8,2.82e-21,NaN
334.94,2.54e-21,NaN
335.1,2.25e-21,NaN
335.29,2.16e-21,NaN
335.48,2.07e-21,NaN
335.63,1.94e-21,NaN
335.83,1.79e-21,NaN
336.04,1.99e-21,NaN
336.06,2.1e-21,NaN
336.15,2.19e-21,NaN
336.16,2.29e-21,NaN
336.17,2.3e-21,NaN
336.27,2.49e-21,NaN
336.33,2.71e-21,NaN
336.38,2.86e-21,NaN
336.45,2.97e-21,NaN
336.53,3.06e-21,NaN
336.66,3.11e-21,NaN
336.88,3.09e-21,NaN
336.97,3.16e-21,NaN
336.98,3.28e-21,NaN
337.01,3.38e-21,NaN
337.07,3.54e-21,NaN
337.11,3.71e-21,NaN
337.18,3.91e-21,NaN
337.24,4.03e-21,NaN
337.29,4.14e-21,NaN
337.41,4.22e-21,NaN
337.58,4.19e-21,NaN
337.61,4.15e-21,NaN
337.64,4.02e-21,NaN
337.67,3.88e-21,NaN
337.75,3.72e-21,NaN
337.83,3.56e-21,NaN
337.86,3.29e-21,NaN
337.93,3.05e-21,NaN
338.04,2.73e-21,NaN
338.14,2.46e-21,NaN
338.2,2.33e-21,NaN
338.23,2.19e-21,NaN
338.27,2.04e-21,NaN
338.29,1.94e-21,NaN
338.35,1.84e-21,NaN
338.41,1.74e-21,NaN
338.55,1.66e-21,NaN
338.74,1.62e-21,NaN
338.9,1.59e-21,NaN
339.06,1.57e-21,NaN
339.22,1.55e-21,NaN
339.37,1.6e-21,NaN
339.43,1.68e-21,NaN
339.5,1.77e-21,NaN
339.51,1.84e-21,NaN
339.6,1.9e-21,NaN
339.64,1.97e-21,NaN
339.85,1.99e-21,NaN
339.99,2.05e-21,NaN
340.04,2.1e-21,NaN
340.09,2.13e-21,NaN
340.09,2.13e-21,NaN
340.17,2.24e-21,NaN
340.22,2.28e-21,NaN
340.27,2.31e-21,NaN
340.37,2.34e-21,NaN
340.49,2.28e-21,NaN
340.54,2.24e-21,NaN
340.57,2.18e-21,NaN
340.58,2.17e-21,NaN
340.65,2.07e-21,NaN
340.71,2.0e-21,NaN
340.85,1.82e-21,NaN
341.0,1.64e-21,NaN
341.12,1.46e-21,NaN
341.3,1.28e-21,NaN
341.32,1.26e-21,NaN
341.37,1.21e-21,NaN
341.42,1.17e-21,NaN
341.43,1.13e-21,NaN
341.48,1.09e-21,NaN
341.52,1.05e-21,NaN
341.58,1.01e-21,NaN
341.63,9.72e-22,NaN
341.69,9.33e-22,NaN
341.84,8.9e-22,NaN
342.03,9.17e-22,NaN
342.11,9.71e-22,NaN
342.18,1.01e-21,NaN
342.22,1.04e-21,NaN
342.44,1.03e-21,NaN
342.63,1.02e-21,NaN
342.72,1.03e-21,NaN
342.84,1.07e-21,NaN
342.91,1.1e-21,NaN
342.94,1.13e-21,NaN
343.02,1.17e-21,NaN
343.06,1.2e-21,NaN
343.2,1.22e-21,NaN
343.31,1.21e-21,NaN
343.52,1.19e-21,NaN
343.68,1.21e-21,NaN
343.75,1.24e-21,NaN
343.78,1.29e-21,NaN
343.84,1.32e-21,NaN
343.9,1.38e-21,NaN
343.92,1.41e-21,NaN
343.96,1.46e-21,NaN
344.02,1.54e-21,NaN
344.23,1.6e-21,NaN
344.38,1.53e-21,NaN
344.52,1.47e-21,NaN
344.56,1.42e-21,NaN
344.59,1.38e-21,NaN
344.61,1.34e-21,NaN
344.69,1.29e-21,NaN
344.75,1.23e-21,NaN
344.8,1.17e-21,NaN
344.87,1.13e-21,NaN
344.91,1.07e-21,NaN
344.95,1.03e-21,NaN
345.05,9.57e-22,NaN
345.21,8.72e-22,NaN
345.38,8.23e-22,NaN
345.61,8.47e-22,NaN
345.76,8.25e-22,NaN
345.81,7.96e-22,NaN
345.87,7.63e-22,NaN
345.92,7.19e-22,NaN
346.06,6.95e-22,NaN
346.18,7.26e-22,NaN
346.36,7.7e-22,NaN
346.5,7.31e-22,NaN
346.54,6.88e-22,NaN
346.62,6.49e-22,NaN
346.67,5.97e-22,NaN
346.78,5.51e-22,NaN
346.91,5.45e-22,NaN
347.01,5.78e-22,NaN
347.11,6.15e-22,NaN
347.2,6.62e-22,NaN
347.36,6.86e-22,NaN
347.5,6.38e-22,NaN
347.55,5.95e-22,NaN
347.64,5.54e-22,NaN
347.72,5.19e-22,NaN
347.82,4.79e-22,NaN
347.99,4.36e-22,NaN
348.21,3.97e-22,NaN
348.45,3.74e-22,NaN
348.57,3.5e-22,NaN
348.69,3.28e-22,NaN
348.83,3.09e-22,NaN
348.94,3.29e-22,NaN
349.02,3.56e-22,NaN
349.25,4.15e-22,NaN
349.33,4.4e-22,NaN
349.43,4.54e-22,NaN
349.57,4.41e-22,NaN
349.82,4.05e-22,NaN
350.13,3.88e-22,NaN
350.38,3.67e-22,NaN
350.58,3.35e-22,NaN
350.8,3.25e-22,NaN
350.96,3.65e-22,NaN
351.16,4.09e-22,NaN
351.32,4.45e-22,NaN
351.56,4.63e-22,NaN
351.78,4.2e-22,NaN
351.94,4.01e-22,NaN
352.07,3.75e-22,NaN
352.23,3.45e-22,NaN
352.45,3.4e-22,NaN
352.62,3.47e-22,NaN
352.88,3.13e-22,NaN
353.1,2.84e-22,NaN
353.3,2.53e-22,NaN
353.54,2.3e-22,NaN
353.79,2.05e-22,NaN
354.08,1.86e-22,NaN
354.39,1.79e-22,NaN
354.64,1.82e-22,NaN
354.8,2.0e-22,NaN
355.0,2.13e-22,NaN
355.2,1.93e-22,NaN
355.4,1.73e-22,NaN
355.73,1.55e-22,NaN
356.01,1.58e-22,NaN
356.18,1.82e-22,NaN
356.32,2.06e-22,NaN
356.41,2.38e-22,NaN
356.52,2.72e-22,NaN
356.76,2.8e-22,NaN
356.94,2.5e-22,NaN
357.17,2.33e-22,NaN
357.3,2.61e-22,NaN
357.41,2.82e-22,NaN
357.57,2.76e-22,NaN
357.75,2.49e-22,NaN
357.96,2.18e-22,NaN
358.2,1.92e-22,NaN
358.42,1.62e-22,NaN
358.65,1.35e-22,NaN
358.95,1.11e-22,NaN
359.27,1.18e-22,NaN
359.39,1.45e-22,NaN
359.54,1.73e-22,NaN
359.91,1.57e-22,NaN
360.21,1.85e-22,NaN
360.5,1.5e-22,NaN
360.73,1.24e-22,NaN
360.96,1.02e-22,NaN
361.2,9.12e-23,NaN
361.58,7.9e-23,NaN
361.93,6.78e-23,NaN
362.22,6.17e-23,NaN
362.62,5.36e-23,NaN
362.94,4.96e-23,NaN
363.39,4.25e-23,NaN
363.79,4.26e-23,NaN
364.17,4.16e-23,NaN
364.46,5.6e-23,NaN
364.67,7.95e-23,NaN
364.89,9.48e-23,NaN
365.19,6.83e-23,NaN
365.55,9.08e-23,NaN
365.77,7.25e-23,NaN
366.08,5.21e-23,NaN
366.44,3.48e-23,NaN
366.92,2.78e-23,NaN
367.51,2.89e-23,NaN
