λ,σ,Δσ
113.01,5.36e-17,NaN
113.13,5.39e-17,NaN
113.28,5.34e-17,NaN
113.42,5.35e-17,NaN
113.52,5.28e-17,NaN
113.59,5.33e-17,NaN
113.69,5.28e-17,NaN
113.74,5.3e-17,NaN
113.79,5.24e-17,NaN
113.85,5.3e-17,NaN
113.87,5.26e-17,NaN
113.91,5.24e-17,NaN
113.94,5.16e-17,NaN
113.99,5.2e-17,NaN
114.05,5.15e-17,NaN
114.06,5.26e-17,NaN
114.11,5.2e-17,NaN
114.13,5.28e-17,NaN
114.17,5.25e-17,NaN
114.24,5.28e-17,NaN
114.31,5.33e-17,NaN
114.37,5.38e-17,NaN
114.44,5.43e-17,NaN
114.54,5.46e-17,NaN
114.64,5.43e-17,NaN
114.7,5.37e-17,NaN
114.76,5.3e-17,NaN
114.83,5.37e-17,NaN
114.88,5.42e-17,NaN
114.96,5.37e-17,NaN
115.0,5.43e-17,NaN
115.11,5.51e-17,NaN
115.18,5.6e-17,NaN
115.27,5.54e-17,NaN
115.33,5.6e-17,NaN
115.37,5.65e-17,NaN
115.46,5.56e-17,NaN
115.53,5.49e-17,NaN
115.57,5.54e-17,NaN
115.64,5.54e-17,NaN
115.67,5.49e-17,NaN
115.74,5.56e-17,NaN
115.82,5.52e-17,NaN
115.85,5.58e-17,NaN
115.89,5.65e-17,NaN
115.91,5.6e-17,NaN
115.96,5.67e-17,NaN
115.99,5.6e-17,NaN
116.04,5.65e-17,NaN
116.08,5.72e-17,NaN
116.1,5.78e-17,NaN
116.16,5.86e-17,NaN
116.2,5.8e-17,NaN
116.26,5.81e-17,NaN
116.3,5.74e-17,NaN
116.35,5.67e-17,NaN
116.4,5.57e-17,NaN
116.44,5.49e-17,NaN
116.48,5.54e-17,NaN
116.49,5.47e-17,NaN
116.52,5.53e-17,NaN
116.54,5.47e-17,NaN
116.61,5.54e-17,NaN
116.65,5.61e-17,NaN
116.7,5.68e-17,NaN
116.74,5.79e-17,NaN
116.8,5.87e-17,NaN
116.86,5.94e-17,NaN
116.9,6.04e-17,NaN
117.0,6.1e-17,NaN
117.04,6.03e-17,NaN
117.11,5.95e-17,NaN
117.17,5.84e-17,NaN
117.23,5.72e-17,NaN
117.35,5.67e-17,NaN
117.41,5.7e-17,NaN
117.48,5.8e-17,NaN
117.54,5.88e-17,NaN
117.55,5.96e-17,NaN
117.58,6.05e-17,NaN
117.62,6.14e-17,NaN
117.65,6.22e-17,NaN
117.67,6.31e-17,NaN
117.69,6.4e-17,NaN
117.7,6.45e-17,NaN
117.76,6.47e-17,NaN
117.81,6.52e-17,NaN
