λ,σ,Δσ
0.49005,2.67e-19,NaN
0.49017,2.67e-19,NaN
0.49025,2.63e-19,NaN
0.49038,2.7e-19,NaN
0.49045,2.68e-19,NaN
0.49054,2.75e-19,NaN
0.49064,2.66e-19,NaN
0.49073,2.71e-19,NaN
0.49084,2.64e-19,NaN
0.49092,2.67e-19,NaN
0.49105,2.68e-19,NaN
0.49114,2.74e-19,NaN
0.49125,2.68e-19,NaN
0.49138,2.66e-19,NaN
0.4915,2.67e-19,NaN
0.49159,2.67e-19,NaN
0.49171,2.62e-19,NaN
0.49181,2.7e-19,NaN
0.49189,2.68e-19,NaN
0.49198,2.64e-19,NaN
0.4921,2.61e-19,NaN
0.49224,2.64e-19,NaN
0.49236,2.64e-19,NaN
0.49247,2.67e-19,NaN
0.49255,2.64e-19,NaN
0.49266,2.63e-19,NaN
0.49278,2.57e-19,NaN
0.49288,2.62e-19,NaN
0.49302,2.62e-19,NaN
0.49319,2.61e-19,NaN
0.49332,2.63e-19,NaN
0.49344,2.68e-19,NaN
0.49358,2.58e-19,NaN
0.49366,2.68e-19,NaN
0.49377,2.75e-19,NaN
0.49387,2.68e-19,NaN
0.494,2.61e-19,NaN
0.49408,2.65e-19,NaN
0.49416,2.73e-19,NaN
0.49425,2.7e-19,NaN
0.49435,2.77e-19,NaN
0.49446,2.66e-19,NaN
0.49456,2.71e-19,NaN
0.49467,2.74e-19,NaN
0.49474,2.68e-19,NaN
0.49485,2.68e-19,NaN
0.49501,2.61e-19,NaN
0.49515,2.55e-19,NaN
0.49529,2.54e-19,NaN
0.4954,2.47e-19,NaN
0.49554,2.44e-19,NaN
0.49563,2.55e-19,NaN
0.49575,2.44e-19,NaN
0.49584,2.55e-19,NaN
0.49592,2.45e-19,NaN
0.49604,2.46e-19,NaN
0.49611,2.41e-19,NaN
0.49623,2.41e-19,NaN
0.49636,2.46e-19,NaN
0.49647,2.48e-19,NaN
0.49662,2.48e-19,NaN
0.49674,2.58e-19,NaN
0.49683,2.47e-19,NaN
0.49693,2.53e-19,NaN
0.49704,2.6e-19,NaN
0.49717,2.53e-19,NaN
0.49725,2.59e-19,NaN
0.49734,2.67e-19,NaN
0.49743,2.6e-19,NaN
0.49753,2.58e-19,NaN
0.49764,2.63e-19,NaN
0.49773,2.63e-19,NaN
0.49781,2.73e-19,NaN
0.49794,2.9e-19,NaN
0.49804,3.05e-19,NaN
0.49812,3.46e-19,NaN
0.49818,3.87e-19,NaN
0.49824,4.4e-19,NaN
0.49827,5.03e-19,NaN
0.49832,5.76e-19,NaN
0.49836,6.56e-19,NaN
0.49839,7.23e-19,NaN
0.49843,8.05e-19,NaN
0.49847,8.99e-19,NaN
0.4985,9.74e-19,NaN
0.49856,1.07e-18,NaN
0.49861,1.14e-18,NaN
0.49863,1.16e-18,NaN
0.49864,1.19e-18,NaN
0.4987,1.22e-18,NaN
0.49876,1.2e-18,NaN
0.49878,1.18e-18,NaN
0.49881,1.14e-18,NaN
0.49887,1.07e-18,NaN
0.49892,9.72e-19,NaN
0.49896,8.92e-19,NaN
0.499,8.04e-19,NaN
0.49904,7.18e-19,NaN
0.49907,6.51e-19,NaN
0.4991,5.7e-19,NaN
0.49914,4.96e-19,NaN
0.49917,4.41e-19,NaN
0.49921,3.85e-19,NaN
0.49927,3.37e-19,NaN
0.49933,3.03e-19,NaN
0.49942,2.97e-19,NaN
0.4995,2.88e-19,NaN
0.49961,2.73e-19,NaN
0.49972,2.7e-19,NaN
0.4998,2.55e-19,NaN
0.49993,2.62e-19,NaN
0.50004,2.48e-19,NaN
0.50016,2.52e-19,NaN
0.5003,2.51e-19,NaN
0.5004,2.46e-19,NaN
0.50057,2.39e-19,NaN
0.50073,2.47e-19,NaN
0.50088,2.39e-19,NaN
0.50105,2.4e-19,NaN
0.50118,2.39e-19,NaN
0.50134,2.4e-19,NaN
0.50154,2.39e-19,NaN
0.50165,2.5e-19,NaN
0.50183,2.37e-19,NaN
