λ,σ,Δσ
132.66,3.03e-17,NaN
133.12,3.04e-17,NaN
133.69,2.97e-17,NaN
134.12,2.99e-17,NaN
134.64,2.95e-17,NaN
135.16,2.98e-17,NaN
135.76,3.03e-17,NaN
136.33,2.98e-17,NaN
136.81,3.02e-17,NaN
137.11,3.06e-17,NaN
137.55,3.06e-17,NaN
138.01,3.09e-17,NaN
138.51,3.06e-17,NaN
138.94,3.11e-17,NaN
139.38,3.12e-17,NaN
139.82,3.17e-17,NaN
140.16,3.15e-17,NaN
140.54,3.19e-17,NaN
140.79,3.14e-17,NaN
140.94,3.08e-17,NaN
141.15,3.03e-17,NaN
141.52,3.01e-17,NaN
141.84,2.96e-17,NaN
142.26,2.93e-17,NaN
142.54,2.88e-17,NaN
142.76,2.82e-17,NaN
143.08,2.77e-17,NaN
143.28,2.81e-17,NaN
143.73,2.73e-17,NaN
144.06,2.68e-17,NaN
144.31,2.58e-17,NaN
144.73,2.53e-17,NaN
145.18,2.39e-17,NaN
145.38,2.44e-17,NaN
145.68,2.41e-17,NaN
145.76,2.35e-17,NaN
145.84,2.19e-17,NaN
145.99,2.09e-17,NaN
146.25,2.18e-17,NaN
146.36,2.05e-17,NaN
146.68,1.96e-17,NaN
146.91,2.17e-17,NaN
147.1,2.14e-17,NaN
147.2,2.07e-17,NaN
147.24,1.98e-17,NaN
147.26,1.87e-17,NaN
147.3,1.77e-17,NaN
147.45,1.7e-17,NaN
147.75,1.66e-17,NaN
147.93,1.72e-17,NaN
148.06,1.81e-17,NaN
148.24,1.86e-17,NaN
148.28,1.95e-17,NaN
148.38,2.2e-17,NaN
148.55,2.09e-17,NaN
148.66,1.6e-17,NaN
148.89,1.63e-17,NaN
148.98,1.53e-17,NaN
149.1,1.46e-17,NaN
149.55,1.57e-17,NaN
149.55,1.57e-17,NaN
149.88,1.54e-17,NaN
149.97,2.01e-17,NaN
150.2,1.91e-17,NaN
150.37,2.36e-17,NaN
150.41,1.99e-17,NaN
150.61,2.12e-17,NaN
150.77,1.51e-17,NaN
151.01,1.65e-17,NaN
151.12,1.53e-17,NaN
151.18,1.47e-17,NaN
151.44,1.4e-17,NaN
151.7,1.43e-17,NaN
152.0,1.42e-17,NaN
152.2,1.52e-17,NaN
152.44,1.5e-17,NaN
152.74,1.57e-17,NaN
152.81,1.7e-17,NaN
153.08,1.66e-17,NaN
153.12,1.98e-17,NaN
153.43,1.94e-17,NaN
153.57,2.34e-17,NaN
153.86,2.49e-17,NaN
153.95,2.0e-17,NaN
154.17,1.64e-17,NaN
154.57,1.73e-17,NaN
154.63,1.67e-17,NaN
154.64,1.2e-17,NaN
154.69,9.99e-18,NaN
154.88,9.72e-18,NaN
155.08,9.81e-18,NaN
155.28,9.11e-18,NaN
155.36,8.39e-18,NaN
155.56,8.11e-18,NaN
155.8,9.05e-18,NaN
156.08,8.94e-18,NaN
156.29,9.81e-18,NaN
156.37,1.08e-17,NaN
156.52,1.17e-17,NaN
156.8,1.15e-17,NaN
157.01,1.35e-17,NaN
157.11,1.2e-17,NaN
157.16,1.1e-17,NaN
157.27,1.05e-17,NaN
157.53,1.08e-17,NaN
157.66,1.21e-17,NaN
157.79,1.14e-17,NaN
158.07,1.14e-17,NaN
158.11,1.24e-17,NaN
158.15,1.64e-17,NaN
158.28,1.44e-17,NaN
158.37,1.29e-17,NaN
158.54,1.2e-17,NaN
158.78,1.24e-17,NaN
159.02,1.16e-17,NaN
159.04,1.26e-17,NaN
159.05,1.77e-17,NaN
159.12,1.93e-17,NaN
159.51,1.8e-17,NaN
159.58,2.23e-17,NaN
159.8,2.17e-17,NaN
159.88,2.98e-17,NaN
160.11,2.13e-17,NaN
160.27,1.31e-17,NaN
160.43,1.18e-17,NaN
160.62,1.14e-17,NaN
160.72,1.08e-17,NaN
161.03,1.12e-17,NaN
161.17,1.24e-17,NaN
161.42,1.22e-17,NaN
161.61,1.1e-17,NaN
161.68,8.02e-18,NaN
161.74,7.36e-18,NaN
162.09,7.1e-18,NaN
162.27,6.36e-18,NaN
162.49,5.82e-18,NaN
162.8,5.43e-18,NaN
163.13,5.56e-18,NaN
163.5,5.32e-18,NaN
163.84,5.35e-18,NaN
164.15,4.79e-18,NaN
164.47,4.62e-18,NaN
164.78,5.0e-18,NaN
165.14,4.57e-18,NaN
165.61,4.95e-18,NaN
166.01,4.38e-18,NaN
166.28,5.22e-18,NaN
166.47,6.01e-18,NaN
166.51,6.82e-18,NaN
166.66,7.54e-18,NaN
166.91,7.15e-18,NaN
167.19,6.96e-18,NaN
167.39,5.98e-18,NaN
167.47,4.85e-18,NaN
167.73,5.1e-18,NaN
167.96,4.71e-18,NaN
168.15,4.99e-18,NaN
168.57,4.6e-18,NaN
168.76,5.4e-18,NaN
169.01,6.46e-18,NaN
169.33,5.38e-18,NaN
169.48,4.69e-18,NaN
169.82,4.8e-18,NaN
170.16,4.61e-18,NaN
170.53,5.11e-18,NaN
170.96,5.82e-18,NaN
171.34,6.49e-18,NaN
171.81,6.6e-18,NaN
172.08,7.33e-18,NaN
172.39,8.28e-18,NaN
172.66,8.86e-18,NaN
173.11,8.59e-18,NaN
173.33,9.36e-18,NaN
173.61,8.68e-18,NaN
173.92,8.2e-18,NaN
174.39,8.78e-18,NaN
174.55,9.98e-18,NaN
174.83,1.14e-17,NaN
175.17,1.03e-17,NaN
175.39,8.9e-18,NaN
175.71,8.97e-18,NaN
175.88,8.15e-18,NaN
176.28,8.35e-18,NaN
176.49,7.79e-18,NaN
176.66,7.35e-18,NaN
177.03,7.16e-18,NaN
177.73,7.64e-18,NaN
177.96,8.34e-18,NaN
178.16,9.0e-18,NaN
178.28,9.75e-18,NaN
178.64,9.51e-18,NaN
178.88,9.99e-18,NaN
179.23,1.03e-17,NaN
179.47,9.59e-18,NaN
179.56,8.85e-18,NaN
179.86,8.02e-18,NaN
180.24,7.6e-18,NaN
180.79,8.13e-18,NaN
181.29,7.52e-18,NaN
181.77,8.08e-18,NaN
182.29,7.61e-18,NaN
182.73,6.94e-18,NaN
183.32,6.31e-18,NaN
183.94,6.17e-18,NaN
184.34,6.05e-18,NaN
184.77,6.33e-18,NaN
185.13,5.36e-18,NaN
185.77,4.62e-18,NaN
186.24,4.86e-18,NaN
186.8,4.46e-18,NaN
187.24,4.56e-18,NaN
187.72,4.37e-18,NaN
188.32,3.87e-18,NaN
189.22,4.15e-18,NaN
189.75,3.52e-18,NaN
190.05,3.72e-18,NaN
190.71,2.96e-18,NaN
191.49,3.72e-18,NaN
192.07,3.28e-18,NaN
192.44,3.75e-18,NaN
192.88,3.5e-18,NaN
193.33,3.71e-18,NaN
194.18,3.27e-18,NaN
194.72,2.9e-18,NaN
195.01,2.15e-18,NaN
195.23,3.29e-18,NaN
195.33,3.94e-18,NaN
195.67,4.39e-18,NaN
196.17,4.11e-18,NaN
196.56,3.55e-18,NaN
197.59,3.9e-18,NaN
197.93,5.4e-18,NaN
198.09,6.62e-18,NaN
198.35,7.47e-18,NaN
198.67,6.27e-18,NaN
199.2,5.46e-18,NaN
199.63,5.96e-18,NaN
199.82,7.13e-18,NaN
200.01,8.26e-18,NaN
200.42,9.5e-18,NaN
200.97,8.87e-18,NaN
201.24,7.73e-18,NaN
201.35,6.81e-18,NaN
202.07,6.01e-18,NaN
202.31,7.79e-18,NaN
202.51,9.96e-18,NaN
202.68,1.31e-17,NaN
203.2,1.68e-17,NaN
203.68,1.31e-17,NaN
203.94,9.86e-18,NaN
204.13,7.63e-18,NaN
204.16,6.23e-18,NaN
204.31,5.12e-18,NaN
204.72,4.21e-18,NaN
205.32,3.64e-18,NaN
205.92,3.07e-18,NaN
206.68,2.81e-18,NaN
207.48,2.69e-18,NaN
208.36,2.94e-18,NaN
208.86,3.28e-18,NaN
209.67,3.59e-18,NaN
210.61,3.9e-18,NaN
211.9,4.28e-18,NaN
212.52,4.54e-18,NaN
213.59,5.0e-18,NaN
214.65,4.69e-18,NaN
215.56,4.56e-18,NaN
216.72,4.34e-18,NaN
217.79,4.2e-18,NaN
219.14,4.03e-18,NaN
219.6,4.49e-18,NaN
220.0,3.73e-18,NaN
220.38,5.63e-18,NaN
220.57,3.59e-18,NaN
220.93,3.27e-18,NaN
221.09,4.79e-18,NaN
221.23,6.31e-18,NaN
221.29,5.05e-18,NaN
221.35,3.6e-18,NaN
221.58,3.12e-18,NaN
221.8,4.83e-18,NaN
222.03,6.61e-18,NaN
222.17,3.46e-18,NaN
222.19,5.02e-18,NaN
222.34,2.99e-18,NaN
222.63,4.69e-18,NaN
222.85,3.35e-18,NaN
222.85,3.34e-18,NaN
222.86,3.27e-18,NaN
223.1,2.83e-18,NaN
223.5,3.28e-18,NaN
223.54,6.95e-18,NaN
223.83,2.19e-18,NaN
224.15,6.42e-18,NaN
224.43,1.93e-18,NaN
224.84,1.77e-18,NaN
224.87,1.44e-18,NaN
225.46,4.54e-18,NaN
225.56,1.95e-18,NaN
225.9,1.24e-18,NaN
226.21,3.75e-18,NaN
226.66,1.16e-18,NaN
226.82,4.38e-18,NaN
227.27,1.02e-18,NaN
227.58,3.14e-18,NaN
227.94,9.36e-19,NaN
228.39,1.95e-18,NaN
228.63,7.63e-19,NaN
229.5,3.5e-19,NaN
230.37,1.15e-19,NaN
230.46,1.22e-19,NaN
230.84,8.99e-20,NaN
231.47,8.32e-20,NaN
231.65,5.4e-20,NaN
232.27,3.44e-20,NaN
232.29,3.53e-20,NaN
232.6,4.68e-20,NaN
232.8,3.59e-20,NaN
233.03,2.42e-20,NaN
234.08,2.19e-20,NaN
235.0,1.42e-20,NaN
235.9,8.27e-21,NaN
236.81,7.79e-21,NaN
238.24,9.17e-21,NaN
239.6,1.01e-20,NaN
241.23,1.16e-20,NaN
242.63,1.35e-20,NaN
244.01,1.56e-20,NaN
245.64,1.79e-20,NaN
247.36,2.09e-20,NaN
249.07,2.38e-20,NaN
250.9,2.67e-20,NaN
252.64,3.04e-20,NaN
255.1,3.46e-20,NaN
257.32,3.83e-20,NaN
260.27,4.22e-20,NaN
262.78,4.37e-20,NaN
265.51,4.27e-20,NaN
267.69,4.07e-20,NaN
270.09,3.81e-20,NaN
272.16,3.58e-20,NaN
274.3,3.29e-20,NaN
276.4,3.15e-20,NaN
278.65,3.13e-20,NaN
281.13,2.88e-20,NaN
283.25,2.49e-20,NaN
285.57,2.05e-20,NaN
288.17,1.62e-20,NaN
290.73,1.15e-20,NaN
293.47,8.37e-21,NaN
297.27,5.2e-21,NaN
301.44,2.97e-21,NaN
305.68,1.68e-21,NaN
