λ,σ,Δσ
211.85,2.14e-17,NaN
213.2,2.09e-17,NaN
215.05,2.03e-17,NaN
216.4,2.0e-17,NaN
217.68,1.95e-17,NaN
219.03,1.91e-17,NaN
220.38,1.87e-17,NaN
221.74,1.82e-17,NaN
223.09,1.78e-17,NaN
224.51,1.74e-17,NaN
226.0,1.71e-17,NaN
227.5,1.67e-17,NaN
228.99,1.63e-17,NaN
230.41,1.6e-17,NaN
231.91,1.56e-17,NaN
233.4,1.52e-17,NaN
234.75,1.49e-17,NaN
236.24,1.45e-17,NaN
237.67,1.41e-17,NaN
239.16,1.39e-17,NaN
240.65,1.35e-17,NaN
242.22,1.32e-17,NaN
243.64,1.29e-17,NaN
245.21,1.26e-17,NaN
246.7,1.23e-17,NaN
248.19,1.2e-17,NaN
249.83,1.17e-17,NaN
251.39,1.14e-17,NaN
252.96,1.12e-17,NaN
254.59,1.09e-17,NaN
256.16,1.06e-17,NaN
257.58,1.03e-17,NaN
259.15,1.0e-17,NaN
260.78,9.74e-18,NaN
262.42,9.46e-18,NaN
263.98,9.2e-18,NaN
265.62,8.95e-18,NaN
267.11,8.67e-18,NaN
268.68,8.39e-18,NaN
270.31,8.16e-18,NaN
271.95,7.88e-18,NaN
273.44,7.62e-18,NaN
275.01,7.4e-18,NaN
276.64,7.14e-18,NaN
278.21,6.89e-18,NaN
279.77,6.63e-18,NaN
281.41,6.35e-18,NaN
283.04,6.13e-18,NaN
284.61,5.9e-18,NaN
286.17,5.65e-18,NaN
287.67,5.42e-18,NaN
289.23,5.17e-18,NaN
290.87,4.94e-18,NaN
292.36,4.71e-18,NaN
294.0,4.6e-18,NaN
295.56,4.4e-18,NaN
297.13,4.2e-18,NaN
298.69,4.04e-18,NaN
300.26,3.89e-18,NaN
301.89,3.84e-18,NaN
303.53,3.84e-18,NaN
305.02,4.09e-18,NaN
306.02,4.65e-18,NaN
306.73,5.3e-18,NaN
307.3,6.15e-18,NaN
308.08,7.56e-18,NaN
308.58,9.36e-18,NaN
308.86,1.1e-17,NaN
309.08,1.25e-17,NaN
309.36,1.39e-17,NaN
309.79,1.52e-17,NaN
310.02,1.87e-17,NaN
310.23,1.93e-17,NaN
310.48,2.0e-17,NaN
310.7,2.07e-17,NaN
310.91,2.14e-17,NaN
311.12,2.21e-17,NaN
311.34,2.27e-17,NaN
311.59,2.34e-17,NaN
312.41,2.59e-17,NaN
312.65,2.66e-17,NaN
312.94,2.73e-17,NaN
313.26,2.79e-17,NaN
313.59,2.86e-17,NaN
313.94,2.92e-17,NaN
315.2,3.11e-17,NaN
315.31,3.12e-17,NaN
315.53,2.99e-17,NaN
315.82,3.03e-17,NaN
316.25,3.11e-17,NaN
316.43,3.0e-17,NaN
316.69,2.86e-17,NaN
317.12,2.99e-17,NaN
317.38,2.82e-17,NaN
317.68,2.6e-17,NaN
317.96,2.77e-17,NaN
318.1,2.84e-17,NaN
318.43,2.8e-17,NaN
318.62,2.73e-17,NaN
318.73,2.7e-17,NaN
318.91,2.63e-17,NaN
319.24,2.6e-17,NaN
319.31,2.63e-17,NaN
319.41,2.7e-17,NaN
319.52,2.77e-17,NaN
319.74,2.72e-17,NaN
319.85,2.65e-17,NaN
320.03,2.59e-17,NaN
320.14,2.52e-17,NaN
320.43,2.54e-17,NaN
320.65,2.57e-17,NaN
320.91,2.36e-17,NaN
321.03,2.17e-17,NaN
321.25,1.96e-17,NaN
321.5,2.21e-17,NaN
321.77,2.47e-17,NaN
322.11,2.27e-17,NaN
322.14,2.28e-17,NaN
322.22,2.17e-17,NaN
322.4,2.1e-17,NaN
322.8,2.05e-17,NaN
323.06,1.95e-17,NaN
323.18,1.82e-17,NaN
323.46,1.99e-17,NaN
323.56,2.06e-17,NaN
323.63,2.13e-17,NaN
323.77,2.19e-17,NaN
323.99,2.14e-17,NaN
324.26,1.92e-17,NaN
324.37,1.85e-17,NaN
324.45,1.73e-17,NaN
324.67,1.55e-17,NaN
324.86,1.39e-17,NaN
325.19,1.22e-17,NaN
325.73,1.33e-17,NaN
326.01,1.51e-17,NaN
326.08,1.66e-17,NaN
326.14,1.85e-17,NaN
326.28,1.99e-17,NaN
326.61,1.78e-17,NaN
326.91,1.56e-17,NaN
327.18,1.35e-17,NaN
327.33,1.18e-17,NaN
327.51,1.07e-17,NaN
327.63,9.97e-18,NaN
327.74,9.27e-18,NaN
327.93,7.92e-18,NaN
328.1,9.66e-18,NaN
328.13,1.1e-17,NaN
328.27,1.21e-17,NaN
