λ,σ,Δσ
190.0,7.61e-18,NaN
193.33,7.63e-18,NaN
196.71,7.63e-18,NaN
200.03,7.65e-18,NaN
203.46,7.64e-18,NaN
206.66,7.62e-18,NaN
209.48,7.61e-18,NaN
211.89,7.53e-18,NaN
214.59,7.44e-18,NaN
216.95,7.32e-18,NaN
218.86,7.17e-18,NaN
220.21,7.02e-18,NaN
222.12,6.87e-18,NaN
224.03,6.72e-18,NaN
226.0,6.56e-18,NaN
228.14,6.4e-18,NaN
230.39,6.25e-18,NaN
232.52,6.14e-18,NaN
234.77,6.07e-18,NaN
236.57,5.9e-18,NaN
239.38,5.81e-18,NaN
242.92,5.68e-18,NaN
245.51,5.6e-18,NaN
249.84,5.49e-18,NaN
253.61,5.44e-18,NaN
257.6,5.37e-18,NaN
259.68,5.29e-18,NaN
263.56,5.22e-18,NaN
266.09,5.18e-18,NaN
268.23,5.16e-18,NaN
271.15,5.08e-18,NaN
275.76,5.0e-18,NaN
280.04,4.93e-18,NaN
283.92,4.88e-18,NaN
287.57,4.83e-18,NaN
291.0,4.78e-18,NaN
294.49,4.7e-18,NaN
296.79,4.69e-18,NaN
299.44,4.63e-18,NaN
302.14,4.57e-18,NaN
305.0,4.53e-18,NaN
308.21,4.5e-18,NaN
311.36,4.49e-18,NaN
312.88,4.46e-18,NaN
314.4,4.46e-18,NaN
317.09,4.39e-18,NaN
320.36,4.37e-18,NaN
323.22,4.36e-18,NaN
326.82,4.32e-18,NaN
329.69,4.3e-18,NaN
333.01,4.29e-18,NaN
335.26,4.27e-18,NaN
338.41,4.21e-18,NaN
341.39,4.2e-18,NaN
344.71,4.17e-18,NaN
347.29,4.14e-18,NaN
349.26,4.12e-18,NaN
350.44,4.13e-18,NaN
352.86,4.09e-18,NaN
355.28,4.05e-18,NaN
358.77,4.03e-18,NaN
362.25,4.03e-18,NaN
365.74,4.02e-18,NaN
368.61,3.99e-18,NaN
371.82,4.0e-18,NaN
374.68,3.98e-18,NaN
378.79,3.94e-18,NaN
381.43,3.88e-18,NaN
384.58,3.82e-18,NaN
387.11,3.81e-18,NaN
390.0,3.82e-18,NaN
