λ,σ,Δσ
191.02,7.31e-18,NaN
193.1,7.38e-18,NaN
194.38,7.47e-18,NaN
195.56,7.57e-18,NaN
196.84,7.69e-18,NaN
197.51,7.8e-18,NaN
198.41,7.87e-18,NaN
198.91,8.01e-18,NaN
199.8,8.13e-18,NaN
200.64,8.25e-18,NaN
201.58,8.36e-18,NaN
202.2,8.5e-18,NaN
202.86,8.63e-18,NaN
203.64,8.77e-18,NaN
204.82,8.9e-18,NaN
205.93,9.05e-18,NaN
207.11,9.17e-18,NaN
208.28,9.3e-18,NaN
209.96,9.43e-18,NaN
212.37,9.54e-18,NaN
215.56,9.56e-18,NaN
218.43,9.53e-18,NaN
219.84,9.43e-18,NaN
220.91,9.32e-18,NaN
221.98,9.22e-18,NaN
223.33,9.08e-18,NaN
224.35,8.95e-18,NaN
225.48,8.8e-18,NaN
226.55,8.66e-18,NaN
227.74,8.52e-18,NaN
228.7,8.37e-18,NaN
229.54,8.22e-18,NaN
230.62,8.06e-18,NaN
231.3,7.91e-18,NaN
232.49,7.71e-18,NaN
233.34,7.49e-18,NaN
234.52,7.34e-18,NaN
236.22,7.17e-18,NaN
237.63,6.96e-18,NaN
239.43,6.77e-18,NaN
241.01,6.61e-18,NaN
242.93,6.46e-18,NaN
245.63,6.33e-18,NaN
248.27,6.25e-18,NaN
251.36,6.19e-18,NaN
255.57,6.15e-18,NaN
259.56,6.12e-18,NaN
263.94,6.09e-18,NaN
268.26,6.06e-18,NaN
271.85,6.01e-18,NaN
276.29,5.97e-18,NaN
281.01,5.96e-18,NaN
284.83,5.92e-18,NaN
288.92,5.89e-18,NaN
292.74,5.85e-18,NaN
297.18,5.83e-18,NaN
300.72,5.79e-18,NaN
303.64,5.74e-18,NaN
306.22,5.71e-18,NaN
