λ,Φ,ΔΦ,species
200.0,0.39,0.2,Cl
201.0,0.39,0.2,Cl
202.0,0.39,0.2,Cl
203.0,0.39,0.2,Cl
204.0,0.39,0.2,Cl
205.0,0.39,0.2,Cl
206.0,0.39,0.2,Cl
207.0,0.39,0.2,Cl
208.0,0.39,0.2,Cl
209.0,0.39,0.2,Cl
210.0,0.39,0.2,Cl
211.0,0.39,0.2,Cl
212.0,0.39,0.2,Cl
213.0,0.39,0.2,Cl
214.0,0.39,0.2,Cl
215.0,0.39,0.2,Cl
216.0,0.39,0.2,Cl
217.0,0.39,0.2,Cl
218.0,0.39,0.2,Cl
219.0,0.39,0.2,Cl
220.0,0.39,0.2,Cl
221.0,0.39,0.2,Cl
222.0,0.39,0.2,Cl
223.0,0.39,0.2,Cl
224.0,0.39,0.2,Cl
225.0,0.39,0.2,Cl
226.0,0.39,0.2,Cl
227.0,0.39,0.2,Cl
228.0,0.39,0.2,Cl
229.0,0.39,0.2,Cl
230.0,0.39,0.2,Cl
231.0,0.39,0.2,Cl
232.0,0.39,0.2,Cl
233.0,0.39,0.2,Cl
234.0,0.39,0.2,Cl
235.0,0.39,0.2,Cl
236.0,0.39,0.2,Cl
237.0,0.39,0.2,Cl
238.0,0.39,0.2,Cl
239.0,0.39,0.2,Cl
240.0,0.39,0.2,Cl
241.0,0.39,0.2,Cl
242.0,0.39,0.2,Cl
243.0,0.39,0.2,Cl
244.0,0.39,0.2,Cl
245.0,0.39,0.2,Cl
246.0,0.39,0.2,Cl
247.0,0.39,0.2,Cl
248.0,0.39,0.2,Cl
249.0,0.39,0.2,Cl
250.0,0.39,0.2,Cl
251.0,0.39,0.2,Cl
252.0,0.39,0.2,Cl
253.0,0.39,0.2,Cl
254.0,0.39,0.2,Cl
255.0,0.39,0.2,Cl
256.0,0.39,0.2,Cl
257.0,0.39,0.2,Cl
258.0,0.39,0.2,Cl
259.0,0.39,0.2,Cl
260.0,0.39,0.2,Cl
261.0,0.39,0.2,Cl
262.0,0.39,0.2,Cl
263.0,0.39,0.2,Cl
264.0,0.39,0.2,Cl
265.0,0.39,0.2,Cl
266.0,0.39,0.2,Cl
267.0,0.39,0.2,Cl
268.0,0.39,0.2,Cl
269.0,0.39,0.2,Cl
270.0,0.39,0.2,Cl
271.0,0.39,0.2,Cl
272.0,0.39,0.2,Cl
273.0,0.39,0.2,Cl
274.0,0.39,0.2,Cl
275.0,0.39,0.2,Cl
276.0,0.39,0.2,Cl
277.0,0.39,0.2,Cl
278.0,0.39,0.2,Cl
279.0,0.39,0.2,Cl
280.0,0.39,0.2,Cl
281.0,0.39,0.2,Cl
282.0,0.39,0.2,Cl
283.0,0.39,0.2,Cl
284.0,0.39,0.2,Cl
285.0,0.39,0.2,Cl
286.0,0.39,0.2,Cl
287.0,0.39,0.2,Cl
288.0,0.39,0.2,Cl
289.0,0.39,0.2,Cl
290.0,0.39,0.2,Cl
291.0,0.39,0.2,Cl
292.0,0.39,0.2,Cl
293.0,0.39,0.2,Cl
294.0,0.39,0.2,Cl
295.0,0.39,0.2,Cl
296.0,0.39,0.2,Cl
297.0,0.39,0.2,Cl
298.0,0.39,0.2,Cl
